"Aimard_BanditsArizona" "Aimard_TrappeursArkansas" "FevalPP_CavalierFortune" "FevalPP_JeanDiable" "Flaubert_Education" "Flaubert_Sallambo" "France_CrimeSylvestreBonnard" "France_Thais" "Gaboriau_CrimeOrcival" "Gaboriau_MonsieurLecoq" "Malot_Cara" "Malot_Ghislaine" "Maupassant_BelAmi" "Maupassant_UneVie" "Mirbeau_AbbeJules" "Mirbeau_SebastienRoch" "Ponson_Breda" "Ponson_RocambolePrison" "Stolz_DessusHaie" "Stolz_TresorNanette" "Verne_ArchipelFeu" "Verne_VingtMilleLieues" "Zola_Germinal" "Zola_Oeuvre"
"adj" 3.33218042702525 3.38064780928276 3.15106830769785 3.5399972866877 3.78577135614278 2.85885277598748 3.60853204630046 3.45432388414974 3.80082101964102 3.86702718362223 2.46126775674864 2.42279397554659 4.0666067617657 4.47767390113084 3.92702394526796 4.5212134837074 3.60351749187536 2.53442019981112 3.55524079320113 3.70925765274507 2.90576510908965 3.55595615386852 3.82955419187303 4.4700584016347
"kon" 3.10609831197645 2.70068748503608 3.07220146647258 3.07282617733684 2.27606430373181 2.70060307522328 3.5819460918647 3.96341810644283 2.90481363623254 2.85717734537202 3.90487532723917 3.75304379195279 2.74626530383017 2.97819697447734 2.64842265298366 2.87821449536014 3.31557063658956 3.39877727521249 3.36674656787971 3.62250588672698 2.66378263059646 2.90216863065989 2.42307524916221 2.26538536470439
"impf" 1.79515948068601 1.94342784827445 2.05279121017788 2.06627484103053 3.21434995586753 3.81237915477396 1.51539940283856 2.25504823297609 2.25347779689858 2.74781517068225 2.33680957898803 2.81510493835113 2.36942603616758 2.99729330300061 2.53515773470163 2.35740067693307 1.81012234754349 1.91013469854367 2.98213118326433 2.1093072251828 2.48204885083015 2.10175658668084 3.87561474517996 3.29024570369666
"pres" 3.38954454576897 2.63022881964634 2.86579567629443 2.81943781919712 1.236545870581 0.731401344259276 3.64023068428157 2.93725726911381 3.07065191266812 2.12664767514847 2.77563194712673 2.27978406792326 1.99090194316523 1.25039438069776 2.18472063854048 2.40735883697403 3.38725865035366 3.47979521845022 2.46567879712356 3.58532655843351 1.28102561063538 2.0643735643881 1.18669394031713 1.43489509000376
"nam" 1.17259007432028 0.804460101925642 2.24026895846196 2.77567471761859 2.79686931349952 1.88978915385324 1.67798273958035 1.76417662266665 1.51417556745532 2.17034426150355 1.55036264538003 1.27678214824072 2.54464787150399 1.79422460603444 1.39338654503991 1.59428978230732 3.69910151022749 2.94696555494806 1.53519285247331 1.32358408724749 3.35713650774838 1.94017885699333 1.53124138631385 1.95819910925047
"pper" 2.1671826625387 2.05082600814037 1.66611835434196 1.75577563533083 1.48209811213413 1.58594972838597 1.71888420794307 1.85642859583386 2.20637011257775 2.39920815025832 2.09754946139651 1.99440844144968 1.91564641132203 2.11305026485777 1.7407829722539 2.0070690796458 1.91168036704263 1.81867886077837 1.83918064937895 1.65695873094559 2.00993609687201 1.82387612097146 2.05749227488358 2.12719685745742
"infi" 1.64584405395602 1.87433731230974 1.62691026756139 1.36125127460033 1.5293679644263 1.24067765399135 1.56448116487382 1.29608327733677 1.9352605824048 1.94630872483221 2.21986180850607 2.20119303760774 1.77187464899472 1.65888975606516 1.3173698213607 1.33762973509686 1.51261709042248 1.53735275113077 1.9971671388102 1.9432395588053 2.06327101049908 1.45212273261586 1.89501095298197 1.66052747232832
"simp" 1.27044651217722 1.62533775695181 1.94508163844736 1.58400546163508 1.98031398894806 1.62105238928275 1.24749478506278 1.17194173319818 1.07049809165809 1.66698855680556 1.06540491824385 0.926987644459332 2.14534426597776 2.28989887248634 1.31965032307108 1.05349269986386 2.05266679411202 1.76201600477161 0.828067117018958 0.873714214896518 1.42423973055992 1.50944336679806 1.51999825912869 1.41224123635672
"pos" 1.48977990737382 1.67595854567842 1.57823815983379 1.81004188128821 1.53606104085705 1.47661357149434 1.78841670415968 1.7413983576871 1.47379755232318 1.56824875669934 1.59542508905197 1.37212208665627 1.30236998764461 1.6505870045333 1.71569745343976 1.48687973821924 1.2354234372013 1.04528058054575 1.544998910438 1.79700086751766 1.15361442808182 1.24983904532068 1.16130623377 1.29398812031915
"dem" 1.35564910031128 1.0479871395834 1.17849594173768 1.17678980144681 0.644208606459655 0.495465426756284 1.26181029898973 1.00907713859435 1.14644721535903 1.06779006325141 1.77835715205356 1.70838862620302 0.858699314837695 0.777137543381877 1.03686811098442 1.22959521400827 0.838749761039954 1.17053531487648 1.43277402484201 1.50080555211303 1.59807204164074 1.40643237203584 0.939707823765795 1.0330157263052
