	hp1-quidditch_0	hp1-quidditch_1	hp1-quidditch_2	hp1-quidditch_3	hp1-quidditch_4	hp1-quidditch_5	hp1-quidditch_6	hp1-quidditch_7	hp1-quidditch_8	hp1-quidditch_9	hp1-quidditch_10	hp1-quidditch_11	hp1-quidditch_12	hp1-quidditch_13	hp1-quidditch_14	hp1-quidditch_15	hp1-quidditch_16	hp1-quidditch_17	hp1-quidditch_18	hp1-quidditch_19	hp1-quidditch_20	hp1-quidditch_21	hp1-quidditch_22	hp1-quidditch_23	hp1-quidditch_24	hp1-quidditch_25	hp1-quidditch_26	hp1-quidditch_27	hp1-quidditch_28	hp1-quidditch_29	hp1-quidditch_30	hp1-quidditch_31	hp1-quidditch_32	hp1-quidditch_33	hp1-quidditch_34	hp1-quidditch_35	hp1-quidditch_36	hp1-quidditch_37	hp1-quidditch_38	hp1-quidditch_39	hp1-quidditch_40	hp1-quidditch_41	hp1-quidditch_42	hp1-quidditch_sum
?_SENT_?	0.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	1.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	2.0	0.0	1.0	24.0
that_CJT_that	0.0	3.0	4.0	2.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0
but_CJC_but	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	24.0
!_SENT_!	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	4.0	1.0	23.0
ron_NP0_ron	0.0	0.0	0.0	1.0	1.0	2.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	22.0
's_POS_'s	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	21.0
that_DT0_that	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	2.0	2.0	21.0
hermione_NP0_hermione	0.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	21.0
what_DTQ_what	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	19.0
be_VBI_be	2.0	3.0	1.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0
