	Zola_Nana_0	Zola_Nana_1	Zola_Nana_2	Zola_Nana_3	Zola_Nana_4	Zola_Nana_5	Zola_Nana_6	Zola_Nana_7	Zola_Nana_8	Zola_Nana_9	Zola_Nana_10	Zola_Nana_11	Zola_Nana_12	Zola_Nana_13	Zola_Nana_14	Zola_Nana_15	Zola_Nana_16	Zola_Nana_17	Zola_Nana_18	Zola_Nana_19	Zola_Nana_20	Zola_Nana_21	Zola_Nana_22	Zola_Nana_23	Zola_Nana_24	Zola_Nana_25	Zola_Nana_26	Zola_Nana_27	Zola_Nana_28	Zola_Nana_29	Zola_Nana_30	Zola_Nana_31	Zola_Nana_32	Zola_Nana_33	Zola_Nana_34	Zola_Nana_sum
dont_PRO:REL_dont	12.0	9.0	8.0	3.0	8.0	7.0	8.0	5.0	8.0	8.0	4.0	5.0	6.0	8.0	7.0	5.0	2.0	6.0	4.0	5.0	7.0	10.0	10.0	6.0	8.0	6.0	6.0	7.0	5.0	3.0	4.0	11.0	8.0	14.0	2.0	235.0
tu_PRO:PER_tu	8.0	1.0	3.0	1.0	2.0	0.0	2.0	2.0	8.0	0.0	1.0	2.0	10.0	2.0	2.0	20.0	9.0	2.0	9.0	13.0	9.0	20.0	2.0	7.0	9.0	2.0	5.0	1.0	18.0	5.0	11.0	23.0	10.0	7.0	1.0	227.0
toujours_ADV_toujours	5.0	4.0	8.0	6.0	4.0	3.0	6.0	7.0	10.0	4.0	7.0	0.0	3.0	7.0	6.0	9.0	11.0	3.0	11.0	10.0	8.0	5.0	7.0	8.0	6.0	3.0	4.0	8.0	6.0	7.0	7.0	8.0	5.0	8.0	11.0	225.0
donc_ADV_donc	8.0	8.0	2.0	7.0	10.0	8.0	5.0	9.0	9.0	9.0	7.0	3.0	16.0	5.0	3.0	6.0	4.0	3.0	4.0	6.0	5.0	8.0	3.0	6.0	7.0	9.0	4.0	13.0	6.0	5.0	3.0	5.0	5.0	5.0	5.0	221.0
d’une_NOM_d’une	12.0	8.0	11.0	6.0	6.0	6.0	4.0	4.0	5.0	11.0	2.0	10.0	3.0	9.0	6.0	6.0	8.0	8.0	3.0	6.0	10.0	4.0	6.0	7.0	5.0	3.0	2.0	6.0	10.0	5.0	7.0	6.0	2.0	10.0	3.0	220.0
Alors_ADV_alors	4.0	6.0	3.0	6.0	5.0	8.0	6.0	5.0	5.0	4.0	5.0	7.0	8.0	8.0	5.0	7.0	7.0	7.0	9.0	8.0	7.0	7.0	7.0	5.0	9.0	5.0	10.0	4.0	7.0	6.0	7.0	8.0	5.0	5.0	5.0	220.0
les_PRO:PER_la|le	5.0	6.0	5.0	11.0	5.0	4.0	11.0	4.0	12.0	3.0	2.0	7.0	4.0	5.0	7.0	7.0	7.0	6.0	9.0	4.0	3.0	4.0	5.0	2.0	12.0	7.0	6.0	6.0	3.0	9.0	3.0	8.0	9.0	6.0	11.0	218.0
ils_PRO:PER_il	1.0	3.0	1.0	8.0	8.0	10.0	8.0	2.0	6.0	2.0	7.0	1.0	5.0	15.0	6.0	3.0	7.0	16.0	5.0	7.0	8.0	2.0	2.0	4.0	6.0	8.0	11.0	5.0	7.0	7.0	3.0	2.0	8.0	12.0	7.0	213.0
dit_VER:pres_dire	5.0	6.0	4.0	16.0	9.0	7.0	12.0	6.0	8.0	9.0	9.0	4.0	5.0	7.0	7.0	2.0	0.0	6.0	3.0	3.0	7.0	4.0	6.0	4.0	9.0	10.0	5.0	3.0	6.0	4.0	6.0	4.0	1.0	4.0	12.0	213.0
On_PRO:PER_on	7.0	16.0	6.0	10.0	12.0	5.0	9.0	16.0	8.0	3.0	5.0	4.0	7.0	11.0	5.0	1.0	3.0	5.0	3.0	2.0	8.0	7.0	1.0	1.0	4.0	1.0	7.0	16.0	6.0	6.0	3.0	3.0	3.0	3.0	5.0	212.0
Puis_ADV_puis	5.0	6.0	10.0	4.0	4.0	4.0	5.0	6.0	9.0	5.0	6.0	4.0	5.0	5.0	6.0	6.0	8.0	3.0	5.0	9.0	8.0	9.0	3.0	6.0	9.0	5.0	8.0	6.0	8.0	6.0	6.0	8.0	7.0	5.0	3.0	212.0
chez_PRP_chez	2.0	4.0	6.0	3.0	9.0	12.0	8.0	6.0	8.0	5.0	3.0	4.0	5.0	2.0	8.0	4.0	10.0	6.0	9.0	7.0	9.0	3.0	5.0	16.0	7.0	2.0	0.0	0.0	6.0	3.0	13.0	10.0	7.0	8.0	1.0	211.0
yeux_NOM_œil	7.0	5.0	8.0	9.0	5.0	11.0	5.0	8.0	8.0	7.0	7.0	7.0	5.0	4.0	8.0	8.0	9.0	9.0	4.0	6.0	4.0	10.0	3.0	4.0	7.0	2.0	2.0	5.0	13.0	5.0	7.0	3.0	2.0	1.0	2.0	210.0
y_PRO:PER_y	4.0	3.0	7.0	15.0	11.0	6.0	7.0	5.0	6.0	7.0	5.0	5.0	7.0	3.0	4.0	5.0	1.0	7.0	9.0	14.0	4.0	8.0	6.0	6.0	5.0	3.0	7.0	5.0	6.0	5.0	4.0	3.0	7.0	4.0	4.0	208.0
si_ADV_si	7.0	10.0	6.0	5.0	8.0	11.0	6.0	1.0	4.0	1.0	9.0	1.0	5.0	8.0	2.0	7.0	6.0	8.0	6.0	5.0	1.0	10.0	4.0	9.0	5.0	4.0	6.0	3.0	12.0	7.0	2.0	10.0	6.0	2.0	8.0	205.0
si_KON_si	3.0	3.0	4.0	7.0	1.0	4.0	5.0	14.0	4.0	4.0	3.0	5.0	6.0	10.0	3.0	2.0	5.0	8.0	4.0	8.0	8.0	10.0	4.0	5.0	10.0	6.0	7.0	6.0	7.0	7.0	1.0	6.0	11.0	6.0	8.0	205.0
coup_NOM_coup	6.0	5.0	9.0	6.0	4.0	5.0	2.0	5.0	7.0	9.0	5.0	8.0	7.0	7.0	6.0	2.0	8.0	7.0	2.0	7.0	7.0	2.0	7.0	5.0	3.0	5.0	8.0	11.0	4.0	5.0	4.0	7.0	6.0	5.0	7.0	203.0
a_VER:pres_avoir	12.0	2.0	4.0	6.0	13.0	7.0	12.0	8.0	9.0	2.0	2.0	5.0	5.0	5.0	3.0	4.0	4.0	7.0	1.0	5.0	5.0	6.0	3.0	4.0	2.0	5.0	7.0	9.0	7.0	15.0	1.0	2.0	2.0	6.0	9.0	199.0
qu’elle_NOM_qu’elle	2.0	5.0	12.0	8.0	10.0	3.0	8.0	5.0	6.0	1.0	4.0	4.0	9.0	7.0	9.0	7.0	3.0	6.0	9.0	12.0	3.0	1.0	4.0	6.0	5.0	3.0	7.0	1.0	3.0	1.0	8.0	6.0	5.0	7.0	6.0	196.0
Mme_NOM_madame	0.0	1.0	11.0	32.0	8.0	16.0	3.0	0.0	4.0	8.0	11.0	11.0	2.0	14.0	4.0	0.0	1.0	13.0	9.0	6.0	3.0	2.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	17.0	2.0	7.0	0.0	2.0	0.0	194.0
que_PRO:REL_que	8.0	1.0	7.0	6.0	5.0	1.0	5.0	8.0	3.0	5.0	3.0	6.0	12.0	7.0	3.0	6.0	7.0	6.0	3.0	4.0	1.0	8.0	4.0	4.0	14.0	4.0	3.0	7.0	8.0	3.0	9.0	6.0	4.0	6.0	7.0	194.0
tête_NOM_tête	7.0	3.0	4.0	8.0	7.0	2.0	2.0	11.0	5.0	8.0	5.0	6.0	6.0	6.0	4.0	7.0	5.0	6.0	9.0	1.0	7.0	6.0	6.0	5.0	5.0	6.0	3.0	9.0	8.0	2.0	2.0	7.0	1.0	2.0	5.0	186.0
Je_PRO:PER_je	7.0	2.0	3.0	11.0	9.0	11.0	1.0	8.0	4.0	8.0	3.0	1.0	3.0	3.0	2.0	8.0	7.0	2.0	2.0	3.0	6.0	9.0	4.0	3.0	6.0	4.0	5.0	3.0	10.0	6.0	5.0	9.0	2.0	10.0	6.0	186.0
c’est_NOM_c’est	2.0	4.0	1.0	2.0	4.0	8.0	3.0	3.0	4.0	5.0	3.0	5.0	12.0	6.0	1.0	14.0	6.0	5.0	8.0	1.0	8.0	8.0	3.0	7.0	8.0	5.0	5.0	11.0	2.0	9.0	5.0	4.0	7.0	3.0	3.0	185.0
voix_NOM_voix	15.0	14.0	4.0	6.0	6.0	7.0	6.0	6.0	4.0	8.0	10.0	3.0	1.0	2.0	3.0	3.0	3.0	2.0	6.0	5.0	9.0	4.0	6.0	8.0	2.0	5.0	3.0	4.0	6.0	6.0	3.0	2.0	1.0	2.0	9.0	184.0
fut_VER:simp_être	2.0	7.0	4.0	8.0	2.0	3.0	3.0	2.0	3.0	2.0	1.0	4.0	7.0	11.0	5.0	3.0	5.0	9.0	8.0	5.0	5.0	4.0	11.0	11.0	6.0	8.0	3.0	8.0	1.0	7.0	5.0	6.0	6.0	4.0	4.0	183.0
sous_PRP_sous	9.0	4.0	4.0	4.0	5.0	1.0	6.0	5.0	3.0	7.0	7.0	6.0	6.0	3.0	3.0	7.0	7.0	5.0	3.0	7.0	4.0	8.0	4.0	3.0	6.0	3.0	4.0	7.0	3.0	8.0	5.0	5.0	11.0	5.0	4.0	182.0
me_PRO:PER_me	3.0	1.0	5.0	6.0	7.0	4.0	6.0	9.0	3.0	4.0	2.0	5.0	5.0	1.0	1.0	10.0	8.0	3.0	3.0	2.0	2.0	21.0	3.0	4.0	5.0	9.0	6.0	2.0	13.0	1.0	3.0	13.0	2.0	4.0	2.0	178.0
petit_ADJ_petit	3.0	3.0	4.0	6.0	5.0	5.0	8.0	7.0	8.0	3.0	5.0	3.0	8.0	9.0	9.0	2.0	2.0	4.0	0.0	5.0	7.0	2.0	7.0	7.0	4.0	5.0	2.0	1.0	2.0	5.0	12.0	12.0	3.0	6.0	3.0	177.0
mon_DET:POS_mon	9.0	6.0	1.0	1.0	6.0	4.0	4.0	10.0	4.0	3.0	3.0	3.0	5.0	3.0	1.0	6.0	11.0	8.0	1.0	1.0	6.0	9.0	1.0	10.0	6.0	2.0	4.0	3.0	6.0	7.0	7.0	9.0	6.0	9.0	2.0	177.0
porte_NOM_porte	3.0	3.0	5.0	7.0	5.0	2.0	7.0	3.0	6.0	9.0	5.0	4.0	3.0	3.0	5.0	6.0	11.0	6.0	3.0	6.0	6.0	3.0	2.0	9.0	6.0	2.0	1.0	0.0	3.0	4.0	4.0	9.0	6.0	5.0	8.0	170.0
s’était_VER:impf_s’était	2.0	5.0	2.0	5.0	4.0	7.0	4.0	5.0	8.0	10.0	2.0	5.0	6.0	4.0	5.0	3.0	6.0	2.0	2.0	3.0	8.0	3.0	3.0	3.0	5.0	5.0	5.0	4.0	7.0	6.0	8.0	9.0	2.0	7.0	5.0	170.0
là_ADV_là	2.0	8.0	6.0	3.0	4.0	6.0	7.0	3.0	5.0	3.0	9.0	9.0	6.0	0.0	6.0	4.0	8.0	6.0	7.0	8.0	4.0	5.0	5.0	2.0	3.0	5.0	5.0	2.0	1.0	3.0	3.0	5.0	4.0	3.0	7.0	167.0
voir_VER:infi_voir	5.0	6.0	6.0	5.0	3.0	8.0	5.0	2.0	6.0	5.0	6.0	6.0	8.0	4.0	3.0	8.0	3.0	8.0	9.0	2.0	3.0	5.0	1.0	4.0	4.0	4.0	6.0	5.0	3.0	1.0	6.0	2.0	2.0	7.0	6.0	167.0
femmes_NOM_femme	11.0	10.0	2.0	4.0	1.0	4.0	9.0	8.0	8.0	3.0	4.0	8.0	1.0	3.0	1.0	5.0	11.0	3.0	6.0	10.0	2.0	2.0	2.0	2.0	7.0	4.0	5.0	5.0	3.0	3.0	2.0	2.0	0.0	4.0	8.0	163.0
devant_PRP_devant	6.0	5.0	5.0	0.0	7.0	6.0	1.0	2.0	6.0	4.0	5.0	6.0	4.0	3.0	16.0	10.0	6.0	3.0	3.0	5.0	2.0	6.0	5.0	2.0	2.0	3.0	6.0	4.0	3.0	5.0	4.0	2.0	2.0	7.0	7.0	163.0
homme_NOM_homme	9.0	5.0	3.0	6.0	7.0	9.0	2.0	8.0	6.0	6.0	4.0	3.0	4.0	4.0	4.0	5.0	6.0	4.0	4.0	5.0	0.0	4.0	3.0	8.0	3.0	3.0	5.0	3.0	6.0	3.0	3.0	5.0	5.0	3.0	4.0	162.0
venait_VER:impf_venir	4.0	8.0	4.0	6.0	4.0	7.0	5.0	3.0	7.0	11.0	6.0	10.0	4.0	7.0	1.0	2.0	3.0	1.0	2.0	3.0	4.0	2.0	2.0	4.0	3.0	2.0	5.0	8.0	8.0	6.0	4.0	4.0	2.0	7.0	3.0	162.0
mais_KON_mais	4.0	5.0	6.0	5.0	5.0	8.0	6.0	4.0	6.0	5.0	1.0	4.0	5.0	4.0	4.0	3.0	2.0	9.0	6.0	5.0	9.0	7.0	4.0	3.0	4.0	6.0	6.0	2.0	5.0	1.0	3.0	2.0	4.0	5.0	3.0	161.0
monde_NOM_monde	7.0	5.0	3.0	6.0	7.0	3.0	7.0	6.0	3.0	5.0	5.0	4.0	0.0	5.0	2.0	5.0	5.0	7.0	2.0	6.0	4.0	4.0	6.0	7.0	2.0	7.0	4.0	5.0	6.0	7.0	1.0	2.0	4.0	4.0	4.0	160.0
faire_VER:infi_faire	1.0	3.0	2.0	9.0	6.0	5.0	4.0	5.0	7.0	2.0	3.0	4.0	5.0	5.0	8.0	5.0	3.0	5.0	9.0	4.0	6.0	5.0	3.0	5.0	5.0	3.0	8.0	3.0	5.0	2.0	4.0	8.0	0.0	3.0	5.0	160.0
-ce_PRO:DEM_ce	7.0	4.0	5.0	7.0	2.0	4.0	3.0	6.0	4.0	1.0	4.0	6.0	7.0	4.0	3.0	2.0	4.0	6.0	3.0	3.0	4.0	9.0	3.0	3.0	8.0	2.0	7.0	5.0	4.0	5.0	5.0	5.0	2.0	7.0	5.0	159.0
Georges_NAM_Georges	0.0	0.0	0.0	0.0	2.0	7.0	8.0	6.0	7.0	0.0	0.0	11.0	16.0	16.0	7.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	12.0	6.0	11.0	4.0	5.0	3.0	4.0	10.0	10.0	2.0	3.0	0.0	156.0
C’était_NAM_C’était	5.0	3.0	2.0	5.0	5.0	3.0	7.0	1.0	4.0	4.0	3.0	8.0	6.0	3.0	8.0	7.0	4.0	4.0	4.0	5.0	6.0	4.0	2.0	5.0	3.0	3.0	7.0	4.0	3.0	6.0	3.0	6.0	2.0	3.0	4.0	152.0
quand_KON_quand	0.0	2.0	3.0	2.0	2.0	4.0	3.0	6.0	5.0	4.0	0.0	4.0	6.0	4.0	5.0	3.0	2.0	5.0	8.0	6.0	4.0	5.0	6.0	6.0	5.0	5.0	2.0	4.0	8.0	5.0	2.0	6.0	5.0	4.0	6.0	147.0
tous_PRO:IND_tout	3.0	3.0	4.0	4.0	6.0	5.0	7.0	3.0	4.0	1.0	2.0	2.0	2.0	8.0	8.0	0.0	3.0	1.0	0.0	4.0	3.0	4.0	9.0	5.0	8.0	8.0	3.0	2.0	5.0	3.0	6.0	2.0	7.0	6.0	4.0	145.0
Un_DET:ART_un	5.0	6.0	8.0	4.0	6.0	3.0	4.0	2.0	7.0	5.0	4.0	4.0	0.0	4.0	5.0	3.0	7.0	2.0	1.0	6.0	0.0	5.0	5.0	2.0	1.0	1.0	4.0	6.0	4.0	4.0	5.0	7.0	6.0	3.0	5.0	144.0
eut_VER:simp_avoir	4.0	4.0	7.0	4.0	4.0	4.0	5.0	0.0	7.0	3.0	6.0	7.0	3.0	3.0	7.0	5.0	6.0	5.0	3.0	2.0	1.0	6.0	5.0	7.0	4.0	2.0	6.0	4.0	4.0	1.0	5.0	2.0	5.0	1.0	2.0	144.0
peu_ADV_peu	4.0	7.0	4.0	1.0	6.0	5.0	4.0	3.0	4.0	1.0	1.0	3.0	6.0	3.0	5.0	4.0	2.0	3.0	2.0	3.0	4.0	2.0	6.0	4.0	5.0	2.0	5.0	5.0	6.0	10.0	2.0	4.0	6.0	9.0	2.0	143.0
Vandeuvres_NAM_Vandeuvres	3.0	2.0	2.0	0.0	8.0	29.0	9.0	14.0	13.0	0.0	0.0	2.0	6.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	10.0	6.0	14.0	6.0	1.0	4.0	0.0	0.0	0.0	1.0	0.0	142.0
c’était_VER:impf_c’était	3.0	3.0	4.0	3.0	1.0	0.0	2.0	4.0	2.0	4.0	3.0	3.0	3.0	3.0	2.0	4.0	3.0	6.0	4.0	7.0	2.0	1.0	8.0	4.0	3.0	3.0	5.0	5.0	10.0	3.0	6.0	10.0	4.0	7.0	7.0	142.0
Les_DET:ART_le	4.0	6.0	2.0	6.0	2.0	8.0	8.0	3.0	3.0	0.0	5.0	1.0	0.0	9.0	4.0	1.0	6.0	3.0	2.0	6.0	4.0	1.0	2.0	4.0	5.0	5.0	5.0	12.0	4.0	6.0	3.0	2.0	3.0	2.0	4.0	141.0
trop_ADV_trop	9.0	2.0	3.0	4.0	3.0	2.0	9.0	4.0	2.0	2.0	6.0	3.0	6.0	0.0	2.0	5.0	7.0	6.0	4.0	4.0	3.0	3.0	6.0	2.0	3.0	4.0	3.0	3.0	7.0	2.0	3.0	5.0	3.0	5.0	5.0	140.0
Mignon_NAM_Mignon	4.0	7.0	4.0	2.0	2.0	1.0	15.0	10.0	4.0	15.0	5.0	1.0	0.0	4.0	3.0	0.0	0.0	2.0	0.0	0.0	5.0	5.0	9.0	0.0	0.0	7.0	5.0	2.0	2.0	1.0	0.0	0.0	2.0	14.0	9.0	140.0
soir_NOM_soir	1.0	2.0	2.0	3.0	6.0	3.0	3.0	2.0	5.0	4.0	6.0	10.0	6.0	9.0	6.0	4.0	2.0	2.0	4.0	9.0	4.0	2.0	2.0	7.0	4.0	1.0	1.0	3.0	3.0	4.0	4.0	4.0	8.0	3.0	1.0	140.0
chambre_NOM_chambre	0.0	0.0	9.0	6.0	1.0	0.0	1.0	0.0	6.0	1.0	2.0	4.0	11.0	6.0	3.0	2.0	5.0	7.0	0.0	1.0	3.0	0.0	9.0	4.0	2.0	2.0	0.0	0.0	10.0	3.0	12.0	7.0	8.0	4.0	9.0	138.0
air_NOM_air	3.0	2.0	6.0	9.0	4.0	5.0	3.0	2.0	2.0	2.0	6.0	2.0	2.0	6.0	6.0	6.0	2.0	2.0	7.0	4.0	5.0	3.0	3.0	4.0	2.0	9.0	2.0	2.0	3.0	8.0	3.0	1.0	5.0	2.0	5.0	138.0
qu’on_NOM_qu’on	3.0	8.0	1.0	5.0	7.0	9.0	8.0	9.0	9.0	3.0	1.0	5.0	4.0	6.0	1.0	2.0	2.0	6.0	3.0	7.0	2.0	3.0	4.0	2.0	3.0	0.0	4.0	8.0	2.0	0.0	2.0	2.0	1.0	2.0	1.0	135.0
tandis_KON_tandis	7.0	5.0	3.0	4.0	1.0	4.0	4.0	3.0	8.0	6.0	4.0	5.0	5.0	4.0	5.0	3.0	0.0	1.0	2.0	2.0	4.0	4.0	4.0	5.0	5.0	7.0	5.0	7.0	2.0	6.0	1.0	1.0	2.0	4.0	2.0	135.0
jeune_ADJ_jeune	8.0	3.0	4.0	9.0	7.0	4.0	3.0	6.0	1.0	2.0	6.0	4.0	5.0	3.0	2.0	3.0	1.0	4.0	2.0	0.0	0.0	2.0	6.0	6.0	8.0	8.0	2.0	3.0	4.0	7.0	6.0	2.0	2.0	0.0	1.0	134.0
hommes_NOM_homme	3.0	5.0	8.0	5.0	5.0	6.0	11.0	3.0	3.0	1.0	6.0	6.0	2.0	3.0	1.0	2.0	1.0	6.0	6.0	6.0	2.0	3.0	2.0	5.0	5.0	1.0	1.0	4.0	2.0	3.0	4.0	4.0	3.0	4.0	2.0	134.0
faisait_VER:impf_faire	5.0	3.0	4.0	5.0	2.0	1.0	3.0	6.0	5.0	4.0	2.0	0.0	3.0	4.0	0.0	9.0	4.0	6.0	6.0	2.0	5.0	3.0	10.0	4.0	5.0	1.0	3.0	3.0	3.0	2.0	4.0	3.0	7.0	3.0	3.0	133.0
À_PRP_à	3.0	6.0	6.0	2.0	3.0	6.0	3.0	6.0	1.0	2.0	7.0	6.0	3.0	1.0	2.0	4.0	10.0	1.0	4.0	3.0	4.0	2.0	1.0	3.0	4.0	3.0	6.0	7.0	2.0	3.0	3.0	1.0	3.0	1.0	10.0	132.0
grand_ADJ_grand	8.0	4.0	4.0	1.0	4.0	4.0	8.0	3.0	3.0	5.0	2.0	2.0	3.0	2.0	5.0	3.0	0.0	1.0	2.0	2.0	6.0	3.0	6.0	4.0	3.0	6.0	3.0	5.0	2.0	5.0	4.0	3.0	5.0	6.0	4.0	131.0
Rose_NAM_Rose	5.0	4.0	2.0	2.0	0.0	0.0	15.0	13.0	7.0	6.0	5.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	10.0	4.0	9.0	0.0	0.0	3.0	6.0	3.0	2.0	3.0	0.0	1.0	5.0	6.0	12.0	129.0
fois_NOM_foi|fois	0.0	2.0	2.0	5.0	2.0	3.0	3.0	7.0	4.0	3.0	5.0	3.0	1.0	5.0	7.0	3.0	5.0	3.0	2.0	7.0	7.0	1.0	2.0	3.0	2.0	2.0	1.0	1.0	5.0	1.0	7.0	5.0	8.0	6.0	5.0	128.0
milieu_NOM_milieu	3.0	8.0	4.0	1.0	5.0	5.0	7.0	2.0	1.0	5.0	6.0	7.0	1.0	3.0	3.0	2.0	0.0	2.0	2.0	3.0	2.0	0.0	3.0	3.0	4.0	8.0	0.0	6.0	3.0	9.0	5.0	3.0	2.0	5.0	4.0	127.0
tout_PRO:IND_tout	1.0	4.0	4.0	4.0	1.0	3.0	7.0	0.0	3.0	2.0	1.0	8.0	7.0	2.0	2.0	5.0	3.0	5.0	5.0	5.0	2.0	2.0	3.0	4.0	3.0	6.0	1.0	8.0	4.0	4.0	1.0	5.0	4.0	3.0	4.0	126.0
Ce_PRO:DEM_ce	1.0	4.0	1.0	4.0	4.0	8.0	1.0	3.0	1.0	3.0	4.0	2.0	6.0	4.0	4.0	5.0	5.0	5.0	2.0	4.0	2.0	2.0	4.0	5.0	4.0	2.0	4.0	8.0	1.0	1.0	5.0	3.0	4.0	2.0	6.0	124.0
Ah_INT_ah	7.0	2.0	3.0	4.0	4.0	1.0	6.0	2.0	4.0	2.0	0.0	4.0	8.0	2.0	1.0	6.0	4.0	7.0	4.0	1.0	4.0	3.0	4.0	4.0	2.0	3.0	5.0	2.0	4.0	3.0	2.0	4.0	2.0	3.0	5.0	122.0
nous_PRO:PER_nous	4.0	4.0	2.0	5.0	2.0	6.0	5.0	3.0	5.0	3.0	2.0	6.0	1.0	3.0	2.0	0.0	3.0	4.0	3.0	5.0	5.0	6.0	3.0	4.0	5.0	2.0	4.0	3.0	1.0	2.0	0.0	5.0	1.0	3.0	9.0	121.0
toute_PRO:IND_tout	2.0	3.0	2.0	0.0	4.0	2.0	4.0	5.0	4.0	3.0	5.0	2.0	5.0	6.0	1.0	4.0	5.0	9.0	5.0	4.0	2.0	1.0	0.0	2.0	4.0	4.0	4.0	4.0	4.0	1.0	5.0	5.0	3.0	3.0	3.0	120.0
trois_NUM_trois	2.0	4.0	8.0	8.0	1.0	4.0	3.0	4.0	3.0	1.0	5.0	0.0	2.0	2.0	6.0	2.0	1.0	2.0	8.0	7.0	3.0	0.0	5.0	4.0	3.0	6.0	2.0	2.0	3.0	1.0	8.0	1.0	1.0	3.0	4.0	119.0
Bordenave_NAM_Bordenave	8.0	1.0	2.0	1.0	1.0	0.0	11.0	7.0	4.0	8.0	10.0	7.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	19.0	11.0	10.0	0.0	0.0	0.0	2.0	6.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	117.0
Madame_NAM_Madame	0.0	0.0	18.0	15.0	4.0	4.0	2.0	0.0	0.0	1.0	4.0	0.0	11.0	2.0	2.0	1.0	2.0	9.0	1.0	1.0	3.0	0.0	4.0	5.0	6.0	0.0	0.0	0.0	4.0	4.0	5.0	4.0	3.0	2.0	0.0	117.0
fille_NOM_fille	5.0	3.0	4.0	1.0	2.0	9.0	3.0	4.0	6.0	1.0	2.0	2.0	3.0	3.0	1.0	3.0	3.0	3.0	2.0	3.0	3.0	1.0	8.0	5.0	9.0	2.0	3.0	3.0	1.0	2.0	4.0	2.0	2.0	6.0	2.0	116.0
comtesse_NOM_comte	2.0	5.0	3.0	0.0	17.0	21.0	4.0	1.0	1.0	0.0	2.0	7.0	2.0	7.0	1.0	2.0	1.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	4.0	0.0	9.0	15.0	0.0	2.0	1.0	3.0	0.0	116.0
Labordette_NAM_Labordette	2.0	2.0	1.0	0.0	3.0	0.0	7.0	8.0	8.0	0.0	0.0	0.0	0.0	5.0	3.0	0.0	0.0	1.0	0.0	3.0	7.0	4.0	4.0	0.0	4.0	10.0	5.0	13.0	4.0	0.0	9.0	0.0	3.0	6.0	2.0	114.0
entre_PRP_entre	2.0	5.0	4.0	4.0	4.0	6.0	4.0	2.0	5.0	7.0	5.0	4.0	1.0	4.0	2.0	4.0	3.0	3.0	2.0	2.0	4.0	3.0	1.0	5.0	3.0	4.0	2.0	2.0	4.0	4.0	4.0	1.0	2.0	2.0	0.0	114.0
te_PRO:PER_te	2.0	0.0	1.0	1.0	1.0	0.0	0.0	4.0	1.0	0.0	2.0	1.0	3.0	1.0	1.0	2.0	12.0	1.0	3.0	8.0	5.0	11.0	1.0	8.0	4.0	0.0	2.0	1.0	13.0	2.0	3.0	8.0	6.0	5.0	0.0	113.0
moi_PRO:PER_moi	2.0	1.0	0.0	1.0	6.0	2.0	2.0	2.0	4.0	3.0	2.0	0.0	3.0	1.0	1.0	5.0	5.0	3.0	4.0	5.0	5.0	6.0	2.0	5.0	4.0	5.0	3.0	3.0	3.0	3.0	1.0	7.0	2.0	7.0	5.0	113.0
puis_ADV_puis	3.0	1.0	4.0	4.0	3.0	2.0	3.0	2.0	2.0	5.0	4.0	3.0	4.0	6.0	4.0	1.0	3.0	3.0	3.0	0.0	2.0	4.0	4.0	5.0	7.0	4.0	2.0	3.0	3.0	1.0	5.0	2.0	4.0	3.0	3.0	112.0
Steiner_NAM_Steiner	10.0	6.0	3.0	3.0	7.0	8.0	8.0	6.0	8.0	2.0	0.0	5.0	2.0	13.0	3.0	2.0	2.0	3.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	3.0	0.0	1.0	1.0	4.0	0.0	0.0	4.0	0.0	2.0	109.0
mains_NOM_main	3.0	1.0	4.0	2.0	4.0	1.0	4.0	1.0	5.0	1.0	4.0	2.0	4.0	4.0	3.0	7.0	5.0	2.0	2.0	0.0	6.0	5.0	3.0	0.0	2.0	1.0	5.0	1.0	3.0	4.0	6.0	2.0	5.0	4.0	3.0	109.0
leurs_DET:POS_leur	13.0	8.0	1.0	1.0	0.0	2.0	4.0	2.0	4.0	2.0	3.0	3.0	1.0	6.0	4.0	1.0	2.0	3.0	3.0	4.0	3.0	0.0	1.0	0.0	3.0	9.0	6.0	2.0	1.0	3.0	3.0	2.0	3.0	2.0	4.0	109.0
Une_DET:ART_un	5.0	6.0	2.0	2.0	5.0	3.0	2.0	5.0	4.0	4.0	1.0	2.0	5.0	3.0	3.0	2.0	4.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	5.0	0.0	7.0	5.0	4.0	2.0	4.0	3.0	2.0	3.0	5.0	108.0
d’une_VER:subp_d’une	3.0	2.0	5.0	2.0	2.0	2.0	1.0	2.0	0.0	4.0	2.0	2.0	4.0	3.0	7.0	3.0	5.0	3.0	5.0	2.0	2.0	2.0	4.0	2.0	3.0	4.0	0.0	4.0	2.0	7.0	3.0	5.0	3.0	4.0	4.0	108.0
