	Zola_Nana_0	Zola_Nana_1	Zola_Nana_2	Zola_Nana_3	Zola_Nana_4	Zola_Nana_5	Zola_Nana_6	Zola_Nana_7	Zola_Nana_8	Zola_Nana_9	Zola_Nana_10	Zola_Nana_11	Zola_Nana_12	Zola_Nana_13	Zola_Nana_14	Zola_Nana_15	Zola_Nana_16	Zola_Nana_17	Zola_Nana_18	Zola_Nana_19	Zola_Nana_20	Zola_Nana_21	Zola_Nana_22	Zola_Nana_23	Zola_Nana_24	Zola_Nana_25	Zola_Nana_26	Zola_Nana_27	Zola_Nana_28	Zola_Nana_29	Zola_Nana_30	Zola_Nana_31	Zola_Nana_32	Zola_Nana_33	Zola_Nana_34	Zola_Nana_sum
du_PRP:det_du	35.0	27.0	26.0	31.0	22.0	26.0	21.0	29.0	37.0	32.0	32.0	28.0	18.0	17.0	27.0	23.0	17.0	19.0	18.0	27.0	21.0	17.0	18.0	18.0	10.0	21.0	24.0	22.0	9.0	36.0	21.0	16.0	14.0	19.0	18.0	796.0
sur_PRP_sur	14.0	20.0	25.0	28.0	15.0	16.0	9.0	13.0	20.0	28.0	27.0	32.0	17.0	24.0	27.0	20.0	23.0	18.0	24.0	29.0	28.0	29.0	18.0	21.0	15.0	32.0	34.0	27.0	19.0	14.0	25.0	16.0	24.0	21.0	30.0	782.0
pour_PRP_pour	19.0	21.0	23.0	19.0	22.0	15.0	17.0	28.0	20.0	19.0	13.0	16.0	23.0	22.0	19.0	18.0	20.0	28.0	22.0	28.0	26.0	18.0	14.0	20.0	20.0	21.0	24.0	16.0	20.0	14.0	26.0	27.0	23.0	23.0	17.0	721.0
sa_DET:POS_son	14.0	16.0	27.0	23.0	18.0	15.0	20.0	11.0	19.0	18.0	23.0	28.0	20.0	13.0	22.0	28.0	19.0	29.0	21.0	18.0	21.0	18.0	27.0	28.0	26.0	13.0	14.0	15.0	29.0	22.0	20.0	19.0	22.0	21.0	9.0	706.0
au_PRP:det_au	18.0	35.0	20.0	13.0	22.0	26.0	20.0	18.0	17.0	27.0	21.0	30.0	14.0	30.0	19.0	19.0	10.0	18.0	21.0	21.0	23.0	14.0	12.0	20.0	20.0	23.0	17.0	24.0	22.0	24.0	19.0	13.0	15.0	15.0	21.0	701.0
?_SENT_?	14.0	12.0	15.0	17.0	25.0	20.0	12.0	14.0	15.0	13.0	10.0	12.0	21.0	15.0	10.0	31.0	22.0	17.0	15.0	14.0	27.0	34.0	14.0	23.0	22.0	20.0	22.0	13.0	28.0	22.0	17.0	13.0	8.0	15.0	18.0	620.0
ce_PRO:DEM_ce	17.0	7.0	16.0	16.0	14.0	14.0	13.0	21.0	20.0	17.0	14.0	21.0	21.0	17.0	16.0	17.0	13.0	20.0	18.0	19.0	19.0	29.0	10.0	18.0	25.0	19.0	17.0	15.0	14.0	20.0	21.0	20.0	15.0	21.0	16.0	610.0
Nana_NAM_Nana	25.0	14.0	26.0	22.0	6.0	7.0	20.0	13.0	11.0	13.0	18.0	11.0	16.0	20.0	20.0	7.0	9.0	17.0	26.0	19.0	18.0	11.0	25.0	28.0	28.0	22.0	31.0	40.0	14.0	6.0	15.0	13.0	22.0	15.0	0.0	608.0
Il_PRO:PER_il	22.0	11.0	15.0	12.0	22.0	25.0	19.0	20.0	16.0	13.0	21.0	16.0	14.0	12.0	21.0	25.0	35.0	11.0	15.0	11.0	8.0	23.0	17.0	22.0	12.0	8.0	7.0	8.0	27.0	11.0	18.0	26.0	19.0	13.0	10.0	585.0
par_PRP_par	14.0	22.0	16.0	13.0	12.0	9.0	17.0	12.0	11.0	11.0	14.0	28.0	23.0	16.0	21.0	21.0	26.0	16.0	18.0	14.0	13.0	22.0	22.0	13.0	16.0	16.0	13.0	10.0	17.0	15.0	22.0	24.0	21.0	16.0	10.0	584.0
