	Dickens_Barnaby	Dickens_Cricket	Dickens_Dombey	sum
tortures	1.0	0.0	1.0	2.0
drill	1.0	0.0	1.0	2.0
hinge	1.0	0.0	1.0	2.0
tormentor	1.0	0.0	1.0	2.0
dressmaker	0.0	1.0	1.0	2.0
chimney-sweeper	0.0	0.0	2.0	2.0
tracing	0.0	0.0	2.0	2.0
accumulating	0.0	0.0	2.0	2.0
tract	0.0	0.0	2.0	2.0
heal	1.0	0.0	1.0	2.0
accounting	1.0	0.0	1.0	2.0
trance	1.0	0.0	1.0	2.0
heaped-up	0.0	0.0	2.0	2.0
heaping	1.0	0.0	1.0	2.0
ducking	1.0	0.0	1.0	2.0
trample	1.0	0.0	1.0	2.0
tramped	1.0	0.0	1.0	2.0
heart-rending	1.0	0.0	1.0	2.0
dubiously	1.0	0.0	1.0	2.0
trailing	2.0	0.0	0.0	2.0
chivalrous	0.0	0.0	2.0	2.0
heath	0.0	0.0	2.0	2.0
contingency	0.0	0.0	2.0	2.0
trading	0.0	0.0	2.0	2.0
heavenly	1.0	0.0	1.0	2.0
heavens	1.0	0.0	1.0	2.0
drummed	0.0	0.0	2.0	2.0
heaviest	0.0	1.0	1.0	2.0
heavy-laden	0.0	0.0	2.0	2.0
heedlessness	0.0	0.0	2.0	2.0
drudge	1.0	0.0	1.0	2.0
traders	1.0	0.0	1.0	2.0
chips	0.0	0.0	2.0	2.0
chip	0.0	1.0	1.0	2.0
heights	1.0	0.0	1.0	2.0
weather-glasses	0.0	0.0	2.0	2.0
heiress	2.0	0.0	0.0	2.0
chinese	0.0	0.0	2.0	2.0
earn	0.0	0.0	2.0	2.0
watered	0.0	0.0	2.0	2.0
trimming	1.0	0.0	1.0	2.0
elasticity	1.0	0.0	1.0	2.0
warm-hearted	1.0	0.0	1.0	2.0
elegantly	0.0	0.0	2.0	2.0
warmest	1.0	0.0	1.0	2.0
greens	1.0	1.0	0.0	2.0
turnkey	2.0	0.0	0.0	2.0
grey-eyed	2.0	0.0	0.0	2.0
grey-headed	1.0	0.0	1.0	2.0
constable	1.0	0.0	1.0	2.0
greyhound	2.0	0.0	0.0	2.0
turnings	0.0	1.0	1.0	2.0
elbow-chair	0.0	0.0	2.0	2.0
griefs	0.0	0.0	2.0	2.0
turned-up	1.0	1.0	0.0	2.0
grievous	2.0	0.0	0.0	2.0
turn-to	0.0	0.0	2.0	2.0
clamouring	0.0	0.0	2.0	2.0
elastic	0.0	0.0	2.0	2.0
claps	0.0	0.0	2.0	2.0
grisly	0.0	0.0	2.0	2.0
grizzled	1.0	0.0	1.0	2.0
turbid	0.0	0.0	2.0	2.0
groaning	2.0	0.0	0.0	2.0
groans	2.0	0.0	0.0	2.0
grocer	0.0	0.0	2.0	2.0
eke	0.0	0.0	2.0	2.0
groom	1.0	0.0	1.0	2.0
accent	0.0	0.0	2.0	2.0
grosvenor	1.0	0.0	1.0	2.0
ground-glass	0.0	0.0	2.0	2.0
tumbles	1.0	0.0	1.0	2.0
conspicuously	0.0	0.0	2.0	2.0
turpentine	1.0	0.0	1.0	2.0
clasps	0.0	0.0	2.0	2.0
warlike	1.0	0.0	1.0	2.0
twirled	1.0	0.0	1.0	2.0
governess	0.0	0.0	2.0	2.0
governing	0.0	0.0	2.0	2.0
twirl	0.0	0.0	2.0	2.0
twins	0.0	0.0	2.0	2.0
clearance	0.0	0.0	2.0	2.0
gracefulness	2.0	0.0	0.0	2.0
twinkle	0.0	1.0	1.0	2.0
wantonly	2.0	0.0	0.0	2.0
twine	0.0	0.0	2.0	2.0
twig	2.0	0.0	0.0	2.0
twenty-two	2.0	0.0	0.0	2.0
cleanest	1.0	0.0	1.0	2.0
grappled	1.0	0.0	1.0	2.0
warbler	1.0	0.0	1.0	2.0
embarked	2.0	0.0	0.0	2.0
claws	0.0	0.0	2.0	2.0
wardens	1.0	0.0	1.0	2.0
gratings	1.0	0.0	1.0	2.0
elude	1.0	0.0	1.0	2.0
clattered	1.0	1.0	0.0	2.0
wardrobes	1.0	0.0	1.0	2.0
ware-room	0.0	2.0	0.0	2.0
eloquent	0.0	0.0	2.0	2.0
gravelled	1.0	0.0	1.0	2.0
tush	1.0	0.0	1.0	2.0
warehouse	0.0	0.0	2.0	2.0
wares	0.0	0.0	2.0	2.0
elizabeth	2.0	0.0	0.0	2.0
warranted	1.0	0.0	1.0	2.0
eighth	1.0	0.0	1.0	2.0
earning	1.0	0.0	1.0	2.0
consultation	0.0	0.0	2.0	2.0
truckled	1.0	0.0	1.0	2.0
edification	0.0	0.0	2.0	2.0
eden	1.0	0.0	1.0	2.0
ecstasies	0.0	0.0	2.0	2.0
accessory	1.0	0.0	1.0	2.0
hah	0.0	2.0	0.0	2.0
hal-loa	2.0	0.0	0.0	2.0
eccentricities	0.0	0.0	2.0	2.0
trordinry	0.0	0.0	2.0	2.0
circulated	2.0	0.0	0.0	2.0
ebbed	0.0	0.0	2.0	2.0
watchmen	2.0	0.0	0.0	2.0
eaves	2.0	0.0	0.0	2.0
eating-house	0.0	0.0	2.0	2.0
triumphing	1.0	0.0	1.0	2.0
acceptance	0.0	0.0	2.0	2.0
triumphed	1.0	0.0	1.0	2.0
acclamations	2.0	0.0	0.0	2.0
eatables	2.0	0.0	0.0	2.0
accommodate	2.0	0.0	0.0	2.0
eastward	1.0	0.0	1.0	2.0
eastern	0.0	0.0	2.0	2.0
consummate	2.0	0.0	0.0	2.0
consumption	0.0	0.0	2.0	2.0
water-side	1.0	0.0	1.0	2.0
tripping	1.0	0.0	1.0	2.0
earthquake	0.0	0.0	2.0	2.0
half-pence	0.0	0.0	2.0	2.0
water-spout	1.0	0.0	1.0	2.0
contagious	1.0	0.0	1.0	2.0
habitually	0.0	0.0	2.0	2.0
edified	1.0	0.0	1.0	2.0
habitations	1.0	0.0	1.0	2.0
trucks	2.0	0.0	0.0	2.0
eighteen-pence	0.0	1.0	1.0	2.0
tuition	1.0	0.0	1.0	2.0
growls	0.0	0.0	2.0	2.0
grown-up	1.0	0.0	1.0	2.0
tugged	1.0	0.0	1.0	2.0
egress	1.0	0.0	1.0	2.0
grudgingly	0.0	0.0	2.0	2.0
tucker	0.0	0.0	2.0	2.0
warwickshire	0.0	0.0	2.0	2.0
grumbled	0.0	1.0	1.0	2.0
tub	0.0	0.0	2.0	2.0
grunt	0.0	0.0	2.0	2.0
wary	0.0	1.0	1.0	2.0
guard-house	2.0	0.0	0.0	2.0
guardians	0.0	1.0	1.0	2.0
wash	0.0	0.0	2.0	2.0
access	2.0	0.0	0.0	2.0
effervescent	0.0	0.0	2.0	2.0
civic	1.0	0.0	1.0	2.0
gulp	1.0	0.0	1.0	2.0
effecting	0.0	1.0	1.0	2.0
gum	0.0	0.0	2.0	2.0
gun-shot	2.0	0.0	0.0	2.0
gushes	0.0	0.0	2.0	2.0
gutters	1.0	0.0	1.0	2.0
guy	0.0	0.0	2.0	2.0
guzzlings	0.0	0.0	2.0	2.0
educate	0.0	0.0	2.0	2.0
trudging	1.0	0.0	1.0	2.0
wedlock	1.0	0.0	1.0	2.0
contributed	2.0	0.0	0.0	2.0
dregs	1.0	0.0	1.0	2.0
impartial	0.0	0.0	2.0	2.0
distinguishable	1.0	0.0	1.0	2.0
distincter	0.0	0.0	2.0	2.0
thunderer	2.0	0.0	0.0	2.0
immeasurable	0.0	0.0	2.0	2.0
distended	0.0	1.0	1.0	2.0
chandler	1.0	0.0	1.0	2.0
immersed	0.0	0.0	2.0	2.0
cooped	2.0	0.0	0.0	2.0
dissuasions	1.0	0.0	1.0	2.0
adherent	0.0	0.0	2.0	2.0
immunities	1.0	0.0	1.0	2.0
dissuaded	1.0	0.0	1.0	2.0
dissolved	1.0	0.0	1.0	2.0
whiles	2.0	0.0	0.0	2.0
impartially	1.0	1.0	0.0	2.0
imperilled	0.0	1.0	1.0	2.0
imparts	2.0	0.0	0.0	2.0
impassable	0.0	0.0	2.0	2.0
chancery	0.0	0.0	2.0	2.0
dissensions	1.0	0.0	1.0	2.0
whimper	0.0	0.0	2.0	2.0
dissatisfied	1.0	0.0	1.0	2.0
impeaching	0.0	0.0	2.0	2.0
impeachment	0.0	0.0	2.0	2.0
disrespectfully	0.0	0.0	2.0	2.0
impediment	0.0	0.0	2.0	2.0
adieu	0.0	0.0	2.0	2.0
imperatively	1.0	0.0	1.0	2.0
disrespectable	1.0	0.0	1.0	2.0
imperial	0.0	0.0	2.0	2.0
whereupon	0.0	0.0	2.0	2.0
distortions	0.0	0.0	2.0	2.0
ticked	1.0	1.0	0.0	2.0
imaged	1.0	1.0	0.0	2.0
idlest	0.0	0.0	2.0	2.0
tightening	0.0	0.0	2.0	2.0
diversified	0.0	0.0	2.0	2.0
wheezing	0.0	0.0	2.0	2.0
ignoble	2.0	0.0	0.0	2.0
divan	0.0	0.0	2.0	2.0
ignominious	0.0	0.0	2.0	2.0
addresses	0.0	0.0	2.0	2.0
ditto	1.0	0.0	1.0	2.0
disuse	0.0	0.0	2.0	2.0
ill-fated	1.0	0.0	1.0	2.0
tiger	2.0	0.0	0.0	2.0
tiers	0.0	0.0	2.0	2.0
ill-matched	0.0	0.0	2.0	2.0
ill-omen	0.0	0.0	2.0	2.0
ill-omened	1.0	0.0	1.0	2.0
tidy	1.0	0.0	1.0	2.0
adequate	2.0	0.0	0.0	2.0
ill.	2.0	0.0	0.0	2.0
tiddler	0.0	0.0	2.0	2.0
illnesses	1.0	0.0	1.0	2.0
whereat	2.0	0.0	0.0	2.0
illumination	0.0	0.0	2.0	2.0
distressful	1.0	0.0	1.0	2.0
whereby	0.0	0.0	2.0	2.0
tickling	1.0	0.0	1.0	2.0
tickled	0.0	0.0	2.0	2.0
distract	0.0	0.0	2.0	2.0
tickerlerly	0.0	0.0	2.0	2.0
disrespect	0.0	0.0	2.0	2.0
disquieted	1.0	0.0	1.0	2.0
diverting	2.0	0.0	0.0	2.0
incontrovertible	0.0	1.0	1.0	2.0
whisperings	1.0	1.0	0.0	2.0
threadbare	2.0	0.0	0.0	2.0
incautiously	1.0	0.0	1.0	2.0
inclemency	2.0	0.0	0.0	2.0
dislikings	1.0	0.0	1.0	2.0
thousandfold	2.0	0.0	0.0	2.0
coquette	2.0	0.0	0.0	2.0
inclosing	2.0	0.0	0.0	2.0
adjustment	0.0	1.0	1.0	2.0
disjointed	1.0	0.0	1.0	2.0
administering	0.0	1.0	1.0	2.0
thoroughgoing	1.0	0.0	1.0	2.0
inconsiderate	2.0	0.0	0.0	2.0
inconsolable	2.0	0.0	0.0	2.0
inconveniences	0.0	0.0	2.0	2.0
disquiet	2.0	0.0	0.0	2.0
dishonour	2.0	0.0	0.0	2.0
chafing-dish	0.0	0.0	2.0	2.0
thorns	0.0	0.0	2.0	2.0
whitening	1.0	1.0	0.0	2.0
thomas	2.0	0.0	0.0	2.0
disheartened	0.0	0.0	2.0	2.0
indecision	2.0	0.0	0.0	2.0
whitewash	0.0	0.0	2.0	2.0
indefinitely	0.0	0.0	2.0	2.0
indelibly	1.0	0.0	1.0	2.0
whittingtonian	0.0	0.0	2.0	2.0
thirsting	1.0	0.0	1.0	2.0
disgraced	1.0	0.0	1.0	2.0
independently	2.0	0.0	0.0	2.0
threads	0.0	1.0	1.0	2.0
chalked	1.0	0.0	1.0	2.0
imputation	1.0	0.0	1.0	2.0
impulsive	0.0	0.0	2.0	2.0
disputes	1.0	0.0	1.0	2.0
impertinence	1.0	0.0	1.0	2.0
impertinences	1.0	0.0	1.0	2.0
thronging	2.0	0.0	0.0	2.0
disputed	1.0	0.0	1.0	2.0
impiety	0.0	0.0	2.0	2.0
disproportionate	0.0	1.0	1.0	2.0
implements	0.0	1.0	1.0	2.0
displays	1.0	0.0	1.0	2.0
implicit	0.0	0.0	2.0	2.0
import	1.0	0.0	1.0	2.0
championship	1.0	0.0	1.0	2.0
importing	0.0	0.0	2.0	2.0
dispirited	1.0	0.0	1.0	2.0
dispensed	1.0	0.0	1.0	2.0
imposing	0.0	0.0	2.0	2.0
imposition	1.0	0.0	1.0	2.0
imposture	1.0	0.0	1.0	2.0
thrived	1.0	0.0	1.0	2.0
impregnated	0.0	0.0	2.0	2.0
thrill	0.0	0.0	2.0	2.0
adjourned	1.0	0.0	1.0	2.0
improper	1.0	0.0	1.0	2.0
threes	1.0	0.0	1.0	2.0
three-fourths	0.0	0.0	2.0	2.0
imprudent	2.0	0.0	0.0	2.0
whisking	0.0	0.0	2.0	2.0
impudent	0.0	0.0	2.0	2.0
disobeying	2.0	0.0	0.0	2.0
chaps	2.0	0.0	0.0	2.0
divested	0.0	0.0	2.0	2.0
hitch	0.0	0.0	2.0	2.0
horror-stricken	2.0	0.0	0.0	2.0
hooking	0.0	0.0	2.0	2.0
hoop	0.0	0.0	2.0	2.0
tombses	2.0	0.0	0.0	2.0
doughty	0.0	0.0	2.0	2.0
tolls	1.0	0.0	1.0	2.0
hootings	2.0	0.0	0.0	2.0
chequered	1.0	0.0	1.0	2.0
chemists	1.0	0.0	1.0	2.0
well-favoured	2.0	0.0	0.0	2.0
tolerated	0.0	0.0	2.0	2.0
tolerant	0.0	0.0	2.0	2.0
conveyances	2.0	0.0	0.0	2.0
actively	1.0	0.0	1.0	2.0
tol	0.0	0.0	2.0	2.0
toilsome	2.0	0.0	0.0	2.0
convictions	0.0	0.0	2.0	2.0
horse-soldier	2.0	0.0	0.0	2.0
cheerful-looking	0.0	0.0	2.0	2.0
doubly	2.0	0.0	0.0	2.0
toilette	0.0	0.0	2.0	2.0
toes	0.0	1.0	1.0	2.0
double-quick	1.0	0.0	1.0	2.0
hosts	0.0	0.0	2.0	2.0
acute	1.0	0.0	1.0	2.0
well-made	1.0	0.0	1.0	2.0
toasts	1.0	0.0	1.0	2.0
doting	1.0	0.0	1.0	2.0
hotly	0.0	1.0	1.0	2.0
well-matched	0.0	0.0	2.0	2.0
well-mounted	2.0	0.0	0.0	2.0
conversion	1.0	0.0	1.0	2.0
downfall	1.0	0.0	1.0	2.0
honourably	1.0	0.0	1.0	2.0
cherub	0.0	0.0	2.0	2.0
hitched	0.0	0.0	2.0	2.0
hitching	0.0	0.0	2.0	2.0
drearily	1.0	0.0	1.0	2.0
toppling	2.0	0.0	0.0	2.0
hoar	0.0	2.0	0.0	2.0
hoarseness	2.0	0.0	0.0	2.0
hob	1.0	1.0	0.0	2.0
contrivance	1.0	0.0	1.0	2.0
contrivances	1.0	0.0	1.0	2.0
weighs	0.0	2.0	0.0	2.0
weights	0.0	1.0	1.0	2.0
drawing-	0.0	0.0	2.0	2.0
contumacy	0.0	0.0	2.0	2.0
hoist	0.0	0.0	2.0	2.0
acquiesced	1.0	0.0	1.0	2.0
draughts	1.0	0.0	1.0	2.0
holden	0.0	1.0	1.0	2.0
holland	1.0	0.0	1.0	2.0
acquiescent	0.0	0.0	2.0	2.0
holster-case	2.0	0.0	0.0	2.0
home-brewed	2.0	0.0	0.0	2.0
acquirements	1.0	0.0	1.0	2.0
tons	0.0	0.0	2.0	2.0
dragons	1.0	0.0	1.0	2.0
chess	0.0	0.0	2.0	2.0
conventional	2.0	0.0	0.0	2.0
homily	1.0	0.0	1.0	2.0
honey	0.0	0.0	2.0	2.0
cherubim	0.0	0.0	2.0	2.0
well-nigh	2.0	0.0	0.0	2.0
house-doors	1.0	0.0	1.0	2.0
tightness	1.0	0.0	1.0	2.0
hurled	1.0	0.0	1.0	2.0
chasing	0.0	0.0	2.0	2.0
humbug	0.0	1.0	1.0	2.0
tinted	1.0	0.0	1.0	2.0
chased	1.0	0.0	1.0	2.0
doings	2.0	0.0	0.0	2.0
charts	0.0	0.0	2.0	2.0
humours	2.0	0.0	0.0	2.0
chartered	0.0	0.0	2.0	2.0
what's-her-name	0.0	1.0	1.0	2.0
charter	1.0	0.0	1.0	2.0
hundredfold	2.0	0.0	0.0	2.0
convulsive	0.0	1.0	1.0	2.0
hunt	2.0	0.0	0.0	2.0
dodging	1.0	0.0	1.0	2.0
charmer	2.0	0.0	0.0	2.0
doorstep	2.0	0.0	0.0	2.0
hurrahs	2.0	0.0	0.0	2.0
timorous	2.0	0.0	0.0	2.0
charging	0.0	0.0	2.0	2.0
whatsoever	1.0	0.0	1.0	2.0
doctrine	1.0	0.0	1.0	2.0
convulsively	0.0	0.0	2.0	2.0
timepiece	0.0	0.0	2.0	2.0
huts	1.0	0.0	1.0	2.0
timber	1.0	0.0	1.0	2.0
divinity	0.0	0.0	2.0	2.0
idealised	1.0	0.0	1.0	2.0
divesting	0.0	0.0	2.0	2.0
identified	0.0	0.0	2.0	2.0
identity	1.0	1.0	0.0	2.0
humbling	1.0	0.0	1.0	2.0
convoy	0.0	0.0	2.0	2.0
chasm	0.0	0.0	2.0	2.0
humankind	1.0	1.0	0.0	2.0
house-keeper	0.0	0.0	2.0	2.0
house-room	0.0	0.0	2.0	2.0
house-top	1.0	0.0	1.0	2.0
adage	1.0	0.0	1.0	2.0
housekeeping	1.0	0.0	1.0	2.0
to-	0.0	0.0	2.0	2.0
wellington	0.0	0.0	2.0	2.0
housewife	2.0	0.0	0.0	2.0
door-key	1.0	0.0	1.0	2.0
doomsday	1.0	0.0	1.0	2.0
doom	1.0	0.0	1.0	2.0
titter	2.0	0.0	0.0	2.0
chatter	2.0	0.0	0.0	2.0
howler	0.0	0.0	2.0	2.0
wengeance	2.0	0.0	0.0	2.0
howls	2.0	0.0	0.0	2.0
dominions	0.0	0.0	2.0	2.0
hubbub	2.0	0.0	0.0	2.0
variations	1.0	0.0	1.0	2.0
huddled	1.0	0.0	1.0	2.0
adamantine	2.0	0.0	0.0	2.0
tire	0.0	1.0	1.0	2.0
domestics	0.0	0.0	2.0	2.0
convivial	1.0	1.0	0.0	2.0
chastity	1.0	0.0	1.0	2.0
hugs	1.0	0.0	1.0	2.0
domber	0.0	0.0	2.0	2.0
western	1.0	0.0	1.0	2.0
tip-toe	0.0	0.0	2.0	2.0
govern	2.0	0.0	0.0	2.0
gouty	2.0	0.0	0.0	2.0
embodied	1.0	0.0	1.0	2.0
floor-cloth	0.0	0.0	2.0	2.0
flickered	1.0	0.0	1.0	2.0
vied	1.0	0.0	1.0	2.0
flings	0.0	1.0	1.0	2.0
executing	0.0	0.0	2.0	2.0
unsightly	2.0	0.0	0.0	2.0
flinty	0.0	0.0	2.0	2.0
flip	2.0	0.0	0.0	2.0
excusing	0.0	0.0	2.0	2.0
excuses	0.0	0.0	2.0	2.0
confidences	2.0	0.0	0.0	2.0
excruciating	0.0	0.0	2.0	2.0
flocking	2.0	0.0	0.0	2.0
unseasonable	0.0	0.0	2.0	2.0
unscrewed	0.0	0.0	2.0	2.0
excluding	0.0	0.0	2.0	2.0
exceeds	2.0	0.0	0.0	2.0
flooring	2.0	0.0	0.0	2.0
exclaiming	0.0	0.0	2.0	2.0
exciseman	0.0	0.0	2.0	2.0
villages	1.0	0.0	1.0	2.0
villainy	0.0	0.0	2.0	2.0
unresponsive	1.0	0.0	1.0	2.0
unresisting	1.0	0.0	1.0	2.0
flower-garden	0.0	0.0	2.0	2.0
unreserved	1.0	0.0	1.0	2.0
comical	1.0	1.0	0.0	2.0
unrequited	1.0	0.0	1.0	2.0
excellence	1.0	0.0	1.0	2.0
excelled	0.0	0.0	2.0	2.0
fluency	1.0	0.0	1.0	2.0
unsparing	1.0	0.0	1.0	2.0
abduction	2.0	0.0	0.0	2.0
exercised	1.0	0.0	1.0	2.0
victorious	1.0	0.0	1.0	2.0
experiments	1.0	0.0	1.0	2.0
experiment	1.0	0.0	1.0	2.0
experiences	0.0	0.0	2.0	2.0
vexations	1.0	0.0	1.0	2.0
fitful	1.0	0.0	1.0	2.0
fitness	0.0	0.0	2.0	2.0
untoward	1.0	0.0	1.0	2.0
untouched	2.0	0.0	0.0	2.0
commercial	1.0	0.0	1.0	2.0
fixedness	1.0	0.0	1.0	2.0
comments	1.0	0.0	1.0	2.0
untimely	0.0	0.0	2.0	2.0
confederacy	2.0	0.0	0.0	2.0
expectancy	1.0	1.0	0.0	2.0
commentary	0.0	0.0	2.0	2.0
expatriated	0.0	0.0	2.0	2.0
expatiated	1.0	0.0	1.0	2.0
flanked	1.0	1.0	0.0	2.0
flap	2.0	0.0	0.0	2.0
expand	0.0	0.0	2.0	2.0
flapping	2.0	0.0	0.0	2.0
unsuspicious	0.0	1.0	1.0	2.0
commendations	0.0	0.0	2.0	2.0
exists	1.0	0.0	1.0	2.0
flattened	1.0	0.0	1.0	2.0
flaunting	2.0	0.0	0.0	2.0
exile	0.0	0.0	2.0	2.0
unstrung	0.0	0.0	2.0	2.0
fleece	2.0	0.0	0.0	2.0
unrefreshed	0.0	0.0	2.0	2.0
fluffy	0.0	0.0	2.0	2.0
vex	1.0	0.0	1.0	2.0
foreheads	1.0	0.0	1.0	2.0
footstool	0.0	0.0	2.0	2.0
footway	2.0	0.0	0.0	2.0
forasmuch	1.0	0.0	1.0	2.0
colonnade	2.0	0.0	0.0	2.0
unmitigated	0.0	1.0	1.0	2.0
unmingled	1.0	0.0	1.0	2.0
unmerited	0.0	0.0	2.0	2.0
everythink	1.0	0.0	1.0	2.0
fore	1.0	0.0	1.0	2.0
unmerciful	2.0	0.0	0.0	2.0
everyday	1.0	0.0	1.0	2.0
unluckily	2.0	0.0	0.0	2.0
unloving	0.0	0.0	2.0	2.0
unlooked-for	0.0	1.0	1.0	2.0
eventful	0.0	0.0	2.0	2.0
unrecognised	0.0	0.0	2.0	2.0
foreman	0.0	0.0	2.0	2.0
unlocking	1.0	0.0	1.0	2.0
foreseeing	0.0	0.0	2.0	2.0
foreshadowing	0.0	0.0	2.0	2.0
virgil	0.0	0.0	2.0	2.0
foreshadowings	0.0	0.0	2.0	2.0
confusing	0.0	0.0	2.0	2.0
forests	0.0	0.0	2.0	2.0
unlock	2.0	0.0	0.0	2.0
confusions	0.0	0.0	2.0	2.0
forewarned	0.0	0.0	2.0	2.0
forges	1.0	0.0	1.0	2.0
unkindness	0.0	0.0	2.0	2.0
evaded	2.0	0.0	0.0	2.0
footpace	2.0	0.0	0.0	2.0
unoccupied	1.0	0.0	1.0	2.0
unoffending	0.0	0.0	2.0	2.0
foot-passengers	1.0	0.0	1.0	2.0
flustered	0.0	1.0	1.0	2.0
flute	0.0	0.0	2.0	2.0
unreal	0.0	0.0	2.0	2.0
unquiet	1.0	0.0	1.0	2.0
fly-van	0.0	0.0	2.0	2.0
foam	1.0	0.0	1.0	2.0
vindication	1.0	0.0	1.0	2.0
vindictive	0.0	0.0	2.0	2.0
foes	2.0	0.0	0.0	2.0
vindictiveness	0.0	0.0	2.0	2.0
examine	1.0	0.0	1.0	2.0
exalting	0.0	0.0	2.0	2.0
foibles	2.0	0.0	0.0	2.0
unprovided	0.0	0.0	2.0	2.0
folding-doors	0.0	0.0	2.0	2.0
folk	2.0	0.0	0.0	2.0
exaggeration	2.0	0.0	0.0	2.0
follers	0.0	0.0	2.0	2.0
follies	2.0	0.0	0.0	2.0
unprepared	1.0	0.0	1.0	2.0
exactness	1.0	0.0	1.0	2.0
combat	1.0	0.0	1.0	2.0
exacted	1.0	0.0	1.0	2.0
conflagrations	2.0	0.0	0.0	2.0
abed	2.0	0.0	0.0	2.0
evolutions	1.0	0.0	1.0	2.0
evils	0.0	0.0	2.0	2.0
unpalatable	1.0	0.0	1.0	2.0
foot-pace	1.0	0.0	1.0	2.0
commissioned	2.0	0.0	0.0	2.0
vestments	1.0	0.0	1.0	2.0
eulogium	1.0	0.0	1.0	2.0
faint-hearted	0.0	0.0	2.0	2.0
vaunted	0.0	0.0	2.0	2.0
completeness	0.0	0.0	2.0	2.0
vaunts	1.0	0.0	1.0	2.0
february	1.0	0.0	1.0	2.0
feebleness	0.0	0.0	2.0	2.0
fairer	2.0	0.0	0.0	2.0
fair-faced	0.0	0.0	2.0	2.0
feed	2.0	0.0	0.0	2.0
faintest-hearted	2.0	0.0	0.0	2.0
feeding	0.0	0.0	2.0	2.0
conceited	1.0	0.0	1.0	2.0
feelingly	0.0	0.0	2.0	2.0
competitors	1.0	0.0	1.0	2.0
vegetation	0.0	0.0	2.0	2.0
feline	0.0	0.0	2.0	2.0
usband	0.0	0.0	2.0	2.0
concentrate	0.0	0.0	2.0	2.0
felled	2.0	0.0	0.0	2.0
veiling	1.0	0.0	1.0	2.0
facing	1.0	0.0	1.0	2.0
facilities	0.0	0.0	2.0	2.0
fellow-creatures	2.0	0.0	0.0	2.0
facetiously	1.0	1.0	0.0	2.0
fellow-feeling	1.0	0.0	1.0	2.0
ushers	0.0	0.0	2.0	2.0
facetious	0.0	0.0	2.0	2.0
vellum	1.0	0.0	1.0	2.0
fabulous	2.0	0.0	0.0	2.0
fables	0.0	0.0	2.0	2.0
velveteen	1.0	0.0	1.0	2.0
feat	1.0	0.0	1.0	2.0
feasting	1.0	0.0	1.0	2.0
complex	1.0	0.0	1.0	2.0
a-hoy	0.0	0.0	2.0	2.0
varieties	1.0	0.0	1.0	2.0
fantastically	0.0	0.0	2.0	2.0
a-crying	1.0	0.0	1.0	2.0
farmer	1.0	0.0	1.0	2.0
vantage-ground	1.0	0.0	1.0	2.0
a-coming	0.0	0.0	2.0	2.0
fanning	2.0	0.0	0.0	2.0
farthings	0.0	0.0	2.0	2.0
vanquished	0.0	0.0	2.0	2.0
vanish	1.0	0.0	1.0	2.0
fanciful	1.0	0.0	1.0	2.0
vane	2.0	0.0	0.0	2.0
van	2.0	0.0	0.0	2.0
vampires	0.0	0.0	2.0	2.0
fastenings	1.0	0.0	1.0	2.0
comprised	0.0	0.0	2.0	2.0
valueless	0.0	0.0	2.0	2.0
compromised	1.0	0.0	1.0	2.0
vassal	0.0	0.0	2.0	2.0
fates	1.0	0.0	1.0	2.0
fatherly	0.0	0.0	2.0	2.0
valets	0.0	0.0	2.0	2.0
vastly	1.0	0.0	1.0	2.0
fathoms	1.0	0.0	1.0	2.0
fatiguing	1.0	0.0	1.0	2.0
compromising	1.0	0.0	1.0	2.0
falsest	0.0	0.0	2.0	2.0
complimented	0.0	0.0	2.0	2.0
compunction	0.0	0.0	2.0	2.0
a-week	1.0	0.0	1.0	2.0
vended	0.0	0.0	2.0	2.0
unwarrantable	1.0	0.0	1.0	2.0
exposure	2.0	0.0	0.0	2.0
uphold	1.0	0.0	1.0	2.0
uphill	0.0	0.0	2.0	2.0
extinction	2.0	0.0	0.0	2.0
extinct	1.0	0.0	1.0	2.0
external	0.0	0.0	2.0	2.0
communications	0.0	0.0	2.0	2.0
extemporaneous	1.0	0.0	1.0	2.0
finchley	1.0	0.0	1.0	2.0
expressionless	0.0	0.0	2.0	2.0
unwound	1.0	0.0	1.0	2.0
finger-post	1.0	1.0	0.0	2.0
condiments	1.0	0.0	1.0	2.0
vermin	1.0	0.0	1.0	2.0
unwittingly	0.0	0.0	2.0	2.0
fire-box	0.0	2.0	0.0	2.0
usages	1.0	0.0	1.0	2.0
exposing	0.0	0.0	2.0	2.0
fire-place	0.0	0.0	2.0	2.0
unwieldy	2.0	0.0	0.0	2.0
common-place	0.0	0.0	2.0	2.0
exploded	1.0	0.0	1.0	2.0
vest	1.0	0.0	1.0	2.0
firelight	0.0	0.0	2.0	2.0
fireman	0.0	0.0	2.0	2.0
commodities	0.0	0.0	2.0	2.0
firewood	2.0	0.0	0.0	2.0
committee	1.0	0.0	1.0	2.0
unwell	1.0	0.0	1.0	2.0
vestige	1.0	0.0	1.0	2.0
firms	1.0	0.0	1.0	2.0
fillet	0.0	0.0	2.0	2.0
extinguishing	2.0	0.0	0.0	2.0
filing	1.0	0.0	1.0	2.0
filed	2.0	0.0	0.0	2.0
eyelash	1.0	0.0	1.0	2.0
urges	0.0	0.0	2.0	2.0
urgency	0.0	0.0	2.0	2.0
fervency	0.0	1.0	1.0	2.0
compeers	0.0	1.0	1.0	2.0
veneration	0.0	0.0	2.0	2.0
