	Dickens_Barnaby	Dickens_Cricket	Dickens_Dombey	sum
gentleman	203.0	15.0	219.0	437.0
another	180.0	30.0	226.0	436.0
father	169.0	59.0	208.0	436.0
home	121.0	41.0	271.0	433.0
lady	81.0	11.0	340.0	432.0
left	201.0	20.0	209.0	430.0
yes	134.0	32.0	261.0	427.0
going	124.0	22.0	281.0	427.0
towards	193.0	15.0	215.0	423.0
always	132.0	29.0	261.0	422.0
once	155.0	26.0	241.0	422.0
tell	174.0	23.0	221.0	418.0
done	183.0	28.0	194.0	405.0
voice	179.0	24.0	200.0	403.0
among	206.0	15.0	181.0	402.0
shall	174.0	15.0	212.0	401.0
mother	116.0	16.0	269.0	401.0
while	163.0	19.0	217.0	399.0
tox	0.0	0.0	398.0	398.0
child	41.0	19.0	337.0	397.0
put	153.0	10.0	230.0	393.0
edith	0.0	0.0	392.0	392.0
barnaby	390.0	0.0	0.0	390.0
us	194.0	12.0	184.0	390.0
sat	116.0	26.0	246.0	388.0
stood	197.0	29.0	159.0	385.0
joe	307.0	0.0	75.0	382.0
until	163.0	15.0	204.0	382.0
our	178.0	12.0	190.0	380.0
men	278.0	6.0	95.0	379.0
turned	169.0	21.0	187.0	377.0
word	152.0	20.0	205.0	377.0
indeed	163.0	11.0	199.0	373.0
whom	148.0	8.0	208.0	364.0
saw	119.0	23.0	220.0	362.0
cuttle	0.0	0.0	360.0	360.0
poor	136.0	25.0	199.0	360.0
between	137.0	8.0	215.0	360.0
manner	147.0	18.0	190.0	355.0
sure	133.0	30.0	190.0	353.0
something	141.0	23.0	189.0	353.0
light	165.0	17.0	168.0	350.0
knew	130.0	29.0	191.0	350.0
herself	82.0	22.0	244.0	348.0
'm	135.0	31.0	180.0	346.0
perhaps	136.0	16.0	192.0	344.0
locksmith	341.0	0.0	0.0	341.0
hope	115.0	11.0	211.0	337.0
words	126.0	16.0	193.0	335.0
people	184.0	16.0	133.0	333.0
gone	112.0	21.0	198.0	331.0
heard	164.0	20.0	146.0	330.0
haredale	329.0	0.0	0.0	329.0
give	146.0	19.0	156.0	321.0
world	104.0	15.0	201.0	320.0
seen	130.0	14.0	174.0	318.0
replied	142.0	10.0	164.0	316.0
morning	80.0	12.0	224.0	316.0
fire	154.0	30.0	131.0	315.0
kind	145.0	16.0	153.0	314.0
together	137.0	14.0	158.0	309.0
lord	255.0	1.0	52.0	308.0
got	103.0	21.0	180.0	304.0
under	148.0	8.0	145.0	301.0
anything	95.0	24.0	182.0	301.0
air	142.0	14.0	142.0	298.0
name	112.0	5.0	181.0	298.0
susan	0.0	0.0	298.0	298.0
alone	108.0	13.0	176.0	297.0
soon	112.0	11.0	174.0	297.0
son	134.0	3.0	160.0	297.0
enough	136.0	16.0	145.0	297.0
part	119.0	8.0	169.0	296.0
within	124.0	11.0	161.0	296.0
hear	140.0	24.0	132.0	296.0
love	78.0	34.0	183.0	295.0
varden	295.0	0.0	0.0	295.0
master	151.0	6.0	134.0	291.0
against	118.0	16.0	156.0	290.0
myself	93.0	20.0	177.0	290.0
dolly	290.0	0.0	0.0	290.0
whole	132.0	22.0	135.0	289.0
boy	60.0	9.0	214.0	283.0
whose	131.0	8.0	143.0	282.0
daughter	66.0	22.0	191.0	279.0
brother	68.0	3.0	205.0	276.0
chick	0.0	0.0	275.0	275.0
dark	119.0	11.0	144.0	274.0
bed	106.0	8.0	159.0	273.0
found	89.0	14.0	168.0	271.0
pipchin	0.0	0.0	270.0	270.0
street	142.0	2.0	126.0	270.0
right	105.0	25.0	139.0	269.0
asked	81.0	6.0	181.0	268.0
side	112.0	18.0	135.0	265.0
told	119.0	14.0	131.0	264.0
coming	78.0	18.0	168.0	264.0
times	118.0	20.0	125.0	263.0
're	140.0	14.0	109.0	263.0
course	107.0	12.0	142.0	261.0
both	124.0	10.0	126.0	260.0
passed	130.0	8.0	120.0	258.0
says	38.0	4.0	213.0	255.0
felt	80.0	10.0	164.0	254.0
rob	2.0	0.0	252.0	254.0
each	133.0	9.0	112.0	254.0
new	80.0	8.0	165.0	253.0
near	99.0	23.0	130.0	252.0
believe	74.0	20.0	155.0	249.0
often	88.0	13.0	147.0	248.0
miggs	248.0	0.0	0.0	248.0
set	98.0	18.0	130.0	246.0
state	85.0	12.0	148.0	245.0
short	95.0	16.0	133.0	244.0
answered	113.0	13.0	115.0	241.0
uncle	18.0	0.0	223.0	241.0
nor	125.0	11.0	104.0	240.0
eye	85.0	20.0	134.0	239.0
blimber	0.0	0.0	239.0	239.0
leave	85.0	11.0	143.0	239.0
few	127.0	11.0	99.0	237.0
speak	98.0	10.0	129.0	237.0
behind	85.0	12.0	139.0	236.0
willet	236.0	0.0	0.0	236.0
sometimes	80.0	10.0	145.0	235.0
dennis	234.0	0.0	0.0	234.0
find	100.0	11.0	123.0	234.0
far	100.0	8.0	123.0	231.0
almost	68.0	13.0	150.0	231.0
years	104.0	11.0	115.0	230.0
'd	99.0	14.0	117.0	230.0
began	81.0	18.0	131.0	230.0
chair	79.0	15.0	136.0	230.0
full	89.0	18.0	121.0	228.0
wish	68.0	13.0	146.0	227.0
rest	95.0	7.0	124.0	226.0
doctor	1.0	1.0	223.0	225.0
just	94.0	18.0	113.0	225.0
best	113.0	12.0	99.0	224.0
brought	113.0	12.0	98.0	223.0
dead	102.0	11.0	110.0	223.0
gills	0.0	0.0	223.0	223.0
ground	128.0	4.0	90.0	222.0
three	106.0	12.0	103.0	221.0
wife	53.0	42.0	125.0	220.0
appeared	95.0	8.0	117.0	220.0
hat	97.0	3.0	119.0	219.0
gave	90.0	16.0	110.0	216.0
held	86.0	6.0	124.0	216.0
keep	102.0	15.0	98.0	215.0
whether	85.0	5.0	125.0	215.0
want	89.0	6.0	118.0	213.0
window	93.0	10.0	110.0	213.0
