	Maupassant_BelAmi_0	Maupassant_BelAmi_1	Maupassant_BelAmi_2	Maupassant_BelAmi_3	Maupassant_BelAmi_4	Maupassant_BelAmi_5	Maupassant_BelAmi_6	Maupassant_BelAmi_7	Maupassant_BelAmi_8	Maupassant_BelAmi_9	Maupassant_BelAmi_10	Maupassant_BelAmi_11	Maupassant_BelAmi_12	Maupassant_BelAmi_13	Maupassant_BelAmi_14	Maupassant_BelAmi_15	Maupassant_BelAmi_16	Maupassant_BelAmi_17	Maupassant_BelAmi_18	Maupassant_BelAmi_19	Maupassant_BelAmi_20	Maupassant_BelAmi_21	Maupassant_BelAmi_22	Maupassant_BelAmi_23	Maupassant_BelAmi_24	Maupassant_BelAmi_25	Maupassant_BelAmi_26	Maupassant_BelAmi_27	Maupassant_BelAmi_28	Maupassant_BelAmi_sum
était_VER:impf_être	10.0	19.0	18.0	13.0	11.0	7.0	12.0	18.0	12.0	20.0	6.0	20.0	23.0	17.0	7.0	10.0	13.0	19.0	18.0	23.0	13.0	15.0	21.0	22.0	13.0	16.0	23.0	18.0	2.0	439.0
qu'_PRO:REL_que	7.0	18.0	18.0	16.0	16.0	20.0	15.0	14.0	13.0	22.0	17.0	18.0	11.0	21.0	10.0	16.0	13.0	17.0	14.0	12.0	15.0	19.0	26.0	20.0	9.0	13.0	11.0	14.0	2.0	437.0
on_PRO:PER_on	19.0	20.0	19.0	14.0	14.0	15.0	7.0	11.0	12.0	21.0	32.0	14.0	21.0	29.0	8.0	8.0	9.0	13.0	17.0	11.0	9.0	14.0	6.0	15.0	21.0	14.0	22.0	12.0	0.0	427.0
plus_ADV_plus	9.0	16.0	13.0	12.0	7.0	17.0	8.0	9.0	14.0	12.0	21.0	14.0	10.0	22.0	22.0	15.0	21.0	17.0	12.0	16.0	16.0	12.0	7.0	20.0	18.0	16.0	16.0	16.0	2.0	410.0
;_PUN_;	25.0	28.0	32.0	18.0	9.0	20.0	19.0	21.0	9.0	9.0	20.0	17.0	15.0	14.0	11.0	11.0	6.0	12.0	15.0	16.0	11.0	9.0	12.0	6.0	7.0	7.0	14.0	3.0	7.0	403.0
le_PRO:PER_le	12.0	8.0	9.0	17.0	12.0	16.0	15.0	15.0	14.0	6.0	10.0	10.0	18.0	16.0	18.0	14.0	15.0	12.0	7.0	21.0	14.0	15.0	13.0	16.0	22.0	20.0	17.0	14.0	4.0	400.0
qu'_KON_que	8.0	11.0	12.0	9.0	9.0	13.0	13.0	16.0	20.0	9.0	18.0	24.0	15.0	11.0	16.0	9.0	9.0	16.0	11.0	18.0	19.0	24.0	16.0	18.0	11.0	5.0	20.0	11.0	5.0	396.0
Je_PRO:PER_je	7.0	3.0	3.0	14.0	18.0	8.0	4.0	18.0	16.0	10.0	12.0	9.0	16.0	15.0	19.0	16.0	10.0	10.0	11.0	25.0	21.0	9.0	22.0	15.0	17.0	25.0	22.0	6.0	1.0	382.0
l'_PRO:PER_la|le	6.0	6.0	9.0	12.0	10.0	24.0	16.0	5.0	17.0	8.0	11.0	11.0	11.0	8.0	15.0	10.0	10.0	19.0	11.0	11.0	17.0	32.0	10.0	14.0	14.0	7.0	24.0	18.0	3.0	369.0
Elle_PRO:PER_elle	0.0	6.0	5.0	11.0	1.0	11.0	21.0	13.0	14.0	9.0	6.0	3.0	5.0	3.0	11.0	16.0	19.0	12.0	11.0	27.0	14.0	31.0	17.0	5.0	13.0	2.0	25.0	46.0	5.0	362.0
bien_ADV_bien	15.0	10.0	8.0	19.0	14.0	16.0	11.0	18.0	13.0	7.0	6.0	10.0	20.0	9.0	16.0	11.0	14.0	12.0	18.0	8.0	16.0	18.0	7.0	11.0	15.0	11.0	17.0	7.0	1.0	358.0
comme_KON_comme	16.0	18.0	21.0	11.0	7.0	18.0	14.0	12.0	15.0	17.0	14.0	16.0	13.0	15.0	17.0	11.0	8.0	14.0	5.0	13.0	7.0	9.0	9.0	15.0	7.0	6.0	14.0	9.0	3.0	354.0
tout_ADV_tout	12.0	11.0	19.0	12.0	15.0	11.0	12.0	12.0	16.0	15.0	14.0	10.0	14.0	15.0	8.0	8.0	11.0	6.0	11.0	10.0	7.0	15.0	13.0	14.0	16.0	9.0	5.0	15.0	3.0	339.0
ses_DET:POS_son	6.0	6.0	9.0	11.0	15.0	16.0	14.0	20.0	7.0	7.0	5.0	9.0	9.0	18.0	7.0	22.0	16.0	9.0	9.0	17.0	22.0	14.0	11.0	9.0	9.0	8.0	9.0	17.0	6.0	337.0
en_PRO:PER_en	10.0	10.0	8.0	10.0	13.0	11.0	11.0	25.0	14.0	13.0	7.0	9.0	7.0	10.0	16.0	13.0	9.0	9.0	14.0	12.0	13.0	12.0	14.0	13.0	17.0	14.0	9.0	11.0	1.0	335.0
Duroy_NAM_duroy	17.0	22.0	19.0	26.0	33.0	16.0	14.0	13.0	17.0	19.0	25.0	22.0	29.0	18.0	16.0	14.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	329.0
me_PRO:PER_me	7.0	2.0	5.0	11.0	5.0	9.0	3.0	14.0	11.0	6.0	16.0	5.0	10.0	5.0	21.0	11.0	1.0	14.0	8.0	18.0	15.0	24.0	7.0	12.0	21.0	14.0	14.0	9.0	0.0	298.0
Elle_NAM_elle	0.0	5.0	4.0	9.0	0.0	4.0	14.0	21.0	15.0	1.0	5.0	2.0	7.0	4.0	21.0	18.0	7.0	16.0	5.0	25.0	11.0	12.0	22.0	12.0	16.0	12.0	19.0	9.0	1.0	297.0
deux_NUM_deux	23.0	12.0	4.0	9.0	8.0	10.0	7.0	13.0	8.0	17.0	6.0	7.0	13.0	11.0	9.0	16.0	12.0	7.0	19.0	6.0	4.0	12.0	11.0	11.0	17.0	10.0	4.0	0.0	3.0	289.0
