	Flaubert_Education_0	Flaubert_Education_1	Flaubert_Education_2	Flaubert_Education_3	Flaubert_Education_4	Flaubert_Education_5	Flaubert_Education_6	Flaubert_Education_7	Flaubert_Education_8	Flaubert_Education_9	Flaubert_Education_10	Flaubert_Education_11	Flaubert_Education_12	Flaubert_Education_13	Flaubert_Education_14	Flaubert_Education_15	Flaubert_Education_16	Flaubert_Education_17	Flaubert_Education_18	Flaubert_Education_19	Flaubert_Education_20	Flaubert_Education_21	Flaubert_Education_22	Flaubert_Education_23	Flaubert_Education_24	Flaubert_Education_25	Flaubert_Education_26	Flaubert_Education_27	Flaubert_Education_28	Flaubert_Education_29	Flaubert_Education_30	Flaubert_Education_31	Flaubert_Education_32	Flaubert_Education_33	Flaubert_Education_34	Flaubert_Education_35	Flaubert_Education_36	Flaubert_Education_37	Flaubert_Education_38	Flaubert_Education_sum
lui_PRO:PER_lui	28.0	19.0	22.0	27.0	26.0	28.0	31.0	29.0	39.0	26.0	23.0	20.0	30.0	37.0	22.0	32.0	24.0	23.0	26.0	19.0	25.0	40.0	33.0	30.0	38.0	23.0	16.0	23.0	27.0	13.0	23.0	28.0	39.0	42.0	27.0	29.0	32.0	30.0	18.0	1067.0
son_DET:POS_son	40.0	32.0	26.0	41.0	31.0	30.0	25.0	27.0	46.0	22.0	35.0	22.0	21.0	32.0	22.0	29.0	30.0	27.0	28.0	32.0	20.0	17.0	36.0	24.0	23.0	28.0	23.0	21.0	21.0	16.0	19.0	29.0	19.0	22.0	15.0	32.0	31.0	38.0	19.0	1051.0
Frédéric_NAM_frédéric	23.0	30.0	24.0	36.0	24.0	31.0	25.0	28.0	27.0	31.0	21.0	24.0	21.0	31.0	24.0	25.0	33.0	32.0	29.0	31.0	32.0	33.0	24.0	25.0	29.0	19.0	25.0	26.0	28.0	13.0	25.0	25.0	29.0	23.0	22.0	29.0	28.0	30.0	22.0	1037.0
était_VER:impf_être	29.0	17.0	21.0	18.0	23.0	20.0	25.0	20.0	33.0	22.0	23.0	27.0	30.0	19.0	25.0	34.0	18.0	23.0	23.0	24.0	27.0	31.0	22.0	19.0	25.0	35.0	29.0	24.0	25.0	21.0	34.0	30.0	28.0	30.0	32.0	29.0	31.0	30.0	22.0	998.0
sa_DET:POS_son	35.0	19.0	22.0	34.0	28.0	28.0	25.0	24.0	39.0	17.0	30.0	20.0	27.0	40.0	25.0	32.0	22.0	25.0	11.0	28.0	23.0	23.0	23.0	14.0	24.0	27.0	16.0	12.0	21.0	16.0	22.0	25.0	24.0	32.0	17.0	23.0	23.0	20.0	18.0	934.0
avait_VER:impf_avoir	25.0	18.0	20.0	26.0	22.0	12.0	24.0	23.0	31.0	27.0	14.0	21.0	23.0	20.0	19.0	34.0	16.0	16.0	17.0	34.0	16.0	29.0	23.0	32.0	17.0	23.0	23.0	17.0	27.0	14.0	36.0	31.0	23.0	32.0	27.0	26.0	38.0	26.0	16.0	918.0
Il_PRO:PER_il	24.0	28.0	35.0	24.0	33.0	29.0	22.0	26.0	34.0	27.0	10.0	13.0	25.0	22.0	23.0	20.0	15.0	24.0	19.0	24.0	26.0	28.0	28.0	20.0	21.0	36.0	16.0	19.0	20.0	10.0	21.0	18.0	31.0	29.0	19.0	24.0	28.0	25.0	8.0	904.0
?_SENT_?	18.0	14.0	23.0	23.0	15.0	19.0	31.0	15.0	16.0	21.0	21.0	19.0	34.0	21.0	31.0	24.0	33.0	35.0	29.0	30.0	27.0	21.0	27.0	22.0	30.0	16.0	5.0	15.0	30.0	6.0	15.0	26.0	35.0	19.0	19.0	24.0	31.0	31.0	16.0	887.0
elle_PRO:PER_elle	23.0	10.0	7.0	9.0	19.0	10.0	22.0	24.0	43.0	5.0	20.0	39.0	18.0	45.0	17.0	29.0	24.0	17.0	25.0	9.0	4.0	13.0	34.0	26.0	33.0	35.0	7.0	2.0	20.0	25.0	28.0	24.0	39.0	30.0	26.0	31.0	31.0	34.0	21.0	878.0
pas_ADV_pas	18.0	17.0	10.0	16.0	24.0	28.0	23.0	22.0	17.0	16.0	12.0	20.0	23.0	24.0	26.0	32.0	21.0	19.0	17.0	33.0	29.0	20.0	27.0	24.0	31.0	21.0	16.0	23.0	31.0	13.0	37.0	35.0	28.0	31.0	15.0	20.0	24.0	22.0	10.0	875.0
sur_PRP_sur	30.0	27.0	20.0	28.0	20.0	34.0	23.0	24.0	18.0	26.0	33.0	27.0	19.0	25.0	18.0	18.0	22.0	25.0	32.0	17.0	21.0	17.0	19.0	24.0	21.0	20.0	25.0	20.0	17.0	29.0	13.0	17.0	24.0	15.0	22.0	14.0	14.0	20.0	16.0	854.0
du_PRP:det_du	24.0	21.0	35.0	21.0	35.0	24.0	20.0	25.0	13.0	28.0	22.0	16.0	30.0	17.0	21.0	22.0	15.0	16.0	28.0	24.0	18.0	24.0	23.0	19.0	18.0	15.0	26.0	23.0	25.0	24.0	25.0	18.0	16.0	17.0	24.0	21.0	22.0	20.0	13.0	848.0
au_PRP:det_au	22.0	29.0	24.0	21.0	22.0	16.0	25.0	25.0	21.0	32.0	21.0	23.0	12.0	16.0	25.0	19.0	26.0	20.0	25.0	19.0	16.0	18.0	16.0	15.0	17.0	25.0	16.0	15.0	25.0	32.0	24.0	15.0	20.0	14.0	28.0	16.0	12.0	12.0	17.0	796.0
pour_PRP_pour	21.0	14.0	22.0	25.0	24.0	20.0	15.0	14.0	24.0	18.0	16.0	22.0	23.0	25.0	13.0	31.0	29.0	21.0	9.0	20.0	22.0	14.0	22.0	27.0	21.0	18.0	24.0	24.0	20.0	15.0	17.0	22.0	22.0	24.0	20.0	15.0	14.0	20.0	11.0	778.0
n'_ADV_ne	18.0	20.0	14.0	21.0	28.0	20.0	19.0	17.0	18.0	19.0	8.0	20.0	29.0	14.0	21.0	25.0	21.0	19.0	16.0	25.0	22.0	17.0	26.0	23.0	23.0	15.0	15.0	16.0	22.0	11.0	27.0	34.0	17.0	24.0	20.0	22.0	26.0	12.0	13.0	777.0
ne_ADV_ne	13.0	16.0	13.0	17.0	18.0	22.0	17.0	23.0	22.0	17.0	14.0	14.0	19.0	20.0	16.0	29.0	28.0	20.0	17.0	27.0	21.0	21.0	24.0	22.0	30.0	14.0	14.0	17.0	26.0	18.0	24.0	23.0	24.0	26.0	14.0	20.0	23.0	22.0	10.0	775.0
l'_PRO:PER_la|le	13.0	16.0	26.0	12.0	24.0	25.0	18.0	26.0	28.0	23.0	18.0	12.0	9.0	29.0	23.0	20.0	14.0	16.0	13.0	18.0	19.0	23.0	27.0	20.0	22.0	22.0	7.0	15.0	20.0	13.0	20.0	17.0	21.0	21.0	17.0	20.0	23.0	19.0	15.0	744.0
qui_PRO:REL_qui	25.0	19.0	16.0	20.0	22.0	17.0	21.0	12.0	19.0	15.0	25.0	18.0	20.0	14.0	22.0	17.0	21.0	22.0	19.0	16.0	17.0	23.0	22.0	17.0	23.0	23.0	22.0	17.0	16.0	21.0	21.0	17.0	14.0	19.0	22.0	17.0	15.0	22.0	15.0	743.0
:_PUN_:	13.0	10.0	15.0	14.0	13.0	20.0	18.0	19.0	17.0	21.0	17.0	20.0	18.0	18.0	21.0	20.0	27.0	21.0	17.0	26.0	25.0	26.0	28.0	26.0	16.0	13.0	11.0	25.0	12.0	11.0	16.0	19.0	26.0	14.0	19.0	29.0	20.0	16.0	16.0	733.0
ses_DET:POS_son	23.0	20.0	10.0	25.0	27.0	19.0	15.0	22.0	29.0	14.0	15.0	19.0	28.0	23.0	16.0	29.0	14.0	17.0	16.0	20.0	17.0	22.0	24.0	20.0	22.0	19.0	11.0	13.0	11.0	18.0	13.0	13.0	22.0	17.0	12.0	21.0	19.0	22.0	14.0	731.0
que_KON_que	12.0	14.0	11.0	20.0	17.0	18.0	7.0	18.0	22.0	16.0	14.0	11.0	23.0	14.0	15.0	21.0	15.0	20.0	10.0	19.0	14.0	17.0	15.0	21.0	21.0	16.0	16.0	19.0	19.0	13.0	18.0	36.0	17.0	30.0	11.0	20.0	32.0	17.0	14.0	683.0
par_PRP_par	21.0	20.0	16.0	22.0	19.0	20.0	19.0	16.0	18.0	13.0	14.0	15.0	21.0	15.0	7.0	13.0	13.0	17.0	19.0	16.0	18.0	18.0	12.0	13.0	14.0	19.0	17.0	26.0	25.0	23.0	18.0	17.0	16.0	22.0	17.0	18.0	21.0	15.0	19.0	682.0
en_PRO:PER_en	13.0	15.0	15.0	22.0	14.0	9.0	17.0	14.0	9.0	13.0	13.0	13.0	23.0	28.0	15.0	23.0	17.0	18.0	10.0	16.0	26.0	13.0	18.0	16.0	15.0	24.0	13.0	12.0	18.0	10.0	18.0	24.0	23.0	21.0	17.0	17.0	22.0	21.0	15.0	660.0
plus_ADV_plus	20.0	18.0	18.0	19.0	19.0	16.0	14.0	19.0	22.0	19.0	14.0	14.0	17.0	11.0	9.0	24.0	7.0	18.0	15.0	11.0	12.0	12.0	12.0	18.0	30.0	19.0	17.0	18.0	24.0	20.0	9.0	16.0	20.0	15.0	20.0	16.0	18.0	15.0	10.0	645.0
le_PRO:PER_le	10.0	12.0	23.0	19.0	14.0	21.0	14.0	9.0	16.0	20.0	8.0	9.0	13.0	17.0	15.0	23.0	19.0	11.0	12.0	16.0	23.0	29.0	17.0	15.0	13.0	22.0	14.0	19.0	18.0	4.0	20.0	21.0	20.0	22.0	14.0	13.0	18.0	22.0	13.0	638.0
avec_PRP_avec	18.0	17.0	15.0	17.0	17.0	19.0	21.0	19.0	14.0	17.0	22.0	16.0	15.0	18.0	13.0	16.0	17.0	14.0	13.0	17.0	16.0	15.0	19.0	14.0	13.0	8.0	18.0	9.0	15.0	20.0	14.0	14.0	15.0	18.0	23.0	16.0	18.0	15.0	14.0	629.0
est_VER:pres_être	4.0	10.0	7.0	11.0	9.0	10.0	14.0	8.0	11.0	9.0	15.0	14.0	23.0	13.0	23.0	24.0	30.0	18.0	13.0	21.0	20.0	16.0	25.0	27.0	11.0	11.0	8.0	15.0	15.0	7.0	11.0	19.0	19.0	17.0	9.0	9.0	30.0	20.0	14.0	590.0
Arnoux_NAM_arnoux	17.0	7.0	19.0	32.0	23.0	29.0	14.0	25.0	10.0	21.0	14.0	14.0	16.0	18.0	12.0	44.0	26.0	26.0	10.0	10.0	14.0	4.0	9.0	8.0	15.0	13.0	1.0	0.0	15.0	3.0	3.0	20.0	17.0	3.0	0.0	14.0	17.0	14.0	10.0	567.0
on_PRO:PER_on	15.0	11.0	18.0	10.0	16.0	10.0	8.0	19.0	9.0	22.0	15.0	17.0	18.0	13.0	15.0	11.0	10.0	16.0	23.0	9.0	22.0	25.0	9.0	14.0	8.0	15.0	17.0	15.0	12.0	18.0	23.0	13.0	7.0	21.0	14.0	15.0	14.0	10.0	9.0	566.0
qu'_KON_que	6.0	10.0	9.0	9.0	11.0	15.0	19.0	14.0	16.0	14.0	6.0	10.0	15.0	17.0	12.0	16.0	16.0	9.0	10.0	8.0	23.0	12.0	15.0	13.0	17.0	11.0	11.0	19.0	14.0	10.0	21.0	20.0	6.0	11.0	7.0	13.0	19.0	8.0	7.0	499.0
y_PRO:PER_y	4.0	12.0	9.0	9.0	12.0	14.0	9.0	9.0	14.0	15.0	10.0	11.0	15.0	10.0	16.0	14.0	12.0	10.0	10.0	12.0	14.0	7.0	5.0	9.0	7.0	14.0	8.0	12.0	11.0	12.0	6.0	20.0	10.0	14.0	16.0	12.0	12.0	13.0	8.0	437.0
qu'_PRO:REL_que	8.0	12.0	15.0	7.0	10.0	2.0	10.0	9.0	10.0	6.0	14.0	10.0	14.0	17.0	8.0	8.0	12.0	7.0	14.0	5.0	4.0	10.0	10.0	11.0	15.0	4.0	8.0	10.0	12.0	8.0	8.0	7.0	12.0	20.0	11.0	10.0	17.0	15.0	6.0	396.0
tout_ADV_tout	11.0	5.0	7.0	10.0	11.0	12.0	7.0	6.0	12.0	13.0	10.0	10.0	9.0	9.0	9.0	11.0	8.0	11.0	8.0	11.0	9.0	12.0	12.0	8.0	5.0	11.0	8.0	9.0	12.0	17.0	10.0	13.0	11.0	12.0	6.0	9.0	14.0	13.0	7.0	388.0
Elle_PRO:PER_elle	16.0	3.0	3.0	4.0	5.0	4.0	8.0	11.0	16.0	4.0	5.0	9.0	8.0	10.0	13.0	14.0	9.0	9.0	8.0	5.0	3.0	3.0	19.0	13.0	8.0	21.0	3.0	4.0	10.0	11.0	13.0	17.0	12.0	16.0	6.0	18.0	17.0	19.0	9.0	386.0
vous_PRO:PER_vous	3.0	2.0	4.0	9.0	5.0	9.0	12.0	7.0	7.0	16.0	9.0	11.0	7.0	4.0	17.0	14.0	18.0	22.0	6.0	17.0	14.0	6.0	17.0	10.0	34.0	1.0	8.0	4.0	7.0	1.0	6.0	11.0	17.0	8.0	1.0	4.0	13.0	5.0	15.0	381.0
Le_DET:ART_le	14.0	10.0	8.0	9.0	10.0	10.0	13.0	9.0	7.0	15.0	5.0	6.0	10.0	9.0	9.0	7.0	5.0	13.0	8.0	11.0	28.0	6.0	6.0	10.0	12.0	10.0	17.0	14.0	4.0	11.0	13.0	10.0	5.0	9.0	11.0	5.0	8.0	11.0	1.0	379.0
ce_PRO:DEM_ce	6.0	12.0	4.0	7.0	4.0	10.0	13.0	7.0	6.0	8.0	8.0	9.0	11.0	12.0	7.0	12.0	14.0	9.0	14.0	12.0	7.0	4.0	13.0	13.0	13.0	8.0	11.0	3.0	7.0	5.0	12.0	14.0	11.0	18.0	10.0	9.0	13.0	8.0	9.0	373.0
comme_KON_comme	6.0	7.0	9.0	8.0	11.0	15.0	13.0	9.0	8.0	11.0	8.0	17.0	12.0	7.0	9.0	9.0	14.0	4.0	10.0	5.0	8.0	11.0	8.0	9.0	13.0	9.0	13.0	8.0	9.0	13.0	5.0	8.0	12.0	12.0	7.0	7.0	9.0	8.0	7.0	368.0
Mme_NOM_madame	11.0	10.0	4.0	4.0	11.0	10.0	2.0	13.0	24.0	8.0	6.0	7.0	7.0	5.0	12.0	10.0	4.0	17.0	11.0	6.0	1.0	13.0	11.0	4.0	9.0	11.0	0.0	0.0	0.0	0.0	7.0	19.0	11.0	16.0	16.0	18.0	10.0	27.0	8.0	363.0
deux_NUM_deux	14.0	8.0	15.0	13.0	4.0	10.0	9.0	9.0	9.0	8.0	5.0	18.0	9.0	11.0	10.0	5.0	7.0	9.0	21.0	9.0	10.0	8.0	8.0	10.0	7.0	8.0	7.0	8.0	8.0	6.0	6.0	10.0	6.0	6.0	8.0	14.0	11.0	6.0	7.0	357.0
je_PRO:PER_je	0.0	9.0	4.0	7.0	5.0	9.0	11.0	9.0	4.0	8.0	3.0	6.0	13.0	8.0	19.0	10.0	23.0	7.0	7.0	10.0	11.0	5.0	17.0	4.0	21.0	7.0	7.0	3.0	7.0	8.0	4.0	14.0	11.0	14.0	6.0	7.0	13.0	7.0	8.0	346.0
dit_VER:pres_dire	3.0	6.0	9.0	16.0	5.0	8.0	11.0	11.0	7.0	6.0	9.0	5.0	14.0	6.0	8.0	7.0	11.0	11.0	12.0	10.0	11.0	11.0	5.0	12.0	5.0	6.0	7.0	9.0	6.0	2.0	7.0	16.0	12.0	8.0	8.0	7.0	11.0	9.0	11.0	338.0
comme_ADV_comme	6.0	6.0	1.0	11.0	12.0	4.0	9.0	7.0	7.0	10.0	10.0	6.0	12.0	9.0	12.0	6.0	4.0	9.0	6.0	3.0	6.0	11.0	8.0	7.0	3.0	7.0	10.0	10.0	7.0	12.0	6.0	11.0	11.0	13.0	11.0	10.0	6.0	8.0	7.0	314.0
bien_ADV_bien	8.0	6.0	4.0	5.0	7.0	8.0	9.0	5.0	10.0	7.0	7.0	4.0	13.0	8.0	9.0	12.0	11.0	5.0	4.0	7.0	10.0	2.0	11.0	9.0	16.0	5.0	7.0	9.0	9.0	11.0	3.0	11.0	12.0	9.0	4.0	5.0	11.0	8.0	8.0	309.0
