	Zola_Nana_0	Zola_Nana_1	Zola_Nana_2	Zola_Nana_3	Zola_Nana_4	Zola_Nana_5	Zola_Nana_6	Zola_Nana_7	Zola_Nana_8	Zola_Nana_9	Zola_Nana_10	Zola_Nana_11	Zola_Nana_12	Zola_Nana_13	Zola_Nana_14	Zola_Nana_15	Zola_Nana_16	Zola_Nana_17	Zola_Nana_18	Zola_Nana_19	Zola_Nana_20	Zola_Nana_21	Zola_Nana_22	Zola_Nana_23	Zola_Nana_24	Zola_Nana_25	Zola_Nana_26	Zola_Nana_27	Zola_Nana_28	Zola_Nana_29	Zola_Nana_30	Zola_Nana_31	Zola_Nana_32	Zola_Nana_33	Zola_Nana_34	Zola_Nana_35	Zola_Nana_36	Zola_Nana_37	Zola_Nana_38	Zola_Nana_sum
que_KON_que	23.0	28.0	20.0	33.0	20.0	23.0	26.0	19.0	22.0	30.0	24.0	24.0	19.0	20.0	24.0	27.0	14.0	23.0	15.0	32.0	26.0	29.0	22.0	18.0	19.0	25.0	24.0	18.0	31.0	17.0	26.0	17.0	22.0	17.0	21.0	20.0	22.0	17.0	13.0	870.0
avec_PRP_avec	28.0	24.0	23.0	17.0	20.0	19.0	25.0	19.0	23.0	23.0	19.0	29.0	16.0	18.0	19.0	24.0	16.0	19.0	22.0	26.0	22.0	31.0	30.0	19.0	24.0	23.0	28.0	23.0	20.0	23.0	21.0	23.0	29.0	16.0	19.0	28.0	25.0	24.0	10.0	867.0
lui_PRO:PER_lui	7.0	10.0	19.0	30.0	24.0	16.0	23.0	19.0	26.0	10.0	14.0	20.0	16.0	23.0	33.0	18.0	26.0	25.0	26.0	35.0	29.0	28.0	16.0	18.0	22.0	22.0	21.0	23.0	19.0	18.0	14.0	25.0	16.0	29.0	31.0	37.0	44.0	15.0	7.0	854.0
du_PRP:det_du	31.0	21.0	33.0	27.0	20.0	20.0	23.0	21.0	23.0	35.0	31.0	29.0	25.0	19.0	14.0	25.0	21.0	14.0	20.0	16.0	16.0	27.0	18.0	16.0	17.0	12.0	15.0	18.0	16.0	19.0	21.0	7.0	30.0	19.0	22.0	12.0	15.0	15.0	13.0	796.0
sur_PRP_sur	14.0	19.0	17.0	29.0	19.0	9.0	13.0	10.0	11.0	20.0	26.0	23.0	26.0	24.0	15.0	24.0	22.0	19.0	19.0	18.0	21.0	28.0	26.0	23.0	23.0	15.0	16.0	18.0	37.0	27.0	23.0	17.0	12.0	21.0	19.0	13.0	25.0	19.0	22.0	782.0
est_VER:pres_être	12.0	13.0	19.0	20.0	9.0	20.0	21.0	18.0	17.0	14.0	24.0	11.0	11.0	29.0	17.0	19.0	16.0	29.0	8.0	22.0	18.0	8.0	20.0	29.0	18.0	16.0	22.0	20.0	16.0	33.0	35.0	18.0	27.0	15.0	28.0	11.0	9.0	21.0	22.0	735.0
au_PRP:det_au	18.0	31.0	22.0	13.0	16.0	29.0	15.0	18.0	19.0	14.0	25.0	22.0	28.0	15.0	20.0	27.0	18.0	14.0	12.0	16.0	20.0	18.0	19.0	18.0	13.0	10.0	20.0	23.0	16.0	20.0	19.0	19.0	22.0	21.0	12.0	16.0	11.0	20.0	11.0	720.0
n'_ADV_ne	13.0	13.0	19.0	28.0	17.0	26.0	29.0	21.0	17.0	16.0	16.0	11.0	17.0	23.0	14.0	14.0	19.0	22.0	20.0	15.0	17.0	25.0	20.0	29.0	18.0	17.0	23.0	23.0	15.0	19.0	13.0	21.0	11.0	12.0	25.0	15.0	8.0	24.0	13.0	718.0
pour_PRP_pour	17.0	18.0	24.0	13.0	19.0	17.0	15.0	19.0	23.0	18.0	15.0	11.0	16.0	17.0	18.0	24.0	14.0	15.0	20.0	25.0	18.0	24.0	19.0	18.0	19.0	11.0	17.0	20.0	20.0	20.0	15.0	18.0	15.0	19.0	19.0	28.0	20.0	19.0	9.0	706.0
sa_DET:POS_son	11.0	17.0	19.0	24.0	15.0	18.0	15.0	15.0	14.0	15.0	16.0	24.0	20.0	20.0	15.0	18.0	17.0	27.0	20.0	24.0	20.0	15.0	20.0	16.0	19.0	21.0	32.0	20.0	13.0	9.0	15.0	27.0	21.0	16.0	18.0	20.0	22.0	15.0	3.0	706.0
l'_PRO:PER_la|le	14.0	8.0	13.0	24.0	18.0	21.0	19.0	16.0	25.0	17.0	16.0	16.0	13.0	13.0	22.0	14.0	15.0	19.0	17.0	18.0	18.0	22.0	16.0	15.0	9.0	14.0	22.0	7.0	9.0	18.0	9.0	28.0	14.0	10.0	26.0	20.0	22.0	18.0	7.0	642.0
?_SENT_?	13.0	8.0	14.0	19.0	12.0	24.0	19.0	8.0	14.0	13.0	13.0	9.0	6.0	21.0	12.0	14.0	12.0	29.0	19.0	19.0	12.0	11.0	21.0	29.0	26.0	18.0	17.0	14.0	19.0	23.0	12.0	27.0	19.0	6.0	25.0	9.0	4.0	20.0	10.0	620.0
ce_PRO:DEM_ce	15.0	9.0	10.0	14.0	12.0	17.0	13.0	11.0	25.0	12.0	17.0	11.0	17.0	21.0	16.0	12.0	20.0	13.0	13.0	17.0	17.0	17.0	14.0	30.0	13.0	11.0	20.0	21.0	16.0	14.0	16.0	12.0	15.0	26.0	15.0	14.0	18.0	17.0	9.0	610.0
Nana_NAM_nana	25.0	9.0	23.0	19.0	16.0	2.0	17.0	10.0	14.0	10.0	12.0	17.0	10.0	12.0	17.0	18.0	12.0	9.0	10.0	14.0	25.0	17.0	14.0	15.0	14.0	28.0	24.0	21.0	25.0	28.0	37.0	11.0	6.0	14.0	13.0	19.0	12.0	9.0	0.0	608.0
Il_PRO:PER_il	21.0	11.0	12.0	11.0	14.0	20.0	24.0	14.0	23.0	13.0	12.0	16.0	16.0	11.0	14.0	11.0	26.0	26.0	27.0	8.0	14.0	10.0	10.0	15.0	16.0	25.0	10.0	9.0	7.0	7.0	8.0	25.0	12.0	15.0	25.0	16.0	18.0	8.0	5.0	585.0
par_PRP_par	13.0	21.0	15.0	11.0	14.0	8.0	10.0	15.0	8.0	12.0	10.0	14.0	24.0	19.0	19.0	11.0	21.0	21.0	22.0	16.0	16.0	13.0	14.0	16.0	20.0	14.0	11.0	18.0	12.0	11.0	10.0	14.0	14.0	22.0	20.0	19.0	20.0	10.0	6.0	584.0
ses_DET:POS_son	6.0	11.0	24.0	10.0	16.0	20.0	8.0	16.0	14.0	13.0	17.0	14.0	14.0	12.0	17.0	12.0	8.0	24.0	16.0	13.0	10.0	14.0	20.0	16.0	13.0	22.0	17.0	13.0	11.0	15.0	8.0	15.0	14.0	23.0	21.0	20.0	18.0	12.0	2.0	569.0
on_PRO:PER_on	13.0	23.0	15.0	19.0	15.0	22.0	17.0	37.0	32.0	20.0	13.0	10.0	12.0	25.0	8.0	16.0	3.0	4.0	7.0	16.0	11.0	15.0	16.0	12.0	23.0	6.0	5.0	9.0	22.0	13.0	22.0	13.0	11.0	9.0	3.0	10.0	8.0	16.0	9.0	560.0
le_PRO:PER_le	10.0	9.0	10.0	3.0	9.0	12.0	16.0	10.0	20.0	11.0	13.0	14.0	8.0	11.0	18.0	10.0	26.0	22.0	21.0	17.0	8.0	14.0	6.0	18.0	20.0	19.0	8.0	14.0	17.0	14.0	11.0	19.0	14.0	22.0	19.0	26.0	29.0	6.0	4.0	558.0
plus_ADV_plus	9.0	8.0	7.0	10.0	24.0	18.0	14.0	19.0	10.0	15.0	8.0	7.0	9.0	16.0	15.0	17.0	10.0	15.0	17.0	15.0	16.0	19.0	14.0	14.0	11.0	18.0	15.0	11.0	11.0	8.0	12.0	16.0	18.0	16.0	15.0	21.0	18.0	13.0	3.0	532.0
