	Stolz_DessusHaie_0	Stolz_DessusHaie_1	Stolz_DessusHaie_2	Stolz_DessusHaie_3	Stolz_DessusHaie_4	Stolz_DessusHaie_5	Stolz_DessusHaie_6	Stolz_DessusHaie_7	Stolz_DessusHaie_8	Stolz_DessusHaie_9	Stolz_DessusHaie_10	Stolz_DessusHaie_11	Stolz_DessusHaie_12	Stolz_DessusHaie_13	Stolz_DessusHaie_sum
jolie_ADJ_joli	1.0	1.0	0.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	11.0
humble_ADJ_humble	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	2.0	1.0	11.0
Ces_PRO:DEM_ce	2.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	3.0	0.0	1.0	11.0
appeler_VER:infi_appeler	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	2.0	4.0	0.0	0.0	1.0	11.0
danger_NOM_danger	0.0	0.0	0.0	1.0	0.0	1.0	0.0	4.0	1.0	2.0	0.0	1.0	0.0	1.0	11.0
fortune_NOM_fortune	1.0	0.0	2.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	11.0
affreux_ADJ_affreux	2.0	0.0	1.0	1.0	1.0	1.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	11.0
fini_VER:pper_finir	1.0	0.0	1.0	1.0	3.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	11.0
loin_ADV_loin	1.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	3.0	0.0	1.0	1.0	1.0	0.0	11.0
parole_NOM_parole	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	1.0	1.0	0.0	2.0	11.0
matin_NOM_matin	1.0	5.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	11.0
année_NOM_année	0.0	0.0	1.0	0.0	1.0	3.0	1.0	0.0	1.0	0.0	2.0	1.0	1.0	0.0	11.0
haricots_NOM_haricot	0.0	1.0	6.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0
laissa_VER:simp_laisser	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	3.0	0.0	1.0	11.0
Quant_PRP_quant	0.0	0.0	0.0	2.0	0.0	3.0	2.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	11.0
Tant_ADV_tant	2.0	0.0	0.0	0.0	1.0	1.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	11.0
ambulance_NOM_ambulance	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	7.0	1.0	0.0	1.0	0.0	0.0	11.0
exprès_ADV_exprès	3.0	3.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	11.0
existence_NOM_existence	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	2.0	2.0	0.0	10.0
froid_ADJ_froid	1.0	1.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	10.0
paraissait_VER:impf_paraître	1.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	3.0	1.0	0.0	10.0
bois_NOM_bois	0.0	1.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	10.0
venir_VER:infi_venir	3.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	10.0
travers_NOM_travers	0.0	2.0	2.0	3.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	10.0
dit-il_NOM_dit-il	0.0	0.0	4.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	10.0
précisément_ADV_précisément	1.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	1.0	1.0	0.0	10.0
dernier_ADJ_dernier	1.0	0.0	0.0	3.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	10.0
arrivait_VER:impf_arriver	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	2.0	1.0	2.0	10.0
Sur_PRP_sur	1.0	0.0	1.0	1.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	10.0
épinards_NOM_épinard	0.0	0.0	0.0	2.0	0.0	0.0	5.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	10.0
-ils_PRO:PER_il	2.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	3.0	0.0	0.0	2.0	10.0
parti_NOM_parti	0.0	0.0	0.0	0.0	1.0	1.0	2.0	2.0	0.0	2.0	0.0	2.0	0.0	0.0	10.0
âge_NOM_âge	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	10.0
six_NUM_six	0.0	1.0	1.0	1.0	0.0	0.0	3.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	10.0
rapport_NOM_rapport	0.0	3.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	10.0
affection_NOM_affection	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	3.0	0.0	1.0	10.0
effet_NOM_effet	0.0	1.0	1.0	0.0	0.0	2.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	2.0	10.0
Alors_ADV_alors	0.0	0.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	2.0	2.0	1.0	0.0	0.0	10.0
autrefois_ADV_autrefois	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	2.0	10.0
voit_VER:pres_voir	0.0	4.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	10.0
partout_ADV_partout	0.0	2.0	0.0	1.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	3.0	0.0	10.0
autour_ADV_autour	2.0	0.0	2.0	0.0	2.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	10.0
plaindre_VER:infi_plaindre	3.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	2.0	2.0	0.0	0.0	0.0	10.0
souffrait_VER:impf_souffrir	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	1.0	3.0	0.0	2.0	0.0	0.0	10.0
foi_NOM_foi	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	4.0	1.0	0.0	0.0	1.0	10.0
arrivé_VER:pper_arriver	0.0	0.0	0.0	2.0	4.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	10.0
absolument_ADV_absolument	0.0	2.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	10.0
mauvais_ADJ_mauvais	1.0	2.0	1.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	10.0
une_NUM_un	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	4.0	1.0	0.0	10.0
reprit_VER:simp_reprendre	0.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	1.0	2.0	0.0	3.0	0.0	0.0	10.0
souvenir_NOM_souvenir	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	1.0	1.0	0.0	1.0	0.0	2.0	10.0
compte_NOM_compte	0.0	3.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	10.0
moyen_NOM_moyen	1.0	0.0	1.0	2.0	2.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	10.0
douleur_NOM_douleur	0.0	0.0	1.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	10.0
appelle_VER:pres_appeler	0.0	2.0	1.0	0.0	1.0	1.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	10.0
vais_VER:pres_aller	1.0	0.0	0.0	1.0	2.0	1.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
aucune_PRO:IND_aucun	0.0	1.0	1.0	0.0	1.0	2.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	10.0
cour_NOM_cour	0.0	2.0	1.0	3.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	10.0
pensait_VER:impf_penser	1.0	0.0	2.0	1.0	1.0	2.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	10.0
sûr_ADJ_sûr	1.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	2.0	1.0	0.0	10.0
vent_NOM_vent	1.0	1.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	10.0
fatigue_NOM_fatigue	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	2.0	0.0	0.0	2.0	10.0
pensées_NOM_pensée	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	1.0	0.0	10.0
forces_NOM_force|forces	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	4.0	2.0	0.0	0.0	1.0	0.0	10.0
quoique_KON_quoique	0.0	1.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	2.0	0.0	0.0	10.0
rire_VER:infi_rire	0.0	0.0	0.0	0.0	0.0	3.0	2.0	1.0	0.0	1.0	1.0	0.0	2.0	0.0	10.0
s'_KON_si	0.0	1.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	10.0
On_NAM_on	2.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	1.0	0.0	0.0	2.0	0.0	10.0
connais_VER:pres_connaître	0.0	1.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	10.0
plaisait_VER:impf_plaire	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	0.0	3.0	0.0	1.0	10.0
veilleuse_NOM_veilleur|veilleuse	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	10.0
paroles_NOM_parole	0.0	0.0	3.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	2.0	2.0	0.0	10.0
allaient_VER:impf_aller	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	4.0	0.0	10.0
Vous_NAM_vous	1.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	1.0	1.0	1.0	2.0	0.0	10.0
Dans_PRP_dans	1.0	1.0	1.0	0.0	1.0	0.0	2.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	10.0
Bellerive_VER:pres_bellerive	0.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	2.0	10.0
automne_NOM_automne	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	2.0	0.0	0.0	10.0
fameux_ADJ_fameux	2.0	0.0	1.0	1.0	1.0	3.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	10.0
regarder_VER:infi_regarder	0.0	4.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	10.0
digne_ADJ_digne	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	10.0
liberté_NOM_liberté	3.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	10.0
M_VER:subi_m	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	2.0	2.0	1.0	10.0
Du_PRP:det_du	1.0	1.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	10.0
événements_NOM_événement	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	7.0	1.0	0.0	0.0	0.0	0.0	10.0
grâce_NOM_grâce	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	2.0	0.0	1.0	9.0
blessé_NOM_blessé	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	0.0	1.0	1.0	0.0	0.0	9.0
sentiments_NOM_sentiment	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	1.0	1.0	9.0
semaines_NOM_semaine	0.0	1.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	9.0
Aussi_ADV_aussi	2.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	9.0
Ta_ADJ_ta	0.0	3.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	9.0
etc_ABR_etc	0.0	3.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	9.0
éviter_VER:infi_éviter	2.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	9.0
cheveux_NOM_cheveu	1.0	0.0	0.0	0.0	1.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0
mari_NOM_mari	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	5.0	0.0	9.0
mourir_VER:infi_mourir	1.0	1.0	1.0	0.0	0.0	1.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	9.0
réellement_ADV_réellement	0.0	0.0	0.0	1.0	2.0	1.0	1.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	9.0
MARIE-AIMÉE_NAM_marie-aimée	0.0	3.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	9.0
faisaient_VER:impf_faire	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	2.0	2.0	0.0	9.0
vint_VER:simp_venir	1.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	9.0
souvenirs_NOM_souvenir	0.0	0.0	0.0	1.0	2.0	0.0	1.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	9.0
lettre_NOM_lettre	0.0	1.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	9.0
pâle_ADJ_pâle	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	3.0	1.0	0.0	0.0	1.0	1.0	9.0
jeunesse_NOM_jeunesse	1.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	9.0
tristesse_NOM_tristesse	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	2.0	9.0
aucun_PRO:IND_aucun	0.0	1.0	0.0	1.0	0.0	0.0	1.0	3.0	1.0	1.0	0.0	0.0	1.0	0.0	9.0
meilleur_ADJ_meilleur	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	3.0	0.0	0.0	9.0
tient_VER:pres_tenir	2.0	2.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	9.0
humeur_NOM_humeur	2.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	9.0
pitié_NOM_pitié	1.0	2.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	9.0
faiblesse_NOM_faiblesse	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	9.0
bien_NOM_bien	1.0	1.0	1.0	0.0	1.0	1.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	9.0
-toi_PRO:PER_toi	0.0	0.0	0.0	1.0	0.0	3.0	2.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	9.0
signe_NOM_signe	0.0	0.0	2.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	9.0
service_NOM_service	1.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	9.0
maintenant_ADV_maintenant	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0	3.0	0.0	9.0
beaux_ADJ_beau	0.0	1.0	0.0	1.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	9.0
grand-père_NOM_grand-père	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	1.0	1.0	9.0
plusieurs_PRO:IND_plusieurs	0.0	1.0	1.0	0.0	0.0	2.0	2.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	9.0
oh_INT_oh	0.0	0.0	0.0	0.0	0.0	1.0	3.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	9.0
entra_VER:simp_entrer	2.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	9.0
regardant_VER:ppre_regarder	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	9.0
reçu_VER:pper_recevoir	0.0	3.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	9.0
puisque_KON_puisque	0.0	1.0	1.0	0.0	1.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0
chaise_NOM_chaise	1.0	2.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	9.0
soupira_VER:simp_soupirer	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	4.0	1.0	0.0	0.0	9.0
paquets_NOM_paquet	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0
chagrin_NOM_chagrin	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	9.0
héritage_NOM_héritage	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	1.0	9.0
Donc_ADV_donc	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	9.0
misère_NOM_misère	2.0	0.0	2.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0
utile_ADJ_utile	1.0	0.0	2.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	9.0
enfance_NOM_enfance	0.0	2.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	9.0
mots_NOM_mot	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	3.0	1.0	1.0	0.0	9.0
médecin_NOM_médecin	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	3.0	1.0	1.0	1.0	0.0	0.0	9.0
passion_NOM_passion	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	2.0	0.0	9.0
affaire_NOM_affaire	2.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	9.0
perdu_VER:pper_perdre	1.0	1.0	1.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	9.0
persil_NOM_persil	1.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0
En_PRO:PER_en	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	2.0	0.0	9.0
berceau_NOM_berceau	0.0	2.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	9.0
trésor_NOM_trésor	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	3.0	9.0
croire_VER:infi_croire	1.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	9.0
pendant_VER:ppre_pendre	1.0	0.0	1.0	2.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	9.0
garde_NOM_garde	0.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	1.0	2.0	1.0	1.0	0.0	9.0
casquette_NOM_casquette	0.0	1.0	1.0	4.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	9.0
es_VER:pres_être	3.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	9.0
faite_VER:pper_faire	1.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	9.0
vite_ADV_vite	0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	2.0	9.0
visite_NOM_visite	0.0	0.0	0.0	4.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	9.0
confiance_NOM_confiance	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	3.0	0.0	0.0	1.0	0.0	9.0
causait_VER:impf_causer	1.0	0.0	2.0	0.0	1.0	0.0	1.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0
huit_NUM_huit	1.0	1.0	1.0	0.0	2.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	9.0
parent_NOM_parent	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	0.0	0.0	9.0
dame_NOM_dame	0.0	1.0	5.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	9.0
Hélas_INT_hélas	0.0	0.0	0.0	0.0	4.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	9.0
place_NOM_place	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	2.0	1.0	9.0
inquiétude_NOM_inquiétude	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	1.0	1.0	0.0	2.0	0.0	9.0
aimable_ADJ_aimable	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	2.0	0.0	8.0
embarras_NOM_embarras	1.0	1.0	2.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	8.0
Ma_ADJ_ma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	6.0	0.0	0.0	0.0	8.0
tomber_VER:infi_tomber	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	8.0
personnes_NOM_personne	3.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	8.0
riche_ADJ_riche	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	8.0
souffrir_VER:infi_souffrir	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	8.0
dix_NUM_dix	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	8.0
nouveau_ADJ_nouveau	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0	8.0
aperçut_VER:simp_apercevoir	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	8.0
bien_ADJ_bien	2.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	8.0
hiver_NOM_hiver	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	2.0	1.0	8.0
payse_NOM_pays	0.0	1.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	8.0
demeure_NOM_demeure	2.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	8.0
fussent_VER:subi_être	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	8.0
Cela_PRO:DEM_cela	2.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	8.0
conditions_NOM_condition	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	3.0	1.0	0.0	8.0
aujourd'hui_ADV_aujourd'hui	2.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	8.0
lendemain_NOM_lendemain	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	8.0
pauvres_NOM_pauvre	0.0	2.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	8.0
Après_PRP_après	1.0	0.0	3.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	8.0
Maman_NOM_maman	1.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	8.0
droit_NOM_droit	1.0	2.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	8.0
salle_NOM_salle	1.0	1.0	4.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0
gardien_NOM_gardien	0.0	4.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	8.0
faudra_VER:futu_falloir	4.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	8.0
petits_ADJ_petit	0.0	1.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	8.0
sachant_VER:ppre_savoir	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	2.0	0.0	2.0	1.0	0.0	0.0	8.0
noix_NOM_noix	2.0	0.0	0.0	0.0	4.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	8.0
attendait_VER:impf_attendre	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	0.0	8.0
colère_NOM_colère	0.0	0.0	3.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	8.0
situation_NOM_situation	1.0	0.0	0.0	1.0	2.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	8.0
forte_ADJ_fort	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	8.0
