	Mirbeau_JardinSupplices_0	Mirbeau_JardinSupplices_1	Mirbeau_JardinSupplices_2	Mirbeau_JardinSupplices_3	Mirbeau_JardinSupplices_4	Mirbeau_JardinSupplices_5	Mirbeau_JardinSupplices_6	Mirbeau_JardinSupplices_7	Mirbeau_JardinSupplices_8	Mirbeau_JardinSupplices_9	Mirbeau_JardinSupplices_10	Mirbeau_JardinSupplices_11	Mirbeau_JardinSupplices_12	Mirbeau_JardinSupplices_13	Mirbeau_JardinSupplices_14	Mirbeau_JardinSupplices_15	Mirbeau_JardinSupplices_16	Mirbeau_JardinSupplices_sum
tout_ADV_tout	15.0	9.0	15.0	9.0	13.0	11.0	9.0	11.0	7.0	9.0	5.0	7.0	19.0	8.0	5.0	7.0	4.0	163.0
sa_DET:POS_son	4.0	16.0	15.0	7.0	8.0	3.0	3.0	11.0	10.0	12.0	10.0	7.0	9.0	11.0	10.0	18.0	9.0	163.0
où_PRO:REL_où	7.0	10.0	11.0	8.0	6.0	8.0	10.0	11.0	9.0	11.0	14.0	7.0	8.0	11.0	5.0	16.0	5.0	157.0
qu'_PRO:REL_que	20.0	7.0	7.0	13.0	6.0	9.0	8.0	6.0	11.0	5.0	8.0	10.0	11.0	7.0	8.0	9.0	6.0	151.0
aux_PRP:det_au	15.0	9.0	9.0	7.0	7.0	4.0	6.0	13.0	9.0	13.0	14.0	4.0	3.0	8.0	7.0	12.0	2.0	142.0
dont_PRO:REL_dont	6.0	3.0	9.0	17.0	6.0	1.0	9.0	7.0	6.0	11.0	10.0	13.0	6.0	16.0	12.0	8.0	1.0	141.0
lui_PRO:PER_lui	12.0	12.0	24.0	14.0	3.0	6.0	3.0	6.0	3.0	7.0	4.0	12.0	7.0	2.0	13.0	9.0	3.0	140.0
bien_ADV_bien	7.0	12.0	13.0	16.0	12.0	10.0	2.0	9.0	3.0	3.0	8.0	13.0	8.0	4.0	7.0	8.0	3.0	138.0
avait_VER:impf_avoir	8.0	6.0	15.0	4.0	6.0	14.0	11.0	13.0	10.0	7.0	5.0	7.0	6.0	9.0	4.0	4.0	3.0	132.0
ai_VER:pres_avoir	9.0	16.0	12.0	12.0	6.0	12.0	3.0	16.0	7.0	10.0	3.0	5.0	2.0	5.0	7.0	3.0	0.0	128.0
tu_PRO:PER_tu	0.0	11.0	7.0	17.0	8.0	0.0	4.0	5.0	15.0	8.0	4.0	0.0	26.0	9.0	8.0	4.0	2.0	128.0
le_PRO:PER_le	15.0	11.0	18.0	14.0	7.0	6.0	6.0	5.0	2.0	9.0	2.0	12.0	6.0	5.0	2.0	5.0	0.0	125.0
a_VER:pres_avoir	17.0	16.0	4.0	6.0	10.0	8.0	5.0	3.0	5.0	10.0	7.0	11.0	6.0	8.0	4.0	5.0	0.0	125.0
ma_DET:POS_mon	1.0	8.0	9.0	17.0	9.0	8.0	10.0	12.0	3.0	2.0	4.0	8.0	11.0	2.0	6.0	8.0	6.0	124.0
amour_NOM_amour	2.0	4.0	0.0	4.0	4.0	5.0	12.0	13.0	16.0	4.0	7.0	5.0	16.0	3.0	4.0	23.0	0.0	122.0
sans_PRP_sans	12.0	4.0	19.0	3.0	13.0	7.0	11.0	3.0	6.0	5.0	17.0	4.0	6.0	1.0	5.0	2.0	2.0	120.0
fleurs_NOM_fleur	0.0	1.0	0.0	4.0	4.0	2.0	0.0	7.0	6.0	3.0	21.0	10.0	20.0	13.0	14.0	9.0	2.0	116.0
comme_ADV_comme	4.0	4.0	5.0	6.0	4.0	10.0	7.0	4.0	7.0	7.0	9.0	10.0	4.0	10.0	12.0	7.0	4.0	114.0
encore_ADV_encore	3.0	11.0	7.0	7.0	3.0	4.0	12.0	6.0	5.0	9.0	9.0	8.0	6.0	9.0	5.0	4.0	6.0	114.0
très_ADV_très	1.0	6.0	5.0	5.0	5.0	10.0	6.0	18.0	9.0	7.0	3.0	7.0	7.0	8.0	5.0	7.0	1.0	110.0
sont_VER:pres_être	9.0	10.0	2.0	4.0	6.0	9.0	0.0	3.0	5.0	19.0	3.0	6.0	7.0	9.0	13.0	3.0	1.0	109.0
toutes_PRO:IND_tout	7.0	12.0	3.0	7.0	13.0	3.0	6.0	5.0	4.0	3.0	3.0	12.0	5.0	4.0	5.0	10.0	6.0	108.0
;_PUN_;	5.0	5.0	5.0	4.0	3.0	6.0	9.0	5.0	6.0	8.0	10.0	19.0	1.0	4.0	9.0	4.0	1.0	104.0
l'_PRO:PER_la|le	9.0	10.0	11.0	3.0	3.0	13.0	5.0	8.0	5.0	6.0	5.0	8.0	2.0	8.0	5.0	2.0	1.0	104.0
ou_KON_ou	17.0	10.0	4.0	9.0	4.0	4.0	7.0	5.0	1.0	4.0	16.0	7.0	5.0	1.0	3.0	6.0	0.0	103.0
mes_DET:POS_mon	1.0	10.0	6.0	12.0	12.0	8.0	9.0	10.0	5.0	2.0	2.0	1.0	8.0	3.0	7.0	6.0	1.0	103.0
toute_PRO:IND_tout	1.0	3.0	4.0	6.0	1.0	6.0	5.0	5.0	8.0	9.0	12.0	6.0	5.0	7.0	6.0	6.0	8.0	98.0
Il_PRO:PER_il	9.0	8.0	12.0	8.0	2.0	5.0	5.0	1.0	6.0	8.0	1.0	6.0	9.0	9.0	4.0	3.0	1.0	97.0
ils_PRO:PER_il	14.0	1.0	4.0	4.0	4.0	5.0	1.0	0.0	8.0	11.0	12.0	10.0	3.0	9.0	7.0	1.0	0.0	94.0
leurs_DET:POS_leur	6.0	0.0	1.0	2.0	6.0	3.0	3.0	0.0	8.0	7.0	18.0	8.0	2.0	13.0	13.0	3.0	1.0	94.0
homme_NOM_homme	12.0	21.0	8.0	6.0	5.0	2.0	6.0	2.0	10.0	1.0	0.0	8.0	4.0	3.0	5.0	1.0	0.0	94.0
aussi_ADV_aussi	5.0	2.0	5.0	5.0	5.0	7.0	3.0	2.0	7.0	5.0	11.0	3.0	15.0	6.0	6.0	1.0	2.0	90.0
si_KON_si	5.0	2.0	3.0	6.0	5.0	5.0	9.0	7.0	3.0	0.0	4.0	12.0	2.0	8.0	4.0	6.0	9.0	90.0
Le_DET:ART_le	4.0	9.0	4.0	2.0	9.0	4.0	5.0	6.0	6.0	9.0	6.0	4.0	7.0	4.0	2.0	5.0	1.0	87.0
si_ADV_si	7.0	1.0	2.0	3.0	6.0	3.0	5.0	9.0	4.0	5.0	7.0	8.0	7.0	7.0	5.0	3.0	4.0	86.0
deux_NUM_deux	3.0	1.0	13.0	5.0	7.0	6.0	9.0	5.0	0.0	3.0	1.0	4.0	2.0	6.0	10.0	6.0	3.0	84.0
yeux_NOM_œil	0.0	6.0	2.0	1.0	4.0	1.0	7.0	4.0	6.0	8.0	9.0	3.0	7.0	4.0	6.0	10.0	6.0	84.0
les_PRO:PER_la|le	11.0	8.0	6.0	6.0	6.0	6.0	4.0	3.0	1.0	9.0	5.0	8.0	0.0	7.0	3.0	0.0	1.0	84.0
peu_ADV_peu	4.0	8.0	5.0	4.0	6.0	8.0	2.0	5.0	2.0	8.0	3.0	3.0	2.0	9.0	8.0	3.0	3.0	83.0
sous_PRP_sous	5.0	3.0	4.0	5.0	4.0	4.0	3.0	5.0	6.0	3.0	4.0	5.0	3.0	3.0	12.0	10.0	3.0	82.0
tout_PRO:IND_tout	5.0	6.0	5.0	7.0	6.0	3.0	8.0	6.0	6.0	2.0	7.0	8.0	4.0	3.0	1.0	4.0	1.0	82.0
rien_ADV_rien	3.0	6.0	3.0	5.0	4.0	6.0	5.0	6.0	2.0	9.0	8.0	0.0	7.0	4.0	7.0	4.0	0.0	79.0
tous_PRO:IND_tout	11.0	4.0	3.0	4.0	3.0	10.0	6.0	3.0	1.0	4.0	1.0	3.0	4.0	7.0	8.0	3.0	4.0	79.0
jamais_ADV_jamais	3.0	3.0	7.0	4.0	6.0	6.0	7.0	4.0	4.0	4.0	3.0	1.0	5.0	2.0	8.0	0.0	12.0	79.0
cela_PRO:DEM_cela	5.0	7.0	8.0	6.0	1.0	9.0	6.0	8.0	8.0	0.0	3.0	3.0	3.0	4.0	1.0	4.0	1.0	77.0
Elle_PRO:PER_elle	1.0	0.0	2.0	1.0	4.0	5.0	5.0	6.0	4.0	14.0	3.0	1.0	5.0	2.0	5.0	13.0	5.0	76.0
C'_PRO:DEM_ce	3.0	4.0	3.0	4.0	7.0	6.0	7.0	3.0	3.0	6.0	3.0	10.0	4.0	4.0	5.0	1.0	3.0	76.0
-vous_PRO:PER_vous	3.0	2.0	0.0	3.0	1.0	15.0	12.0	10.0	0.0	0.0	0.0	9.0	4.0	0.0	2.0	10.0	4.0	75.0
C'_NAM_c'	1.0	7.0	2.0	5.0	5.0	7.0	3.0	7.0	3.0	4.0	5.0	9.0	4.0	6.0	4.0	1.0	1.0	74.0
leur_DET:POS_leur	9.0	3.0	7.0	5.0	3.0	0.0	4.0	1.0	0.0	5.0	12.0	1.0	1.0	8.0	10.0	1.0	3.0	73.0
vie_NOM_vie	5.0	9.0	8.0	6.0	5.0	5.0	7.0	0.0	3.0	3.0	3.0	2.0	3.0	3.0	8.0	2.0	1.0	73.0
non_ADV_non	6.0	8.0	5.0	5.0	3.0	5.0	7.0	3.0	0.0	1.0	7.0	3.0	5.0	4.0	3.0	6.0	1.0	72.0
voix_NOM_voix	2.0	3.0	0.0	3.0	2.0	5.0	3.0	1.0	3.0	5.0	3.0	6.0	6.0	6.0	4.0	13.0	7.0	72.0
-je_PRO:PER_je	0.0	6.0	3.0	8.0	6.0	7.0	7.0	12.0	4.0	3.0	2.0	2.0	2.0	1.0	3.0	3.0	2.0	71.0
suis_VER:pres_suivre|être	3.0	6.0	7.0	4.0	2.0	9.0	2.0	3.0	0.0	4.0	2.0	5.0	7.0	4.0	1.0	5.0	6.0	70.0
toujours_ADV_toujours	5.0	6.0	7.0	2.0	3.0	2.0	3.0	5.0	3.0	7.0	4.0	3.0	4.0	6.0	2.0	5.0	3.0	70.0
étaient_VER:impf_être	6.0	1.0	5.0	1.0	6.0	4.0	3.0	4.0	4.0	4.0	5.0	5.0	1.0	9.0	5.0	4.0	0.0	67.0
Les_DET:ART_le	4.0	5.0	2.0	1.0	5.0	4.0	2.0	2.0	3.0	9.0	3.0	3.0	3.0	7.0	11.0	1.0	1.0	66.0
mort_NOM_mort	5.0	5.0	1.0	1.0	0.0	3.0	3.0	6.0	4.0	6.0	6.0	3.0	7.0	3.0	11.0	1.0	0.0	65.0
-ce_PRO:DEM_ce	1.0	1.0	2.0	7.0	3.0	5.0	9.0	7.0	5.0	2.0	0.0	6.0	9.0	5.0	0.0	1.0	1.0	64.0
petite_ADJ_petit	0.0	2.0	3.0	1.0	1.0	7.0	4.0	5.0	12.0	5.0	2.0	2.0	7.0	3.0	1.0	6.0	3.0	64.0
être_VER:infi_être	6.0	7.0	4.0	6.0	3.0	2.0	4.0	4.0	4.0	3.0	3.0	2.0	5.0	3.0	3.0	3.0	1.0	63.0
Nous_PRO:PER_nous	2.0	5.0	1.0	2.0	4.0	7.0	3.0	2.0	3.0	3.0	2.0	4.0	4.0	9.0	2.0	9.0	1.0	63.0
mais_KON_mais	6.0	4.0	8.0	6.0	5.0	5.0	3.0	3.0	3.0	2.0	1.0	3.0	2.0	4.0	3.0	4.0	1.0	63.0
autres_ADJ_autre	5.0	5.0	8.0	7.0	0.0	5.0	4.0	1.0	6.0	6.0	4.0	3.0	1.0	2.0	1.0	3.0	1.0	62.0
autre_ADJ_autre	7.0	2.0	2.0	3.0	4.0	4.0	1.0	2.0	5.0	3.0	5.0	5.0	1.0	3.0	8.0	4.0	3.0	62.0
»_PUN:cit_»	18.0	4.0	14.0	3.0	8.0	2.0	4.0	4.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	62.0
«_PUN:cit_«	18.0	4.0	14.0	3.0	8.0	2.0	4.0	4.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	62.0
femme_NOM_femme	3.0	13.0	4.0	0.0	4.0	3.0	2.0	2.0	8.0	5.0	0.0	3.0	8.0	1.0	4.0	2.0	0.0	62.0
La_DET:ART_le	4.0	5.0	1.0	3.0	6.0	4.0	3.0	1.0	7.0	8.0	3.0	2.0	1.0	3.0	2.0	6.0	2.0	61.0
Mais_KON_mais	1.0	4.0	7.0	3.0	2.0	4.0	2.0	4.0	4.0	4.0	3.0	2.0	7.0	5.0	5.0	4.0	0.0	61.0
même_ADV_même	4.0	3.0	5.0	2.0	4.0	8.0	5.0	3.0	3.0	3.0	4.0	1.0	3.0	4.0	5.0	2.0	0.0	59.0
jusqu'_PRP_jusque	5.0	5.0	2.0	0.0	4.0	1.0	3.0	5.0	4.0	6.0	11.0	1.0	1.0	4.0	6.0	1.0	0.0	59.0
sais_VER:pres_savoir	4.0	4.0	2.0	5.0	2.0	10.0	2.0	4.0	2.0	3.0	3.0	5.0	3.0	1.0	4.0	2.0	2.0	58.0
là_ADV_là	3.0	1.0	2.0	6.0	6.0	1.0	1.0	2.0	3.0	0.0	8.0	2.0	4.0	6.0	4.0	7.0	2.0	58.0
chose_NOM_chose	2.0	7.0	3.0	4.0	4.0	5.0	4.0	4.0	4.0	2.0	2.0	4.0	5.0	4.0	3.0	1.0	0.0	58.0
puis_ADV_puis	1.0	6.0	3.0	5.0	4.0	4.0	12.0	1.0	1.0	2.0	0.0	6.0	9.0	0.0	1.0	2.0	0.0	57.0
donc_ADV_donc	2.0	9.0	2.0	8.0	2.0	5.0	5.0	5.0	5.0	4.0	0.0	2.0	5.0	2.0	0.0	0.0	1.0	57.0
À_PRP_à	4.0	5.0	5.0	4.0	2.0	1.0	4.0	4.0	5.0	4.0	1.0	2.0	1.0	2.0	8.0	4.0	0.0	56.0
-tu_PRO:PER_tu	1.0	3.0	4.0	9.0	1.0	0.0	1.0	2.0	14.0	10.0	1.0	2.0	4.0	2.0	1.0	0.0	1.0	56.0
dit_VER:pres_dire	3.0	4.0	4.0	2.0	2.0	1.0	3.0	3.0	5.0	7.0	3.0	4.0	2.0	3.0	3.0	3.0	2.0	54.0
Elle_NAM_elle	0.0	1.0	0.0	0.0	3.0	1.0	7.0	10.0	5.0	3.0	7.0	3.0	1.0	3.0	7.0	3.0	0.0	54.0
