	FevalPP_ErrantsNuit_0	FevalPP_ErrantsNuit_1	FevalPP_ErrantsNuit_2	FevalPP_ErrantsNuit_3	FevalPP_ErrantsNuit_4	FevalPP_ErrantsNuit_5	FevalPP_ErrantsNuit_6	FevalPP_ErrantsNuit_7	FevalPP_ErrantsNuit_8	FevalPP_ErrantsNuit_9	FevalPP_ErrantsNuit_10	FevalPP_ErrantsNuit_11	FevalPP_ErrantsNuit_12	FevalPP_ErrantsNuit_13	FevalPP_ErrantsNuit_14	FevalPP_ErrantsNuit_15	FevalPP_ErrantsNuit_16	FevalPP_ErrantsNuit_17	FevalPP_ErrantsNuit_18	FevalPP_ErrantsNuit_19	FevalPP_ErrantsNuit_20	FevalPP_ErrantsNuit_21	FevalPP_ErrantsNuit_22	FevalPP_ErrantsNuit_23	FevalPP_ErrantsNuit_24	FevalPP_ErrantsNuit_25	FevalPP_ErrantsNuit_sum
;_PUN_;	8.0	20.0	22.0	16.0	27.0	15.0	21.0	16.0	18.0	23.0	26.0	24.0	17.0	35.0	15.0	20.0	18.0	42.0	22.0	21.0	16.0	12.0	16.0	18.0	16.0	17.0	521.0
Hector_NAM_hector	9.0	5.0	14.0	74.0	47.0	25.0	64.0	42.0	19.0	1.0	27.0	27.0	10.0	1.0	5.0	3.0	12.0	6.0	34.0	7.0	7.0	1.0	1.0	12.0	27.0	13.0	493.0
pour_PRP_pour	23.0	26.0	15.0	21.0	18.0	23.0	16.0	19.0	25.0	16.0	13.0	16.0	15.0	25.0	18.0	18.0	19.0	18.0	16.0	14.0	25.0	15.0	22.0	25.0	13.0	17.0	491.0
lui_PRO:PER_lui	16.0	22.0	15.0	32.0	25.0	23.0	27.0	17.0	18.0	18.0	8.0	18.0	9.0	11.0	15.0	14.0	16.0	20.0	16.0	9.0	20.0	12.0	23.0	21.0	23.0	14.0	462.0
ce_PRO:DEM_ce	13.0	11.0	17.0	9.0	19.0	14.0	14.0	21.0	18.0	16.0	17.0	16.0	19.0	19.0	23.0	24.0	17.0	21.0	29.0	15.0	28.0	17.0	18.0	15.0	20.0	8.0	458.0
Le_DET:ART_le	30.0	21.0	9.0	17.0	23.0	30.0	19.0	9.0	16.0	17.0	12.0	31.0	17.0	18.0	14.0	16.0	18.0	19.0	10.0	14.0	28.0	12.0	18.0	10.0	10.0	11.0	449.0
plus_ADV_plus	15.0	14.0	15.0	11.0	12.0	15.0	13.0	25.0	16.0	14.0	13.0	16.0	15.0	24.0	19.0	10.0	17.0	9.0	17.0	9.0	12.0	20.0	16.0	8.0	11.0	12.0	378.0
je_PRO:PER_je	1.0	13.0	14.0	9.0	6.0	9.0	20.0	20.0	6.0	17.0	11.0	17.0	7.0	20.0	16.0	17.0	30.0	14.0	31.0	16.0	12.0	19.0	22.0	9.0	4.0	7.0	367.0
ses_DET:POS_son	11.0	20.0	16.0	7.0	23.0	13.0	14.0	20.0	21.0	7.0	9.0	14.0	9.0	10.0	17.0	11.0	12.0	8.0	19.0	6.0	10.0	17.0	17.0	21.0	23.0	7.0	362.0
deux_NUM_deux	10.0	18.0	11.0	13.0	16.0	17.0	11.0	13.0	13.0	10.0	4.0	27.0	8.0	12.0	24.0	13.0	4.0	19.0	15.0	13.0	17.0	7.0	12.0	17.0	21.0	11.0	356.0
