	France_Thais_0	France_Thais_1	France_Thais_2	France_Thais_3	France_Thais_4	France_Thais_5	France_Thais_6	France_Thais_7	France_Thais_8	France_Thais_9	France_Thais_10	France_Thais_11	France_Thais_12	France_Thais_13	France_Thais_sum
père_NOM_père	6.0	7.0	0.0	10.0	3.0	2.0	0.0	3.0	6.0	8.0	1.0	4.0	13.0	0.0	63.0
monde_NOM_monde	1.0	9.0	2.0	3.0	4.0	5.0	9.0	11.0	3.0	0.0	3.0	3.0	9.0	0.0	62.0
bras_NOM_bras	1.0	5.0	4.0	9.0	7.0	4.0	2.0	7.0	5.0	2.0	3.0	4.0	9.0	0.0	62.0
femme_NOM_femme	4.0	4.0	10.0	3.0	6.0	9.0	4.0	6.0	4.0	2.0	2.0	5.0	3.0	0.0	62.0
sous_PRP_sous	3.0	2.0	6.0	10.0	5.0	2.0	5.0	7.0	4.0	7.0	3.0	5.0	3.0	0.0	62.0
»_PUN:cit_»	5.0	3.0	3.0	11.0	5.0	9.0	2.0	4.0	1.0	2.0	0.0	1.0	15.0	0.0	61.0
tête_NOM_tête	3.0	3.0	5.0	5.0	5.0	2.0	6.0	5.0	6.0	4.0	8.0	4.0	5.0	0.0	61.0
femmes_NOM_femme	3.0	3.0	5.0	1.0	8.0	6.0	3.0	7.0	7.0	1.0	9.0	2.0	4.0	0.0	59.0
La_DET:ART_le	4.0	1.0	9.0	8.0	5.0	3.0	5.0	4.0	1.0	3.0	2.0	9.0	4.0	0.0	58.0
ta_DET:POS_ton	1.0	11.0	0.0	5.0	5.0	10.0	0.0	4.0	8.0	1.0	1.0	9.0	3.0	0.0	58.0
moine_NOM_moine	2.0	7.0	6.0	0.0	0.0	7.0	1.0	3.0	12.0	4.0	6.0	5.0	3.0	1.0	57.0
bien_ADV_bien	1.0	3.0	6.0	5.0	3.0	11.0	6.0	4.0	2.0	6.0	3.0	3.0	3.0	0.0	56.0
quand_KON_quand	2.0	5.0	4.0	2.0	7.0	4.0	5.0	5.0	6.0	3.0	2.0	5.0	6.0	0.0	56.0
Tu_PRO:PER_tu	1.0	7.0	4.0	3.0	2.0	7.0	4.0	4.0	0.0	4.0	2.0	12.0	5.0	0.0	55.0
-même_ADJ_même	3.0	5.0	3.0	2.0	4.0	9.0	3.0	6.0	4.0	4.0	5.0	4.0	3.0	0.0	55.0
as_VER:pres_avoir	3.0	3.0	0.0	5.0	1.0	1.0	2.0	7.0	3.0	5.0	1.0	12.0	11.0	0.0	54.0
encore_ADV_encore	6.0	2.0	3.0	2.0	7.0	6.0	4.0	3.0	4.0	3.0	2.0	5.0	7.0	0.0	54.0
À_PRP_à	4.0	4.0	2.0	2.0	2.0	7.0	6.0	3.0	4.0	3.0	9.0	4.0	4.0	0.0	54.0
