	Aimard_BanditsArizona_0	Aimard_BanditsArizona_1	Aimard_BanditsArizona_2	Aimard_BanditsArizona_3	Aimard_BanditsArizona_4	Aimard_BanditsArizona_5	Aimard_BanditsArizona_6	Aimard_BanditsArizona_7	Aimard_BanditsArizona_8	Aimard_BanditsArizona_9	Aimard_BanditsArizona_10	Aimard_BanditsArizona_11	Aimard_BanditsArizona_12	Aimard_BanditsArizona_13	Aimard_BanditsArizona_14	Aimard_BanditsArizona_15	Aimard_BanditsArizona_16	Aimard_BanditsArizona_17	Aimard_BanditsArizona_sum
ses_DET:POS_son	25.0	13.0	9.0	10.0	10.0	16.0	9.0	16.0	13.0	9.0	13.0	18.0	11.0	16.0	15.0	16.0	15.0	2.0	236.0
qu'_PRO:REL_que	17.0	20.0	5.0	4.0	16.0	9.0	18.0	11.0	18.0	10.0	13.0	15.0	13.0	15.0	12.0	12.0	15.0	6.0	229.0
a_VER:pres_avoir	4.0	10.0	15.0	20.0	10.0	12.0	26.0	22.0	13.0	12.0	5.0	18.0	4.0	10.0	6.0	17.0	10.0	2.0	216.0
en_PRO:PER_en	11.0	8.0	11.0	16.0	9.0	11.0	12.0	15.0	15.0	21.0	16.0	10.0	9.0	6.0	16.0	13.0	12.0	5.0	216.0
colonel_NOM_colonel	2.0	35.0	21.0	40.0	28.0	12.0	0.0	35.0	27.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	204.0
qu'_KON_que	4.0	13.0	9.0	8.0	18.0	12.0	8.0	18.0	12.0	9.0	13.0	10.0	8.0	21.0	14.0	12.0	11.0	2.0	202.0
ai_VER:pres_avoir	4.0	15.0	17.0	11.0	7.0	8.0	29.0	21.0	7.0	13.0	4.0	5.0	4.0	12.0	12.0	9.0	14.0	7.0	199.0
cette_PRO:DEM_ce	12.0	10.0	9.0	13.0	8.0	8.0	4.0	9.0	9.0	27.0	3.0	13.0	23.0	7.0	15.0	7.0	15.0	6.0	198.0
m'_PRO:PER_me	10.0	8.0	20.0	11.0	6.0	5.0	24.0	11.0	13.0	27.0	3.0	4.0	4.0	9.0	7.0	13.0	14.0	7.0	196.0
sa_DET:POS_son	25.0	13.0	7.0	20.0	8.0	10.0	8.0	6.0	8.0	7.0	7.0	8.0	12.0	8.0	12.0	6.0	18.0	10.0	193.0
on_PRO:PER_on	8.0	13.0	4.0	9.0	15.0	12.0	14.0	9.0	14.0	8.0	11.0	13.0	10.0	8.0	20.0	8.0	11.0	4.0	191.0
j'_PRO:PER_je	4.0	7.0	21.0	11.0	5.0	5.0	22.0	18.0	8.0	23.0	6.0	2.0	5.0	11.0	13.0	8.0	14.0	8.0	191.0
l'_PRO:PER_la|le	11.0	10.0	10.0	12.0	6.0	10.0	17.0	15.0	13.0	17.0	6.0	9.0	4.0	2.0	14.0	8.0	16.0	5.0	185.0
deux_NUM_deux	8.0	7.0	10.0	8.0	4.0	14.0	8.0	16.0	13.0	11.0	23.0	13.0	8.0	12.0	4.0	4.0	4.0	5.0	172.0
c'_PRO:DEM_ce	9.0	11.0	7.0	11.0	10.0	7.0	11.0	10.0	6.0	11.0	13.0	14.0	9.0	6.0	8.0	7.0	10.0	6.0	166.0
ces_PRO:DEM_ce	5.0	8.0	6.0	13.0	15.0	10.0	11.0	10.0	5.0	6.0	14.0	11.0	17.0	7.0	10.0	6.0	9.0	1.0	164.0
chef_NOM_chef	4.0	4.0	9.0	4.0	11.0	15.0	8.0	15.0	0.0	2.0	2.0	11.0	1.0	14.0	2.0	52.0	10.0	0.0	164.0
étaient_VER:impf_être	1.0	10.0	13.0	9.0	12.0	10.0	1.0	1.0	6.0	4.0	14.0	7.0	17.0	19.0	10.0	9.0	14.0	0.0	157.0
Je_PRO:PER_je	2.0	7.0	15.0	13.0	3.0	7.0	19.0	6.0	15.0	13.0	8.0	8.0	4.0	5.0	10.0	8.0	6.0	8.0	157.0
les_PRO:PER_la|le	1.0	2.0	8.0	4.0	18.0	3.0	6.0	15.0	7.0	1.0	13.0	8.0	13.0	19.0	12.0	14.0	8.0	2.0	154.0
C'_PRO:DEM_ce	2.0	7.0	3.0	15.0	11.0	13.0	18.0	10.0	10.0	5.0	8.0	11.0	4.0	4.0	6.0	13.0	5.0	7.0	152.0
cela_PRO:DEM_cela	4.0	6.0	7.0	10.0	10.0	6.0	17.0	14.0	15.0	7.0	10.0	11.0	3.0	5.0	4.0	18.0	2.0	2.0	151.0
:_PUN_:	14.0	10.0	17.0	8.0	6.0	6.0	7.0	3.0	13.0	11.0	8.0	9.0	6.0	1.0	12.0	7.0	7.0	3.0	148.0
-vous_PRO:PER_vous	5.0	7.0	5.0	12.0	9.0	1.0	14.0	10.0	13.0	5.0	10.0	6.0	2.0	9.0	6.0	8.0	7.0	11.0	140.0
Les_DET:ART_le	5.0	4.0	7.0	7.0	9.0	9.0	6.0	3.0	7.0	2.0	14.0	18.0	10.0	13.0	6.0	9.0	7.0	3.0	139.0
sont_VER:pres_être	5.0	3.0	12.0	7.0	8.0	14.0	10.0	15.0	6.0	2.0	8.0	11.0	9.0	9.0	3.0	10.0	2.0	1.0	135.0
été_VER:pper_être	9.0	6.0	5.0	4.0	5.0	12.0	8.0	11.0	7.0	11.0	6.0	3.0	9.0	12.0	8.0	3.0	15.0	0.0	134.0
faire_VER:infi_faire	5.0	6.0	8.0	6.0	5.0	8.0	6.0	4.0	7.0	9.0	10.0	7.0	5.0	7.0	7.0	8.0	10.0	8.0	126.0
général_NOM_général	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16.0	11.0	13.0	4.0	0.0	21.0	11.0	20.0	27.0	124.0
donc_ADV_donc	6.0	5.0	6.0	5.0	7.0	9.0	11.0	11.0	8.0	9.0	11.0	5.0	3.0	5.0	5.0	6.0	7.0	4.0	123.0
leur_DET:POS_leur	5.0	4.0	4.0	4.0	10.0	11.0	3.0	8.0	3.0	1.0	10.0	13.0	16.0	12.0	9.0	3.0	5.0	2.0	123.0
y_PRO:PER_y	7.0	2.0	7.0	13.0	4.0	11.0	11.0	7.0	10.0	8.0	5.0	9.0	8.0	5.0	4.0	5.0	3.0	3.0	122.0
où_PRO:REL_où	7.0	7.0	5.0	6.0	8.0	6.0	6.0	9.0	8.0	4.0	12.0	6.0	7.0	6.0	8.0	8.0	7.0	2.0	122.0
Agostin_NAM_agostin	0.0	0.0	0.0	9.0	13.0	2.0	0.0	0.0	8.0	7.0	8.0	15.0	9.0	3.0	12.0	6.0	15.0	14.0	121.0
votre_DET:POS_votre	3.0	6.0	5.0	10.0	7.0	2.0	17.0	2.0	14.0	4.0	8.0	5.0	1.0	10.0	1.0	4.0	6.0	13.0	118.0
suis_VER:pres_suivre|être	6.0	6.0	8.0	17.0	5.0	7.0	4.0	11.0	12.0	4.0	5.0	5.0	3.0	7.0	4.0	1.0	10.0	3.0	118.0
général_ADJ_général	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	18.0	17.0	6.0	10.0	0.0	14.0	7.0	16.0	20.0	116.0
moi_PRO:PER_moi	5.0	5.0	10.0	7.0	4.0	6.0	14.0	11.0	12.0	9.0	4.0	2.0	2.0	5.0	4.0	5.0	5.0	6.0	116.0
dont_PRO:REL_dont	7.0	3.0	7.0	6.0	7.0	8.0	8.0	8.0	5.0	8.0	9.0	4.0	9.0	3.0	7.0	7.0	6.0	3.0	115.0
si_KON_si	3.0	5.0	10.0	7.0	6.0	6.0	11.0	4.0	10.0	5.0	8.0	3.0	4.0	14.0	3.0	5.0	6.0	5.0	115.0
tout_ADV_tout	8.0	4.0	8.0	5.0	4.0	4.0	10.0	3.0	12.0	9.0	3.0	5.0	10.0	7.0	6.0	6.0	9.0	1.0	114.0
avaient_VER:impf_avoir	1.0	6.0	0.0	6.0	9.0	12.0	1.0	1.0	1.0	3.0	16.0	8.0	10.0	13.0	9.0	1.0	14.0	2.0	113.0
avez_VER:pres_avoir	4.0	6.0	5.0	5.0	4.0	3.0	20.0	8.0	9.0	4.0	9.0	7.0	2.0	8.0	3.0	2.0	8.0	3.0	110.0
