	Ponson_Breda_0	Ponson_Breda_1	Ponson_Breda_2	Ponson_Breda_3	Ponson_Breda_4	Ponson_Breda_5	Ponson_Breda_6	Ponson_Breda_7	Ponson_Breda_8	Ponson_Breda_9	Ponson_Breda_10	Ponson_Breda_11	Ponson_Breda_12	Ponson_Breda_13	Ponson_Breda_sum
bien_ADV_bien	13.0	15.0	13.0	10.0	10.0	22.0	13.0	6.0	11.0	13.0	7.0	12.0	8.0	3.0	156.0
Il_PRO:PER_il	8.0	11.0	13.0	8.0	11.0	10.0	12.0	11.0	15.0	2.0	15.0	10.0	18.0	10.0	154.0
femme_NOM_femme	6.0	22.0	7.0	11.0	15.0	9.0	16.0	7.0	13.0	10.0	3.0	9.0	19.0	3.0	150.0
tout_ADV_tout	10.0	13.0	9.0	6.0	5.0	16.0	8.0	9.0	13.0	14.0	13.0	16.0	10.0	6.0	148.0
mon_DET:POS_mon	22.0	5.0	11.0	15.0	9.0	18.0	10.0	9.0	10.0	11.0	7.0	11.0	8.0	1.0	147.0
m'_PRO:PER_me	16.0	12.0	14.0	10.0	6.0	19.0	11.0	7.0	8.0	16.0	1.0	13.0	9.0	4.0	146.0
qu'_PRO:REL_que	8.0	7.0	10.0	14.0	8.0	10.0	14.0	18.0	10.0	4.0	8.0	12.0	20.0	2.0	145.0
comme_KON_comme	16.0	12.0	12.0	10.0	11.0	15.0	8.0	13.0	9.0	5.0	9.0	6.0	15.0	2.0	143.0
sur_PRP_sur	8.0	9.0	19.0	11.0	12.0	11.0	10.0	12.0	12.0	6.0	8.0	9.0	10.0	5.0	142.0
l'_PRO:PER_la|le	9.0	3.0	8.0	17.0	8.0	12.0	6.0	19.0	8.0	8.0	9.0	7.0	18.0	10.0	142.0
qu'_KON_que	8.0	10.0	8.0	11.0	13.0	12.0	7.0	10.0	10.0	7.0	14.0	10.0	15.0	6.0	141.0
y_PRO:PER_y	12.0	12.0	21.0	8.0	7.0	6.0	16.0	5.0	11.0	9.0	7.0	8.0	14.0	4.0	140.0
par_PRP_par	8.0	6.0	15.0	8.0	17.0	9.0	15.0	7.0	7.0	7.0	12.0	12.0	12.0	4.0	139.0
en_PRO:PER_en	8.0	16.0	9.0	9.0	10.0	11.0	9.0	16.0	7.0	9.0	11.0	11.0	10.0	1.0	137.0
c'_PRO:DEM_ce	6.0	14.0	9.0	10.0	7.0	11.0	7.0	11.0	13.0	12.0	13.0	6.0	15.0	1.0	135.0
ses_DET:POS_son	13.0	4.0	10.0	9.0	8.0	12.0	9.0	8.0	7.0	4.0	9.0	9.0	14.0	8.0	124.0
Clémence_NAM_clémence	3.0	0.0	0.0	0.0	0.0	0.0	5.0	13.0	49.0	46.0	4.0	2.0	0.0	0.0	122.0
cette_PRO:DEM_ce	6.0	3.0	15.0	17.0	12.0	9.0	12.0	7.0	10.0	13.0	3.0	4.0	6.0	4.0	121.0
le_PRO:PER_le	9.0	3.0	6.0	16.0	10.0	7.0	9.0	9.0	7.0	9.0	8.0	7.0	7.0	8.0	115.0
Et_KON_et	2.0	7.0	8.0	10.0	6.0	10.0	9.0	14.0	5.0	3.0	5.0	16.0	11.0	5.0	111.0
deux_NUM_deux	11.0	7.0	9.0	5.0	9.0	6.0	5.0	5.0	13.0	7.0	9.0	9.0	11.0	2.0	108.0
dit-elle_NOM_dit-elle	1.0	6.0	6.0	14.0	13.0	13.0	5.0	9.0	6.0	14.0	0.0	5.0	5.0	8.0	105.0
suis_VER:pres_suivre|être	11.0	14.0	9.0	4.0	8.0	4.0	6.0	8.0	9.0	10.0	5.0	5.0	8.0	3.0	104.0
homme_NOM_homme	8.0	6.0	6.0	5.0	7.0	6.0	6.0	4.0	3.0	13.0	11.0	7.0	19.0	3.0	104.0
où_PRO:REL_où	10.0	15.0	11.0	6.0	6.0	11.0	3.0	7.0	9.0	10.0	4.0	4.0	3.0	1.0	100.0
si_KON_si	8.0	10.0	5.0	14.0	6.0	7.0	7.0	5.0	7.0	11.0	7.0	6.0	4.0	2.0	99.0
-vous_PRO:PER_vous	4.0	10.0	12.0	4.0	11.0	2.0	10.0	5.0	14.0	9.0	5.0	5.0	8.0	0.0	99.0
moi_PRO:PER_moi	11.0	7.0	13.0	8.0	9.0	10.0	4.0	7.0	1.0	11.0	7.0	3.0	3.0	5.0	99.0
Ah_NAM_ah	4.0	8.0	7.0	8.0	4.0	8.0	3.0	13.0	10.0	15.0	1.0	7.0	7.0	4.0	99.0
te_PRO:PER_te	10.0	10.0	5.0	18.0	6.0	5.0	4.0	6.0	3.0	10.0	6.0	3.0	3.0	7.0	96.0
fit_VER:simp_faire	3.0	4.0	6.0	6.0	6.0	5.0	3.0	14.0	10.0	5.0	11.0	10.0	9.0	2.0	94.0
