	Huysmans_SœursVatard_0	Huysmans_SœursVatard_1	Huysmans_SœursVatard_2	Huysmans_SœursVatard_3	Huysmans_SœursVatard_4	Huysmans_SœursVatard_5	Huysmans_SœursVatard_6	Huysmans_SœursVatard_7	Huysmans_SœursVatard_8	Huysmans_SœursVatard_9	Huysmans_SœursVatard_10	Huysmans_SœursVatard_11	Huysmans_SœursVatard_12	Huysmans_SœursVatard_13	Huysmans_SœursVatard_14	Huysmans_SœursVatard_15	Huysmans_SœursVatard_16	Huysmans_SœursVatard_sum
très_ADV_très	5.0	11.0	6.0	4.0	11.0	6.0	6.0	6.0	6.0	5.0	5.0	6.0	6.0	6.0	9.0	5.0	1.0	104.0
a_VER:pres_avoir	4.0	6.0	3.0	1.0	1.0	4.0	3.0	21.0	10.0	9.0	5.0	3.0	2.0	2.0	14.0	4.0	11.0	103.0
Désirée_VER:pper_désirer	4.0	6.0	3.0	6.0	10.0	9.0	7.0	6.0	6.0	10.0	3.0	5.0	2.0	11.0	7.0	6.0	0.0	101.0
tous_PRO:IND_tout	7.0	2.0	6.0	8.0	13.0	4.0	5.0	6.0	3.0	3.0	7.0	10.0	5.0	4.0	6.0	7.0	4.0	100.0
où_PRO:REL_où	5.0	7.0	4.0	7.0	3.0	4.0	3.0	5.0	0.0	5.0	4.0	3.0	17.0	11.0	11.0	5.0	6.0	100.0
toutes_PRO:IND_tout	5.0	3.0	6.0	6.0	4.0	3.0	7.0	9.0	7.0	2.0	5.0	7.0	4.0	13.0	10.0	3.0	3.0	97.0
être_VER:infi_être	2.0	3.0	6.0	9.0	5.0	7.0	1.0	3.0	6.0	4.0	9.0	5.0	7.0	6.0	8.0	8.0	5.0	94.0
avoir_VER:infi_avoir	2.0	5.0	8.0	6.0	5.0	5.0	2.0	2.0	11.0	5.0	5.0	5.0	8.0	8.0	5.0	5.0	4.0	91.0
que_PRO:REL_que	4.0	6.0	4.0	5.0	2.0	5.0	5.0	9.0	8.0	10.0	3.0	4.0	3.0	5.0	9.0	8.0	1.0	91.0
yeux_NOM_œil	8.0	8.0	4.0	3.0	3.0	7.0	6.0	9.0	3.0	7.0	5.0	2.0	7.0	2.0	2.0	12.0	3.0	91.0
si_KON_si	2.0	5.0	10.0	3.0	4.0	2.0	1.0	8.0	12.0	6.0	4.0	6.0	5.0	4.0	6.0	5.0	5.0	88.0
femmes_NOM_femme	12.0	5.0	8.0	13.0	6.0	4.0	4.0	3.0	3.0	4.0	4.0	3.0	6.0	5.0	2.0	2.0	3.0	87.0
chez_PRP_chez	1.0	5.0	5.0	6.0	4.0	3.0	4.0	10.0	3.0	3.0	3.0	5.0	9.0	13.0	8.0	3.0	2.0	87.0
ai_VER:pres_avoir	1.0	1.0	2.0	3.0	1.0	7.0	8.0	13.0	7.0	9.0	0.0	5.0	2.0	8.0	3.0	9.0	7.0	86.0
petite_ADJ_petit	6.0	3.0	7.0	7.0	4.0	4.0	7.0	2.0	10.0	6.0	1.0	8.0	4.0	6.0	5.0	3.0	3.0	86.0
C'_PRO:DEM_ce	4.0	4.0	8.0	3.0	9.0	9.0	3.0	6.0	5.0	9.0	3.0	3.0	3.0	4.0	3.0	3.0	6.0	85.0
Les_DET:ART_le	12.0	5.0	2.0	13.0	6.0	2.0	4.0	5.0	2.0	2.0	4.0	10.0	3.0	6.0	4.0	4.0	1.0	85.0
sous_PRP_sous	8.0	7.0	9.0	7.0	5.0	6.0	7.0	5.0	4.0	7.0	3.0	3.0	1.0	4.0	5.0	2.0	1.0	84.0
fut_VER:simp_être	1.0	10.0	6.0	8.0	4.0	6.0	4.0	0.0	9.0	6.0	5.0	5.0	5.0	8.0	1.0	3.0	2.0	83.0
avaient_VER:impf_avoir	3.0	10.0	7.0	2.0	7.0	2.0	3.0	6.0	7.0	6.0	3.0	10.0	2.0	3.0	5.0	5.0	2.0	83.0
leur_DET:POS_leur	9.0	6.0	3.0	6.0	5.0	3.0	6.0	4.0	10.0	2.0	4.0	5.0	5.0	1.0	2.0	10.0	0.0	81.0
devant_PRP_devant	9.0	2.0	4.0	5.0	1.0	3.0	7.0	3.0	1.0	1.0	8.0	3.0	6.0	5.0	9.0	8.0	4.0	79.0
rue_NOM_rue	7.0	6.0	1.0	3.0	1.0	6.0	9.0	3.0	2.0	3.0	13.0	5.0	6.0	3.0	3.0	7.0	0.0	78.0
encore_ADV_encore	4.0	3.0	6.0	1.0	4.0	2.0	5.0	7.0	5.0	6.0	5.0	6.0	5.0	8.0	2.0	6.0	3.0	78.0
fille_NOM_fille	4.0	6.0	9.0	7.0	7.0	2.0	3.0	5.0	5.0	5.0	4.0	3.0	3.0	5.0	8.0	0.0	1.0	77.0
Ils_PRO:PER_il	0.0	6.0	1.0	4.0	9.0	3.0	2.0	2.0	1.0	10.0	11.0	5.0	3.0	4.0	3.0	13.0	0.0	77.0
autres_ADJ_autre	6.0	3.0	6.0	8.0	6.0	0.0	4.0	5.0	11.0	3.0	4.0	3.0	1.0	4.0	4.0	6.0	3.0	77.0
cela_PRO:DEM_cela	1.0	4.0	7.0	4.0	8.0	5.0	3.0	4.0	7.0	10.0	3.0	3.0	3.0	5.0	4.0	5.0	1.0	77.0
Et_KON_et	7.0	3.0	4.0	4.0	2.0	3.0	3.0	2.0	7.0	3.0	4.0	3.0	8.0	6.0	5.0	3.0	8.0	75.0
alors_ADV_alors	7.0	6.0	3.0	5.0	3.0	3.0	4.0	9.0	3.0	4.0	6.0	3.0	4.0	3.0	3.0	7.0	1.0	74.0
voir_VER:infi_voir	3.0	3.0	4.0	8.0	6.0	2.0	2.0	2.0	5.0	2.0	4.0	5.0	10.0	7.0	3.0	4.0	4.0	74.0
-là_ADV_là	2.0	5.0	5.0	4.0	3.0	5.0	2.0	7.0	2.0	4.0	2.0	3.0	10.0	7.0	6.0	3.0	4.0	74.0
me_PRO:PER_me	3.0	1.0	0.0	0.0	6.0	6.0	2.0	19.0	7.0	10.0	0.0	3.0	2.0	4.0	1.0	4.0	6.0	74.0
après_PRP_après	3.0	3.0	7.0	8.0	3.0	2.0	4.0	2.0	2.0	3.0	9.0	5.0	2.0	10.0	5.0	2.0	1.0	71.0
moins_ADV_moins	1.0	1.0	6.0	2.0	4.0	4.0	6.0	4.0	3.0	2.0	8.0	4.0	9.0	4.0	5.0	5.0	3.0	71.0
Vatard_NAM_vatard	1.0	20.0	1.0	0.0	0.0	2.0	1.0	3.0	3.0	19.0	4.0	5.0	1.0	3.0	7.0	1.0	0.0	71.0
soir_NOM_soir	1.0	3.0	1.0	3.0	1.0	4.0	5.0	6.0	4.0	8.0	8.0	8.0	3.0	5.0	6.0	3.0	1.0	70.0
Anatole_NAM_anatole	1.0	7.0	1.0	11.0	8.0	10.0	5.0	1.0	0.0	6.0	2.0	0.0	6.0	1.0	1.0	10.0	0.0	70.0
contre-maître_NOM_contre-maître	14.0	0.0	5.0	3.0	3.0	0.0	0.0	2.0	14.0	0.0	6.0	2.0	0.0	0.0	10.0	0.0	11.0	70.0
eut_VER:simp_avoir	3.0	2.0	4.0	3.0	3.0	4.0	3.0	5.0	6.0	4.0	2.0	2.0	5.0	5.0	3.0	13.0	3.0	70.0
temps_NOM_temps	4.0	6.0	2.0	3.0	4.0	3.0	6.0	2.0	3.0	5.0	5.0	3.0	7.0	7.0	5.0	4.0	0.0	69.0
hommes_NOM_homme	6.0	7.0	5.0	10.0	2.0	3.0	5.0	5.0	2.0	2.0	5.0	3.0	1.0	4.0	5.0	2.0	1.0	68.0
air_NOM_air	4.0	5.0	4.0	6.0	2.0	3.0	3.0	6.0	3.0	2.0	5.0	9.0	6.0	1.0	4.0	4.0	1.0	68.0
tête_NOM_tête	4.0	8.0	5.0	4.0	4.0	3.0	4.0	5.0	5.0	2.0	2.0	6.0	3.0	6.0	1.0	3.0	1.0	66.0
fit_VER:simp_faire	3.0	8.0	5.0	6.0	4.0	5.0	5.0	0.0	7.0	2.0	2.0	4.0	2.0	2.0	0.0	8.0	3.0	66.0
Mais_KON_mais	3.0	7.0	0.0	3.0	4.0	2.0	0.0	7.0	5.0	6.0	5.0	3.0	3.0	3.0	7.0	6.0	2.0	66.0
toute_PRO:IND_tout	6.0	5.0	4.0	2.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	6.0	3.0	4.0	4.0	10.0	2.0	65.0
même_ADV_même	1.0	3.0	8.0	2.0	4.0	5.0	2.0	6.0	3.0	4.0	2.0	4.0	4.0	8.0	3.0	2.0	4.0	65.0
mère_NOM_mère	2.0	6.0	7.0	4.0	3.0	5.0	4.0	0.0	6.0	7.0	0.0	6.0	3.0	0.0	8.0	0.0	3.0	64.0
j'_PRO:PER_je	1.0	0.0	1.0	4.0	0.0	4.0	2.0	18.0	7.0	10.0	0.0	1.0	3.0	4.0	2.0	4.0	2.0	63.0
là_ADV_là	4.0	4.0	2.0	3.0	3.0	2.0	5.0	4.0	2.0	7.0	5.0	3.0	6.0	3.0	1.0	6.0	3.0	63.0
donc_ADV_donc	3.0	3.0	6.0	6.0	4.0	6.0	1.0	4.0	6.0	3.0	2.0	2.0	6.0	2.0	3.0	3.0	3.0	63.0
atelier_NOM_atelier	7.0	2.0	10.0	4.0	2.0	1.0	0.0	3.0	5.0	3.0	3.0	3.0	1.0	3.0	6.0	5.0	5.0	63.0
serait_VER:cond_être	0.0	4.0	3.0	4.0	5.0	5.0	1.0	2.0	4.0	5.0	3.0	4.0	2.0	7.0	9.0	3.0	2.0	63.0
aurait_VER:cond_avoir	0.0	4.0	9.0	3.0	3.0	3.0	0.0	3.0	6.0	0.0	0.0	5.0	6.0	11.0	3.0	1.0	5.0	62.0
soeur_NOM_sœur	6.0	2.0	3.0	5.0	4.0	3.0	4.0	4.0	6.0	4.0	0.0	4.0	1.0	2.0	11.0	2.0	0.0	61.0
bras_NOM_bras	3.0	7.0	2.0	6.0	1.0	1.0	7.0	3.0	2.0	4.0	6.0	2.0	5.0	2.0	2.0	6.0	2.0	61.0
aussi_ADV_aussi	0.0	2.0	5.0	4.0	5.0	4.0	8.0	7.0	5.0	2.0	4.0	2.0	0.0	1.0	6.0	4.0	1.0	60.0
rien_ADV_rien	2.0	2.0	3.0	1.0	3.0	3.0	1.0	4.0	5.0	7.0	6.0	5.0	4.0	4.0	2.0	4.0	4.0	60.0
m'_PRO:PER_me	4.0	0.0	0.0	0.0	0.0	3.0	2.0	16.0	5.0	7.0	1.0	1.0	4.0	4.0	2.0	3.0	8.0	60.0
père_NOM_père	0.0	6.0	7.0	1.0	1.0	4.0	2.0	6.0	6.0	8.0	6.0	2.0	0.0	3.0	5.0	2.0	1.0	60.0
été_VER:pper_être	2.0	11.0	2.0	3.0	1.0	1.0	2.0	3.0	5.0	5.0	2.0	4.0	3.0	4.0	3.0	4.0	3.0	58.0
tout_PRO:IND_tout	4.0	3.0	6.0	4.0	3.0	1.0	5.0	3.0	6.0	3.0	4.0	1.0	3.0	5.0	1.0	1.0	3.0	56.0
nous_PRO:PER_nous	1.0	6.0	1.0	3.0	0.0	1.0	3.0	4.0	5.0	5.0	0.0	0.0	5.0	6.0	2.0	8.0	6.0	56.0
