	Verne_VingtMilleLieues_0	Verne_VingtMilleLieues_1	Verne_VingtMilleLieues_2	Verne_VingtMilleLieues_3	Verne_VingtMilleLieues_4	Verne_VingtMilleLieues_5	Verne_VingtMilleLieues_6	Verne_VingtMilleLieues_7	Verne_VingtMilleLieues_8	Verne_VingtMilleLieues_9	Verne_VingtMilleLieues_10	Verne_VingtMilleLieues_11	Verne_VingtMilleLieues_12	Verne_VingtMilleLieues_13	Verne_VingtMilleLieues_14	Verne_VingtMilleLieues_15	Verne_VingtMilleLieues_16	Verne_VingtMilleLieues_17	Verne_VingtMilleLieues_18	Verne_VingtMilleLieues_19	Verne_VingtMilleLieues_20	Verne_VingtMilleLieues_21	Verne_VingtMilleLieues_22	Verne_VingtMilleLieues_23	Verne_VingtMilleLieues_24	Verne_VingtMilleLieues_25	Verne_VingtMilleLieues_26	Verne_VingtMilleLieues_27	Verne_VingtMilleLieues_28	Verne_VingtMilleLieues_29	Verne_VingtMilleLieues_30	Verne_VingtMilleLieues_31	Verne_VingtMilleLieues_32	Verne_VingtMilleLieues_33	Verne_VingtMilleLieues_34	Verne_VingtMilleLieues_35	Verne_VingtMilleLieues_36	Verne_VingtMilleLieues_sum
«_PUN:cit_«	23.0	18.0	16.0	32.0	15.0	22.0	14.0	12.0	13.0	16.0	6.0	16.0	14.0	18.0	24.0	10.0	14.0	13.0	11.0	9.0	15.0	20.0	12.0	18.0	7.0	9.0	9.0	16.0	16.0	13.0	22.0	14.0	8.0	14.0	8.0	19.0	12.0	548.0
»_PUN:cit_»	13.0	11.0	17.0	32.0	14.0	22.0	14.0	8.0	14.0	17.0	6.0	16.0	13.0	18.0	24.0	11.0	14.0	12.0	10.0	9.0	15.0	20.0	12.0	9.0	8.0	8.0	9.0	16.0	16.0	12.0	23.0	14.0	8.0	14.0	9.0	18.0	12.0	518.0
vous_PRO:PER_vous	2.0	22.0	10.0	4.0	7.0	80.0	37.0	39.0	19.0	32.0	0.0	5.0	5.0	15.0	14.0	10.0	3.0	19.0	6.0	8.0	32.0	22.0	5.0	13.0	9.0	10.0	3.0	19.0	17.0	1.0	1.0	3.0	3.0	10.0	21.0	6.0	2.0	514.0
son_DET:POS_son	5.0	21.0	12.0	15.0	14.0	15.0	3.0	14.0	11.0	9.0	12.0	15.0	11.0	7.0	15.0	24.0	10.0	10.0	9.0	28.0	15.0	14.0	6.0	14.0	10.0	17.0	18.0	19.0	4.0	9.0	10.0	11.0	8.0	17.0	14.0	26.0	13.0	485.0
Nemo_NAM_nemo	0.0	0.0	0.0	0.0	0.0	5.0	24.0	14.0	6.0	20.0	20.0	11.0	16.0	9.0	12.0	24.0	24.0	12.0	18.0	15.0	12.0	22.0	14.0	14.0	18.0	6.0	16.0	13.0	21.0	16.0	16.0	13.0	5.0	17.0	16.0	20.0	14.0	483.0
Nautilus_NOM_nautilus	0.0	0.0	0.0	0.0	0.0	0.0	7.0	20.0	11.0	12.0	6.0	18.0	19.0	6.0	10.0	24.0	9.0	11.0	4.0	14.0	13.0	20.0	16.0	18.0	6.0	15.0	25.0	17.0	34.0	5.0	31.0	21.0	12.0	14.0	21.0	30.0	9.0	478.0
Ned_NAM_ned	0.0	26.0	16.0	14.0	24.0	16.0	0.0	1.0	22.0	12.0	0.0	3.0	5.0	42.0	13.0	14.0	6.0	5.0	20.0	10.0	15.0	24.0	4.0	12.0	5.0	6.0	9.0	29.0	11.0	2.0	16.0	11.0	18.0	14.0	5.0	14.0	8.0	452.0
pour_PRP_pour	13.0	20.0	20.0	15.0	13.0	13.0	13.0	11.0	10.0	9.0	8.0	11.0	11.0	23.0	14.0	8.0	14.0	4.0	13.0	11.0	14.0	11.0	9.0	16.0	12.0	14.0	11.0	17.0	16.0	7.0	9.0	10.0	10.0	7.0	13.0	16.0	5.0	451.0
avec_PRP_avec	17.0	13.0	11.0	12.0	11.0	12.0	14.0	14.0	10.0	14.0	9.0	7.0	14.0	12.0	8.0	12.0	6.0	8.0	12.0	14.0	8.0	9.0	6.0	8.0	13.0	11.0	15.0	11.0	11.0	10.0	12.0	11.0	9.0	14.0	10.0	20.0	13.0	421.0
Conseil_NAM_conseil	0.0	15.0	10.0	14.0	18.0	8.0	0.0	1.0	30.0	11.0	5.0	4.0	11.0	28.0	23.0	9.0	4.0	10.0	26.0	3.0	14.0	12.0	18.0	3.0	2.0	12.0	9.0	12.0	8.0	17.0	18.0	10.0	21.0	11.0	5.0	7.0	2.0	411.0
Il_PRO:PER_il	7.0	15.0	6.0	11.0	8.0	8.0	4.0	7.0	7.0	18.0	10.0	5.0	10.0	11.0	10.0	10.0	13.0	8.0	6.0	8.0	13.0	16.0	10.0	8.0	12.0	10.0	8.0	20.0	15.0	11.0	12.0	18.0	7.0	17.0	15.0	17.0	13.0	404.0
mer_NOM_mer	13.0	3.0	8.0	11.0	8.0	4.0	15.0	13.0	9.0	6.0	13.0	10.0	8.0	4.0	3.0	14.0	5.0	17.0	10.0	21.0	30.0	9.0	15.0	9.0	7.0	11.0	10.0	7.0	18.0	7.0	6.0	9.0	14.0	14.0	15.0	10.0	8.0	394.0
sa_DET:POS_son	12.0	12.0	14.0	14.0	18.0	11.0	9.0	10.0	9.0	13.0	9.0	15.0	8.0	11.0	8.0	13.0	11.0	14.0	4.0	15.0	15.0	6.0	7.0	8.0	6.0	12.0	6.0	9.0	5.0	11.0	10.0	7.0	1.0	25.0	10.0	18.0	6.0	392.0
monsieur_NOM_monsieur	0.0	17.0	20.0	18.0	7.0	26.0	21.0	18.0	7.0	14.0	0.0	4.0	10.0	12.0	19.0	7.0	5.0	12.0	9.0	3.0	23.0	18.0	10.0	3.0	5.0	8.0	6.0	16.0	19.0	7.0	12.0	9.0	3.0	10.0	5.0	5.0	1.0	389.0
ses_DET:POS_son	10.0	8.0	6.0	11.0	12.0	7.0	9.0	6.0	13.0	8.0	4.0	13.0	10.0	6.0	17.0	21.0	19.0	6.0	3.0	15.0	17.0	9.0	7.0	12.0	14.0	7.0	10.0	14.0	13.0	5.0	11.0	5.0	7.0	22.0	9.0	16.0	4.0	386.0
-je_PRO:PER_je	2.0	9.0	6.0	12.0	10.0	17.0	11.0	13.0	9.0	14.0	5.0	2.0	6.0	17.0	10.0	10.0	5.0	11.0	20.0	1.0	19.0	13.0	11.0	10.0	10.0	14.0	11.0	9.0	17.0	6.0	21.0	11.0	6.0	11.0	3.0	12.0	8.0	382.0
mais_KON_mais	7.0	9.0	12.0	11.0	15.0	9.0	9.0	12.0	11.0	12.0	12.0	6.0	7.0	17.0	15.0	14.0	5.0	13.0	8.0	8.0	17.0	11.0	6.0	10.0	17.0	9.0	7.0	3.0	17.0	5.0	10.0	13.0	12.0	3.0	5.0	8.0	8.0	373.0
que_PRO:REL_que	6.0	9.0	12.0	11.0	10.0	21.0	17.0	12.0	13.0	15.0	5.0	6.0	16.0	12.0	10.0	9.0	9.0	7.0	10.0	6.0	14.0	8.0	7.0	8.0	15.0	12.0	12.0	10.0	11.0	4.0	6.0	10.0	6.0	8.0	12.0	8.0	4.0	371.0
qu'_KON_que	10.0	12.0	14.0	11.0	7.0	14.0	10.0	9.0	9.0	14.0	16.0	7.0	6.0	11.0	9.0	11.0	8.0	12.0	5.0	11.0	8.0	14.0	9.0	8.0	6.0	6.0	12.0	13.0	12.0	7.0	8.0	7.0	7.0	4.0	9.0	10.0	7.0	353.0
Mais_KON_mais	4.0	6.0	11.0	11.0	7.0	13.0	6.0	14.0	9.0	15.0	9.0	4.0	6.0	11.0	14.0	9.0	9.0	6.0	12.0	15.0	8.0	6.0	4.0	7.0	9.0	16.0	10.0	12.0	10.0	6.0	11.0	11.0	12.0	13.0	11.0	11.0	3.0	351.0
le_PRO:PER_le	7.0	9.0	15.0	10.0	7.0	14.0	4.0	13.0	9.0	10.0	3.0	2.0	8.0	6.0	5.0	8.0	5.0	5.0	7.0	15.0	6.0	13.0	8.0	13.0	12.0	6.0	6.0	15.0	17.0	7.0	11.0	13.0	8.0	12.0	13.0	18.0	10.0	350.0
j'_PRO:PER_je	3.0	9.0	6.0	16.0	9.0	21.0	17.0	22.0	8.0	16.0	12.0	9.0	5.0	4.0	9.0	8.0	12.0	4.0	5.0	6.0	5.0	9.0	8.0	7.0	10.0	13.0	13.0	8.0	6.0	9.0	5.0	8.0	6.0	13.0	6.0	10.0	5.0	342.0
m'_PRO:PER_me	8.0	10.0	4.0	9.0	12.0	13.0	15.0	9.0	13.0	22.0	7.0	2.0	6.0	6.0	12.0	5.0	7.0	5.0	7.0	3.0	12.0	11.0	5.0	12.0	17.0	11.0	3.0	3.0	15.0	4.0	7.0	8.0	6.0	8.0	10.0	16.0	17.0	340.0
dont_PRO:REL_dont	10.0	11.0	9.0	6.0	5.0	9.0	11.0	8.0	19.0	7.0	11.0	8.0	7.0	9.0	3.0	10.0	8.0	15.0	9.0	14.0	5.0	10.0	28.0	9.0	9.0	7.0	7.0	6.0	7.0	9.0	6.0	4.0	16.0	10.0	4.0	3.0	6.0	335.0
lui_PRO:PER_lui	8.0	13.0	11.0	9.0	3.0	11.0	5.0	10.0	10.0	10.0	5.0	6.0	10.0	7.0	7.0	14.0	5.0	3.0	7.0	17.0	10.0	11.0	5.0	14.0	7.0	7.0	5.0	12.0	5.0	4.0	11.0	8.0	7.0	14.0	12.0	12.0	8.0	323.0
en_PRO:PER_en	6.0	20.0	7.0	13.0	12.0	8.0	4.0	9.0	7.0	4.0	9.0	6.0	10.0	22.0	15.0	7.0	3.0	6.0	10.0	7.0	12.0	9.0	7.0	8.0	7.0	5.0	14.0	3.0	15.0	11.0	8.0	6.0	7.0	9.0	6.0	5.0	3.0	320.0
sous_PRP_sous	2.0	2.0	9.0	10.0	5.0	4.0	4.0	6.0	8.0	9.0	12.0	7.0	6.0	5.0	4.0	3.0	14.0	9.0	17.0	11.0	9.0	7.0	11.0	10.0	21.0	12.0	12.0	7.0	9.0	5.0	12.0	9.0	7.0	9.0	6.0	13.0	9.0	315.0
deux_NUM_deux	19.0	8.0	13.0	11.0	10.0	4.0	7.0	15.0	14.0	5.0	5.0	10.0	16.0	6.0	9.0	7.0	6.0	9.0	6.0	9.0	10.0	10.0	6.0	5.0	2.0	4.0	9.0	9.0	9.0	11.0	9.0	8.0	9.0	9.0	7.0	4.0	4.0	314.0
Land_NAM_land	0.0	8.0	14.0	11.0	16.0	21.0	0.0	1.0	12.0	4.0	0.0	4.0	5.0	26.0	12.0	11.0	6.0	4.0	16.0	8.0	15.0	12.0	4.0	11.0	1.0	6.0	6.0	17.0	8.0	2.0	7.0	7.0	12.0	9.0	3.0	7.0	6.0	312.0
l'_PRO:PER_la|le	10.0	4.0	14.0	11.0	8.0	5.0	4.0	10.0	10.0	11.0	6.0	5.0	3.0	5.0	9.0	7.0	6.0	7.0	5.0	9.0	7.0	17.0	4.0	7.0	13.0	2.0	8.0	5.0	7.0	4.0	10.0	12.0	6.0	15.0	5.0	17.0	15.0	303.0
avait_VER:impf_avoir	15.0	17.0	12.0	6.0	3.0	9.0	6.0	3.0	9.0	7.0	5.0	6.0	10.0	4.0	5.0	13.0	10.0	6.0	7.0	8.0	4.0	3.0	3.0	7.0	12.0	3.0	9.0	10.0	9.0	7.0	12.0	6.0	7.0	12.0	7.0	15.0	7.0	294.0
