"Aimard_BanditsArizona" "Aimard_TrappeursArkansas" "FevalPP_CavalierFortune" "FevalPP_JeanDiable" "Flaubert_Education" "Flaubert_Sallambo" "France_CrimeSylvestreBonnard" "France_Thais" "Gaboriau_CrimeOrcival" "Gaboriau_MonsieurLecoq" "Malot_Cara" "Malot_Ghislaine" "Maupassant_BelAmi" "Maupassant_UneVie" "Mirbeau_AbbeJules" "Mirbeau_SebastienRoch" "Ponson_Breda" "Ponson_RocambolePrison" "Stolz_DessusHaie" "Stolz_TresorNanette" "Verne_ArchipelFeu" "Verne_VingtMilleLieues" "Zola_Germinal" "Zola_Oeuvre"
"du" 0.528242242741868 0.678815843473053 0.676904203816075 0.764413141579857 0.584416451824047 0.657632522917497 0.524681621199794 0.671772630801882 0.639449476421282 0.656635355918622 0.339281005537488 0.438350362644926 0.68909679740914 0.598755932597928 0.501817809411644 0.507084576699151 0.602883355176933 0.636624641118462 0.746844760417228 0.541035289331842 0.890559125862532 0.959072004072038 0.768887709651742 0.67723924166189
"était" 0.558744419488118 0.516876116108566 0.600232206620079 0.592551980093627 0.66790451637034 0.476380269126383 0.43170006807578 0.45953677216942 0.639449476421282 0.81912478297645 0.91500395534851 1.10540526232199 0.399424253328535 0.491419555911907 0.441650878181166 0.528995638655287 0.582287961055982 0.748137976948363 0.890468752805156 0.656971422760094 0.7516066381393 0.405194526860044 0.770581294915292 0.743052459503641
"son" 0.404847073177495 0.575662455494304 0.602422835111393 0.652650668466113 0.746049344785669 0.392871377327336 0.393511215899846 0.527821352772908 0.691296731266251 0.697443202896615 0.660982684363189 0.674466620784584 0.573947463116229 0.781098452028399 0.5875876901019 0.634377412825275 0.439992510765774 0.464361502933467 0.771978959085115 0.559340994609987 0.560546967519856 0.352284828311377 0.487188027481244 0.651055488327
"n" 0.511604691789369 0.446998014574575 0.600232206620079 0.593606343047531 0.545010085358197 0.33023970847805 0.594417786042805 0.454000184552921 0.70779358508056 0.663683984033002 0.958073305792388 0.966700195881201 0.478589420654912 0.468141787473974 0.494136924573711 0.528995638655287 0.578543343943082 0.597511754670661 0.608606667743847 0.640699684735076 0.626865200296853 0.471499085800778 0.542511812757213 0.552689496068899
"pour" 0.589246596234368 0.521312820967867 0.636742681475315 0.63121195507008 0.595102924085973 0.557991231566361 0.471549305128929 0.422626188059426 0.593886737315098 0.55758358189022 0.963347103805924 0.93281804224681 0.608132421734437 0.547027558291412 0.326437605612167 0.335969616660754 0.576671035386632 0.409437024091874 0.626559666792338 0.74036408013831 0.562125973062165 0.34893611321336 0.487752555902427 0.467769214982768
"au" 0.467237889249369 0.586754217642557 0.596581159134556 0.642809947563016 0.597774542151454 0.644347017404012 0.39517160077706 0.51674817753991 0.519258112917036 0.498597693985665 0.460578359848818 0.501879400709408 0.482187837351565 0.528922627284131 0.4838957447898 0.415266793263914 0.645946451975286 0.515125036408272 0.508069873072297 0.488152140750534 0.66318232776997 0.638265097682019 0.658240139099803 0.626994742019263
"avait" 0.440895100241245 0.465854010226605 0.565912360256158 0.535264926264884 0.622487009257157 0.418493423674771 0.200906570142959 0.262065147180954 0.536540531198693 0.670732612147383 0.823591456447218 0.873524273386627 0.458798128823318 0.416413413167458 0.422448666086333 0.409006489847875 0.627223366410784 0.727333250114426 0.836609755659683 0.496288009763043 0.570021000773713 0.210299308155461 0.668966179102287 0.66450119949897
"lui" 0.357707345478746 0.537950464190246 0.468064287644125 0.38589684112859 0.717997355098115 0.39382034200687 0.410115064671991 0.533357940389407 0.627666009411062 0.631779667304753 0.755032082271249 0.733760389644767 0.716084922634041 0.56383927994103 0.521020021506478 0.727238580163185 0.54671409848343 0.661590313319186 0.807884957182097 0.530865453066206 0.420015474254315 0.222354682508322 0.533479358018279 0.607180009765832
"sa" 0.274519590716247 0.371574031966458 0.44250695524546 0.524721296725852 0.661225471206636 0.44506443470174 0.391850831022631 0.487219710251915 0.518472548449688 0.506017302527119 0.418387975740529 0.478585420085764 0.50737675422814 0.695746634422647 0.489016334681755 0.51021472840717 0.305186294701367 0.327050305829484 0.728891761368737 0.685446964303875 0.453174590642813 0.298705386743107 0.49170425485071 0.499614320390067
"sur" 0.512991154368744 0.473618243730381 0.468064287644125 0.482546778569722 0.578405311176714 0.883486116646738 0.532983545585867 0.548122174033404 0.366073041784174 0.37135140749974 0.337523072866309 0.350468526655726 0.480388629003239 0.549613977006738 0.5184597265605 0.515431647920536 0.273357049241715 0.362834435983856 0.333925782301934 0.284755415437811 0.51949282341981 0.559905164388424 0.449364623261958 0.416109377322039
"on" 0.316113468097496 0.196324190024069 0.411838156367062 0.342667960018557 0.543006371809086 0.716468333048644 0.302190047653046 0.258374088769955 0.534183837796649 0.460757690424253 0.375318625296651 0.385409497591191 0.556854983807125 0.519870161780491 0.363561882328844 0.299451180067194 0.524246395806029 0.44688553239296 0.978438448142762 0.844096410047798 0.353697241477318 0.244456202155233 0.733886947538374 0.498906651381016
"plus" 0.528242242741868 0.499129296671362 0.355612025089998 0.354968861147428 0.438145362738943 0.464992692971968 0.430039683198565 0.404170896004429 0.537326095666041 0.50342043953761 0.475520787553837 0.474350150881465 0.371536523929471 0.491419555911907 0.517179579087511 0.589511905010329 0.312675528927167 0.322889360462697 0.513455772786844 0.579680667141259 0.601601111619902 0.476857029957605 0.399121593776639 0.424601405430652
"mais" 0.485261902781244 0.349390507669953 0.473905963620963 0.402415194073074 0.339963398832503 0.311260414887358 0.552908164112441 0.370951370305435 0.467410858072068 0.508243185089555 0.607365737892239 0.596114140505056 0.452500899604174 0.478487462335277 0.307235393517333 0.262932743473634 0.71896648567684 0.624973994091458 0.466777975260767 0.471880402725516 0.437384535219719 0.494270348467293 0.36073366113617 0.361618863625105
"c" 0.450600338296869 0.269529820202536 0.412568365864166 0.37500175727159 0.328609022054207 0.206874300138549 0.454945456356784 0.274983851619452 0.456412955529196 0.462241612132544 0.517711171662125 0.553761448462068 0.399424253328535 0.318129501985076 0.468533975113933 0.415266793263914 0.456843287773825 0.470186826446969 0.551157070788675 0.738330112885183 0.358434258104246 0.306072559958744 0.380492155877588 0.415401708312988
"par" 0.371571971272495 0.438124604855973 0.32640364520581 0.303305076406169 0.485566583401237 0.698438004137486 0.368605442741627 0.496447356279413 0.271805305702412 0.318301206428349 0.442999033137031 0.397056487903012 0.454300107952501 0.506938068203862 0.375083209585744 0.447611694246781 0.277101666354615 0.278783339574751 0.438053176783182 0.370182040069155 0.478438679319764 0.556556449290407 0.411541219042673 0.367280215697514
"ses" 0.332751019049996 0.383774970329536 0.355612025089998 0.371135759773945 0.515622286637902 0.55988916092543 0.298869277898617 0.437390421703423 0.413992474292403 0.429224354123076 0.314669948140986 0.262586690666526 0.316660669305506 0.521163371138154 0.512058989195555 0.583251601594291 0.235910878112713 0.220530104439729 0.405737778495898 0.414929319637954 0.386856357865816 0.278613096155005 0.337023467446469 0.379310588851382
"comme" 0.268973740398747 0.24512794347638 0.427172555806261 0.429125722238623 0.492913533081311 0.595949818747746 0.366945057864413 0.404170896004429 0.333864898622905 0.314962382584695 0.345433769886613 0.322939276827783 0.52626844188557 0.631086166539501 0.348200112652978 0.364140982032929 0.430630967983524 0.320392793242625 0.391375379257105 0.500355944269297 0.217902764838705 0.24579568819444 0.334765353761735 0.362326532634156
"avec" 0.600338296869367 0.708763601273334 0.294274427333202 0.34372232297246 0.430130508542499 0.523828503103114 0.4682285353745 0.354341607455938 0.234098211269708 0.24892786656576 0.406961413377868 0.339880353644979 0.554156171284635 0.381496760510559 0.394285421680578 0.334926232758081 0.436247893652874 0.370324137644073 0.258523186298271 0.378317909081664 0.276325969904154 0.287319755409849 0.376540456929304 0.397709983086711
"tout" 0.307794692621246 0.291713344499041 0.395773547430758 0.3999550138473 0.39272785562576 0.366300366300366 0.310491972039119 0.258374088769955 0.362145219447434 0.373577290062176 0.3630130965984 0.368468420773995 0.478589420654912 0.492712765269569 0.393005274207589 0.373531437156988 0.402546339636772 0.309574335288978 0.58167716917111 0.600020339672531 0.219481770381014 0.169444983959655 0.270973642168015 0.304297673891967
"si" 0.292543604248121 0.248455472120856 0.354881815592894 0.302953622088201 0.199703450394732 0.162272960200421 0.35864313347834 0.241764325920458 0.409279087488315 0.424030628144059 0.502768743957106 0.437291545343851 0.236595897804966 0.270280755751549 0.270111116800655 0.293190876651155 0.37071709417712 0.280447717721466 0.405737778495898 0.473914369978643 0.290537019784939 0.240437744037613 0.344926865343036 0.360911194616054
