noch	ADV	noch
die	ART	die
Kugel	NN	Kugel
;	$.	;
aber	ADV	aber
der	ART	die
Doktor	NN	Doktor
sagt	VVFIN	sagen
:	$.	:
sie	PPER	sie
würde	VAFIN	werden
schon	ADV	schon
mal	ADV	mal
rausfallen	VVINF	rausfallen
und	KON	und
dann	ADV	dann
hätt	VVFIN	hätt
ich	PPER	ich
ein	ART	eine
Andenken	NN	Andenken
.	$.	.
«	QUO	«
Und	ADJD	Und
damit	PAV	damit
schloß	VVFIN	schließen
Nottebohm	NN	Nottebohm
eine	ART	eine
Rede	NN	Rede
,	$,	,
wie	KOUS	wie
er	PPER	er
sie	PPER	sie
länger	ADJD	lang
nie	ADV	nie
gehalten	VVPP	halten
und	KON	und
wie	KOUS	wie
sie	PPER	sie
die	ART	die
gute	ADJA	gut
Frau	NN	Frau
Majorin	NN	Majorin
nie	ADV	nie
freundlicheren	ADJA	freundlich
Ohres	NN	Ohr
gehört	VVPP	gehören|hören
hatte	VAFIN	haben
.	$.	.
Das	ART	die
mit	APPR	mit
dem	ART	die
»	QUO	»
Dabeigewesensein	NN	Dabeigewesensein
«	QUO	«
aber	KON	aber
bezog	VVFIN	beziehen
sich	PRF	sich
auf	APPR	auf
Gravelotte	NN	Gravelotte
,	$,	,
wo	PWAV	wo
Major	NN	Major
von	APPR	von
Poggenpuhl	NN	Poggenpuhl
,	$,	,
spät	ADJD	spät
gegen	APPR	gegen
Abend	NN	Abend
,	$,	,
als	KOUS	als
die	ART	die
pommersche	ADJA	pommersche
Division	NN	Division
herankam	VVFIN	herankommen
,	$,	,
an	APPR	an
der	ART	die
Spitze	NN	Spitze
seines	PPOSAT	sein
Bataillons	NN	Bataillon
,	$,	,
in	APPR	in
dem	PRELS	die
auch	ADV	auch
Nottebohm	NN	Nottebohm
stand	VVFIN	stehen
,	$,	,
ehrenvoll	ADJD	ehrenvoll
gefallen	VVPP	fallen|gefallen
war	VAFIN	sein
.	$.	.
Er	PPER	er
,	$,	,
der	ART	die
Major	NN	Major
,	$,	,
hinterließ	VVFIN	hinterlassen
nichts	PIS	nichts
als	KOKOM	als
einen	ART	eine
guten	ADJA	gut
alten	ADJA	alt
Namen	NN	Name
und	KON	und
drei	CARD	drei
blanke	ADJA	blank
Krönungstaler	NN	Krönungstaler
,	$,	,
die	PRELS	die
man	PIS	man
in	APPR	in
seinem	PPOSAT	sein
Portemonnaie	NN	Portemonnaie
fand	VVFIN	finden
und	KON	und
später	ADJD	spät
seiner	PPOSAT	sein
Witwe	NN	Witwe
behändigte	VVFIN	behändigte
.	$.	.
Diese	PDAT	dies
drei	CARD	drei
Krönungstaler	NN	Krönungstaler
waren	VAFIN	sein
,	$,	,
wie	KOUS	wie
das	ART	die
Erbe	NN	Erbe
der	ART	die
Familie	NN	Familie
,	$,	,
so	ADV	so
selbstverständlich	ADJD	selbstverständlich
auch	ADV	auch
der	ART	die
Stolz	NN	Stolz
derselben	PDS	dieselbe
,	$,	,
und	KON	und
als	KOKOM	als
sechzehn	CARD	sechzehn
Jahre	NN	Jahr
später	ADJD	spät
die	PDS	die
erst	ADV	erst
etliche	PIAT	etliche
Monate	NN	Monat
nach	APPR	nach
dem	ART	die
Tode	NN	Tod
des	ART	die
Vaters	NN	Vater
geborene	ADJA	geboren
jüngste	ADJA	jung
Tochter	NN	Tochter
Manon	NE	Manon
konfirmiert	VVPP	konfirmieren
werden	VAINF	werden
sollte	VMFIN	sollen
,	$,	,
waren	VAFIN	sein
aus	APPR	aus
den	ART	die
drei	CARD	drei
Krönungstalern	NN	Krönungstalern
–	$(	-
die	PRELS	die
bis	KON	bis
dahin	PAV	dahin
zu	PTKVZ	zu
konservieren	VVFIN	konservieren
keine	PIAT	keine
Kleinigkeit	NN	Kleinigkeit
gewesen	VAPP	sein
war	VAFIN	sein
–	$(	-
drei	CARD	drei
Broschen	NN	Brosche
angefertigt	VVPP	anfertigen
und	KON	und
an	APPR	an
die	ART	die
drei	CARD	drei
Töchter	NN	Tochter
zur	APPRART	zu+die
Erinnerung	NN	Erinnerung
an	APPR	an
diesen	PDAT	dies
Einsegnungstag	NN	Einsegnungstag
überreicht	VVPP	überreichen
worden	VAPP	werden
.	$.	.
Alles	PIS	alle
unter	APPR	unter
geistlicher	ADJA	geistlich
Mitwirkung	NN	Mitwirkung
und	KON	und
Beihilfe	NN	Beihilfe
.	$.	.
Denn	KON	denn
Generalsuperintendent	NN	Generalsuperintendent
Schwarz	NE	Schwarz
,	$,	,
der	PRELS	die
die	ART	die
Familie	NN	Familie
liebte	VVFIN	lieben
,	$,	,
war	VAFIN	sein
am	APPRART	an+die
Abend	NN	Abend
des	ART	die
Konfirmationstages	NN	Konfirmationstages
in	APPR	in
die	ART	die
Poggenpuhlsche	NN	Poggenpuhlsche
Wohnung	NN	Wohnung
gekommen	VVPP	kommen
und	KON	und
hatte	VAFIN	haben
hier	ADV	hier
die	ART	die
in	APPR	in
Gegenwart	NN	Gegenwart
einiger	PIAT	einige
alter	ADJA	alt
Kameraden	NN	Kamerad
und	KON	und
Freunde	NN	Freund
stattfindende	ADJA	stattfindend
Broschenüberreichung	NN	Broschenüberreichung
fast	ADV	fast
zu	APPR	zu
einer	ART	eine
kirchlichen	ADJA	kirchlich
Zeremonie	NN	Zeremonie
,	$,	,
jedenfalls	ADV	jedenfalls
aber	ADV	aber
zu	APPR	zu
einer	ART	eine
Feier	NN	Feier
erhoben	VVPP	erheben
,	$,	,
die	PRELS	die
sogar	ADV	sogar
dem	ART	die
etwas	ADV	etwas
groben	ADJA	grob
und	KON	und
gegen	APPR	gegen
die	ART	die
»	QUO	»
Adelspackage	NN	Adelspackage
«	QUO	«
stark	ADJD	stark
eingenommenen	ADJA	eingenommen
Portier	NN	Portier
Nebelung	NN	Nebelung
imponiert	VVFIN	imponieren
und	KON	und
ihn	PPER	er
,	$,	,
wenn	KOUS	wenn
auch	ADV	auch
nicht	PTKNEG	nicht
geradezu	ADV	geradezu
bekehrt	VVPP	bekehren
,	$,	,
so	ADV	so
doch	ADV	doch
den	ART	die
wohlwollenden	ADJA	wohlwollend
Gesinnungen	NN	Gesinnung
seines	PPOSAT	sein
Haus-	TRUNC	Haus-
und	KON	und
Brotherrn	NN	Brotherr
Nottebohm	NN	Nottebohm
um	APPR	um
etwas	PIS	etwas
näher	ADJD	nah
geführt	VVPP	führen
hatte	VAFIN	haben
.	$.	.
Wie	KOUS	wie
sich	PRF	sich
von	APPR	von
selbst	ADV	selbst
versteht	VVFIN	verstehen
,	$,	,
war	VAFIN	sein
auch	ADV	auch
die	ART	die
Poggenpuhlsche	NN	Poggenpuhlsche
Wohnungseinrichtung	NN	Wohnungseinrichtung
ein	ART	eine
Ausdruck	NN	Ausdruck
der	ART	die
Verhältnisse	NN	Verhältnis
,	$,	,
darin	PAV	darin
die	ART	die
Familie	NN	Familie
nun	ADV	nun
mal	ADV	mal
lebte	VVFIN	leben
;	$.	;
von	APPR	von
Plüschmöbeln	NN	Plüschmöbeln
existierte	VVFIN	existieren
nichts	PIS	nichts
und	KON	und
von	APPR	von
Teppichen	NN	Teppich
nur	ADV	nur
ein	ART	eine
kleiner	ADJA	klein
Schmiedeberger	NE	Schmiedeberger
,	$,	,
der	PRELS	die
mit	APPR	mit
schwarzen	ADJA	schwarz
,	$,	,
etwas	PIAT	etwas
ausgefusselten	ADJA	ausgefusselten
Wollfransen	NN	Wollfransen
vor	APPR	vor
dem	ART	die
Sofa	NN	Sofa
der	ART	die
zunächst	ADV	zunächst
am	APPRART	an+die
Korridor	NN	Korridor
gelegenen	ADJA	gelegen
und	KON	und
schon	ADV	schon
deshalb	PAV	deshalb
als	KOKOM	als
Empfangssalon	NN	Empfangssalon
dienenden	ADJA	dienend
»	QUO	»
guten	ADJA	gut
Stube	NN	Stube
«	QUO	«
lag	VVFIN	liegen
.	$.	.
Entsprechend	APPR	entsprechend
diesem	PDAT	dies
Teppiche	NN	Teppich
waren	VAFIN	sein
auch	ADV	auch
die	ART	die
schmalen	ADJA	schmal
,	$,	,
hier	ADV	hier
und	KON	und
dort	ADV	dort
gestopften	ADJA	gestopft
Gardinen	NN	Gardine
;	$.	;
alles	PIS	alle
aber	ADV	aber
war	VAFIN	sein
sehr	ADV	sehr
sauber	ADJD	sauber
und	KON	und
ordentlich	ADJD	ordentlich
gehalten	VVPP	halten
,	$,	,
und	KON	und
