"Aimard_BanditsArizona" "Aimard_GrandChefAucas" "Aimard_TrappeursArkansas" "FevalPP_CavalierFortune" "FevalPP_ErrantsNuit" "FevalPP_JeanDiable" "Flaubert_Education" "Flaubert_MadameBovary" "Flaubert_Sallambo" "France_CrimeSylvestreBonnard" "France_MannequinOsier" "France_Thais" "Gaboriau_CrimeOrcival" "Gaboriau_Lerouge" "Gaboriau_MonsieurLecoq" "Huysmans_ARebours" "Huysmans_SœursVatard" "Malot_Cara" "Malot_ClotildeMartory" "Malot_Ghislaine" "Maupassant_BelAmi" "Maupassant_PierreJean" "Maupassant_UneVie" "Mirbeau_AbbeJules" "Mirbeau_JardinSupplices" "Mirbeau_SebastienRoch" "Ponson_Breda" "Ponson_CordePendu" "Ponson_RocambolePrison" "Stolz_DessusHaie" "Stolz_MaisonRoulante" "Stolz_TresorNanette" "Verne_ArchipelFeu" "Verne_DeuxAnsVacances" "Verne_VingtMilleLieues" "Zola_Germinal" "Zola_Nana" "Zola_Oeuvre"
"ne" 0.840443142747994 0.767290361729763 0.768874164697369 0.731810710912458 0.742928838877308 0.648331253285462 0.540748801903436 0.594408841831522 0.411684171222319 0.917662906213167 0.83670919622913 0.75873382797062 0.871707106412245 0.952583390409611 0.870629794717851 0.425394115136082 0.872413236006874 1.14360704911886 1.23413764119806 1.19153686786822 0.767696636887687 0.848438961386006 0.766338546698347 0.856642222078006 0.927241223209129 0.86897760508505 0.782756448194887 0.795806157202324 0.788341688118141 1.07604928414597 0.97708502966151 0.970195272353546 0.921916691964785 0.924563984030258 0.887551762482689 0.749912900443779 0.733349763209954 0.741975644309612
"pas" 0.83478359296518 0.768794852635116 0.77113555929942 0.74147894184931 0.795289515021586 0.733082773985217 0.66106541032695 0.586809865160381 0.445193347949717 0.791379020037043 0.81210010222239 0.557399052980873 0.944482653828314 0.982499232422475 0.943403377907153 0.238456216789084 0.850382598733973 1.35875872658775 1.39814264335062 1.42877078480415 0.673897403673651 0.688104039549281 0.54831718843834 0.629502238951262 0.766456970699802 0.719044652567338 0.763664827507207 0.883734389956147 0.9644695840672 0.856484421782286 0.864642704819511 0.869475847893114 0.647099237860898 0.767776035689463 0.700626948554744 0.685373557145876 0.783971545229896 0.68902849129234
"qu" 0.643773787795181 0.755254434486944 0.689725353625581 0.548114323112278 0.578931249444285 0.552851691990803 0.646194818274606 0.812246173070915 0.563911574069642 0.794746590335073 0.976791731344414 0.85008016106782 1.00126357543865 0.913220440392685 1.00328997240668 0.836068710717282 1.09712573619046 1.27573339046905 0.858976198774063 1.4373584379059 0.814140917411141 0.857346457043602 0.90863991226925 0.825491595820624 0.568208426343641 0.767614482256174 0.601386051661926 0.560959864657303 0.718906652215147 1.20488486454118 1.19809235779923 0.937307297019527 0.795692396184511 0.714435805841563 0.429790630564254 0.847007487706112 0.65741709018004 0.877921037191797
"elle" 0.125924982667629 0.402200568697562 0.295111995567667 0.407553119491897 0.384307604153288 0.368686995111589 0.915893283223944 1.58987478575107 0.544763473082557 0.754335746758714 0.813993109453678 0.7307706647776 0.742150637385838 0.773875597332766 0.689074865823706 0.287030631320194 1.63467328564924 1.58819433285125 0.871276573935505 1.62736026278218 1.26947700097442 0.88406894401639 2.22851771586725 0.324485690181063 0.714943569410406 0.338932941959054 0.90494282059604 0.259332635843555 0.434392358758976 1.16677856611443 0.944127796518165 1.61356628982528 0.541646028728011 0.152747021837167 0.104377724565604 0.839582607503698 1.75977300127221 1.00814241353158
"dans" 0.674901311600662 0.784842755625542 0.826539727049671 0.650746313057318 0.737989152448603 0.692316219724575 0.842216258964601 0.960004052787558 1.05027333914159 0.909243980468092 1.07712111460266 1.03463703814175 0.543817277394795 0.530612566228163 0.456730040328694 1.19228108394542 0.759322631339316 0.737407824021997 1.01683101334591 0.786843715448114 0.784999408063091 0.768271500467643 0.958249562651766 0.852748393795834 0.849190615194892 0.800346324002999 0.679661696481414 0.656122698840238 0.844228424332746 0.693171714239054 0.825869489356752 0.686536485097636 0.750954671097832 0.656246464189309 0.721093169057803 0.767618384003381 0.863900674735068 0.772026731157253
"s" 0.66641198692644 0.840007422155133 0.812971359437365 0.696112627453314 0.679700852589878 0.521740374265576 0.845595938976498 0.939740114997847 1.0521881492403 0.427681427849806 0.478930829515769 0.641288542559934 0.742150637385838 0.722703762310763 0.8342430031232 0.777190632497755 0.881225490916034 0.622243648115414 0.426413005596671 0.7074079242569 0.734912438871131 0.766044626553245 0.913861980730567 0.794340969563242 0.469864660245703 0.798234592277397 0.631932644762214 0.662244284664871 0.68418913426365 0.67684044348473 0.668837966732581 0.561151079136691 0.739770239826162 0.946384987149854 0.629677384144137 0.93781948402794 0.777310784437798 0.879352041327399
"du" 0.539072116813108 0.597784386393384 0.691986748227632 0.689419236804724 0.788373954021399 0.776710139071166 0.590768066079504 0.683907900402746 0.662524294153127 0.532076107088735 0.779918979290501 0.678572760150628 0.650181539002895 0.592806027254907 0.67088147002638 0.724200362100181 0.558109477580155 0.344599782170086 0.366961192316366 0.443337591377996 0.696664207851815 0.505500378568565 0.604454424397504 0.508793562203907 0.597867657389051 0.513150809321184 0.612841024074534 0.55372526322819 0.647778078851104 0.754867625977608 0.639758055135512 0.546762589928058 0.901145605317398 1.17106050075161 0.97692092534605 0.777327842729614 0.564166439090673 0.684019976817733
"était" 0.567369865727181 0.514535889630547 0.52012075847175 0.608354838949584 0.874324497880875 0.592903043545117 0.667148834348364 0.576677896265525 0.477745119627761 0.427681427849806 0.590618256161739 0.458595876365534 0.620591481262296 0.646339639277926 0.805057764031657 0.585836878284293 0.847445180430919 0.903458496259396 0.598618257856865 1.06486898461737 0.398874409201432 0.492139135082172 0.475208229979895 0.42442728275683 0.368398869827196 0.518430138635188 0.582294430974245 0.780223938739621 0.740922639208779 0.883703206372825 0.92086386724051 0.65775950668037 0.733379136242351 0.647356425881326 0.393633641008848 0.757908925277148 0.754664197744666 0.720510582275583
"est" 0.824879380845254 0.691564319493689 0.66711140760507 0.743710072065506 0.666857667875243 0.7008986522005 0.333912385175372 0.347864265390039 0.104357150379611 1.09109277656171 0.897285427630334 0.805339099958987 1.00046384414837 1.011627815435 0.762985536250341 0.158970811192723 0.364239869578627 0.782045101505169 1.00248057565756 0.700967184430585 0.559152710615705 0.492139135082172 0.31724065902504 0.629502238951262 0.774262031501225 0.637742981131677 0.967945168865385 0.998374997217461 0.898421623086303 0.762125968535085 0.624248768950409 1.09352517985612 0.421812836531548 0.482486624533273 0.517113171377308 0.274720567489305 0.423624386377412 0.367052560781901
"vous" 1.44177030717206 0.832484967628371 1.03345733313735 0.885758695830018 0.655990357732091 0.939776356113732 0.325125217144441 0.371505526144701 0.07467759384963 0.836841219060448 0.452428728277742 0.0521979046269714 0.665376433518338 0.983286491422813 0.733042239000576 0.0397427027981807 0.267305065577864 0.744549788419305 1.29358945447836 0.900630119046341 0.660237321166753 0.227141139268695 0.287213765372464 0.407554026867415 0.440205429200293 0.343156405410257 1.0805857309227 1.47641519934109 1.06438829426907 0.332069172004573 0.360590903803652 0.752312435765673 0.278013005895793 0.0985986066885415 0.414099861511908 0.204469777881853 0.245782073228404 0.279045806442381
"son" 0.413147134145479 0.59527690155113 0.586831899232257 0.613560809454042 0.68167672716136 0.663708111471494 0.755020514657672 0.703327507451219 0.396365690432651 0.399057080316552 0.626585393556203 0.533164311546922 0.703763535452088 0.72427828031144 0.712574668728585 0.544622223530624 0.588952369762216 0.671344653346903 0.364911129789459 0.683791878227079 0.581008842626743 0.875161448358794 0.788532337658947 0.595755727172432 0.324690529339224 0.64196644458288 0.448653086160484 0.493622420586337 0.47249695163257 0.780271824928778 0.804544220852235 0.565262076053443 0.567210443063256 0.350752420514976 0.358841066153647 0.492897816514076 0.666742155288977 0.658261902376898
"n" 0.522093467464663 0.451347271605743 0.455671012313294 0.611329679237846 0.658954169589315 0.603273482786859 0.551563777941504 0.492244822141729 0.333176957175272 0.602795083347365 0.696626661113845 0.458595876365534 0.720557892548104 0.690426143296883 0.677703993450377 0.319413574340934 0.646232026671758 0.973092649133144 0.955329137538695 0.980065910237556 0.484477592911328 0.563399100342939 0.472597195749236 0.501005905639561 0.504206927771967 0.53532399244 0.589931079249317 0.578768114328963 0.607979948516461 0.615144531746176 0.64169671590865 0.647482014388489 0.634317030693275 0.731407697156804 0.480273974471801 0.548869990347656 0.496892755090486 0.558807114952562
"ce" 0.670656649263551 0.540112235021539 0.474892866430728 0.682725846156135 0.57399156301558 0.561434124466727 0.318365857120648 0.360529226508608 0.162758858390219 0.668462704158949 0.617120357399765 0.531300100667388 0.618192287391437 0.663659337285374 0.671639528184602 0.400370931892783 0.371583415336261 1.01148070776867 0.967629512700137 0.947862211105982 0.488120281579834 0.53890348728455 0.40209927152145 0.50360179116101 0.543232231779086 0.595508346619645 0.555566162011493 0.524786857511742 0.596125186289121 0.832894808470486 0.812298863944787 0.789311408016444 0.790899068496653 0.745146847269142 0.697215911804234 0.441494799728135 0.498890983328116 0.539488559121936
