"Aimard_BanditsArizona" "Aimard_GrandChefAucas" "Aimard_TrappeursArkansas" "FevalPP_CavalierFortune" "FevalPP_ErrantsNuit" "FevalPP_JeanDiable" "Flaubert_Education" "Flaubert_MadameBovary" "Flaubert_Sallambo" "France_CrimeSylvestreBonnard" "France_MannequinOsier" "France_Thais" "Gaboriau_CrimeOrcival" "Gaboriau_Lerouge" "Gaboriau_MonsieurLecoq" "Huysmans_ARebours" "Huysmans_SœursVatard" "Malot_Cara" "Malot_ClotildeMartory" "Malot_Ghislaine" "Maupassant_BelAmi" "Maupassant_PierreJean" "Maupassant_UneVie" "Mirbeau_AbbeJules" "Mirbeau_JardinSupplices" "Mirbeau_SebastienRoch" "Ponson_Breda" "Ponson_CordePendu" "Ponson_RocambolePrison" "Stolz_DessusHaie" "Stolz_MaisonRoulante" "Stolz_TresorNanette" "Verne_ArchipelFeu" "Verne_DeuxAnsVacances" "Verne_VingtMilleLieues" "Zola_Germinal" "Zola_Nana" "Zola_Oeuvre"
"que" 1.55838393921748 1.39936742276587 1.26446088490078 1.0054984775132 0.898810968211599 1.00797098393151 0.635177195068193 0.664468425259792 0.538062973296134 1.49932754412473 1.09060245479247 1.41367537141275 1.23019395586699 1.27198917456022 1.26652717802609 0.8115933551708 0.900874762450495 1.77551199789048 1.81965388118611 1.70046058552597 0.8546239654552 0.994937266123707 0.702212681210961 1.01003635618823 1.32404396010913 1.06425158072661 1.25631904137802 1.27378106683257 1.20750634544168 1.34108902892228 1.32849545969399 1.44818468422658 1.13688399046281 1.32329943718098 1.07962574760065 0.873889995991848 0.727976409878363 0.867602205096632
"en" 1.42528353159748 1.26367417831573 1.29773617134554 1.13255493000942 0.999757340451347 1.02132624801428 1.23896287786698 1.29229949373834 1.26307198846059 1.1190994072426 0.978169212030357 1.02242317984682 0.899471315113475 0.954185192344868 0.946742049889448 1.18594992980814 1.08946368212612 1.05388063637163 1.05454913470297 1.25999258827889 1.12540482187837 0.961919436495708 1.01258292705006 1.01771724102617 1.00652003021101 0.98391102022078 0.930537352555701 1.01127520001746 1.04190071984355 1.14899193910343 1.23058611223099 1.13698769449812 1.16530609022438 1.25979376533067 0.998586842228637 1.13244401289383 1.07814227792112 1.11882470330977
"une" 0.989934281673738 0.999689139112714 1.03597058464678 0.971178631149277 0.897840330016986 0.940843209199668 1.29439895272572 0.974220623501199 1.00969841902484 1.11245786773374 1.00815141010025 0.939374365599336 0.909683653188999 0.966557123526 0.94562910860823 1.30586102012167 1.21567318990904 0.953678474114441 0.850116384981277 0.979406003494097 1.21896365599136 1.03675985031917 1.20527112134183 1.1406113984331 1.15295096875626 1.07677218755869 1.10466204830556 0.877020640274185 0.93954146382058 0.865334554137269 0.917660158574747 0.947828739957287 0.827398904170154 1.00100815254062 1.03274373622841 1.2216395034408 1.38815754831236 1.42949139828319
"des" 0.82633169730749 0.819587196478884 0.893996029149151 0.611915558573755 0.685270565396748 0.706774633433146 1.48675545344038 1.36307620570211 2.93704568315967 1.01283477510087 1.39979387238827 1.83999261788318 0.592315608380402 0.616276821960178 0.661458101470566 2.60441038839495 1.73791942901078 0.505405642963874 0.603177816010525 0.597172957806131 0.966174883051457 0.75941008144398 1.02034218319604 1.42992472732859 1.72942645313439 1.56924938962042 0.657180303313986 0.40603818068699 0.490991553280905 0.696576363081453 0.618172742805583 0.581714634394386 0.828977909712463 0.894636152191343 1.35555987167724 1.32889990346564 1.27955347269759 1.30564932169925
"qui" 0.694617752266866 0.97847164998051 0.906196967512229 1.0829006842063 1.03081776267896 1.05612022549309 0.514286477605162 0.955069277911004 0.71362143901004 0.919853221976854 0.940691464442987 0.920919073544339 0.791063418619449 0.786390875700754 0.846206354152755 0.791120729995321 0.900874762450495 1.01081128592775 1.12539216678474 0.924347503838213 0.770960777258006 0.777019590578913 0.720317612218242 0.915305443187055 0.870878739769102 0.959913190459298 1.12525744242651 0.820808365259723 0.916240169766571 0.892264052710005 0.940697652095452 0.974270314247941 0.911086197912555 0.914481674644567 0.856601322072721 0.760984311755175 0.741140540255911 0.8463721348251
"elle" 0.141419183096248 0.558069307174965 0.413722728129818 0.517718533447246 0.490172288279544 0.45302461586043 0.987162875195362 1.77025046629363 0.576021560477519 0.870041675660418 0.860114307130141 0.782504383131863 0.854694140474638 0.896191764933308 0.839157726038374 0.302702386523163 1.69584959308314 1.77814889689725 1.04240461491752 1.78622478691302 1.30802446923354 0.968523002421308 2.29803302856699 0.363561882328844 0.792268446444811 0.366227749838275 1.21138363602322 0.323629894015303 0.508467523821412 1.23696163444103 1.00021117702394 1.72073629614563 0.628444205839162 0.188929373754693 0.123902458626625 0.903245473893383 1.94039281765047 1.06574952763094
"je" 1.30327482461248 0.908404592846252 0.830772984904112 1.04127874287133 0.579471002183936 1.04171059845641 0.377366051749242 0.360544897415401 0.16606881891856 2.39261460806615 0.485336831256442 0.876626372612347 0.939535102948223 1.36941813261164 0.847690275861046 0.0570308844174076 0.400388783311331 1.14265623626615 2.49569881590932 0.903171157816719 0.913997840949982 0.76601364736958 0.384083179225885 1.04075989553997 1.43502319774342 0.924438137768411 1.32559445796667 1.11878799786066 1.05937669038406 0.538589971454732 0.622012325059034 1.11461405471372 0.235271825804109 0.187341731958436 1.53170228583293 0.289603080067066 0.460744563214154 0.479091919127586
"se" 0.639159249091867 0.930608941938094 0.888450148075025 0.682015670295808 0.75806842999272 0.500470948786077 1.03458409585766 1.13825606181721 1.17861413198201 0.345360054460624 0.541553452637496 0.597951462581895 0.714863665286692 0.710612797216316 0.79686595735209 0.91834347215723 1.18811019395645 0.67240924672585 0.481732618156057 0.760230822171634 0.839330694494422 0.821043363416245 0.999650833473431 0.787290695888166 0.5394824051667 0.760626865048726 0.660924920426886 0.652717290459194 0.720675737527566 0.86174395432757 0.842788304632456 0.722058374860165 0.887401114777913 0.909718749255793 0.750112181955784 0.97155341285657 0.999157495655837 0.900154979512982
"ne" 0.82355877214874 0.754947869122632 0.754239826081169 0.718526145151044 0.729919922348944 0.637186678475532 0.534323613096272 0.586197708499867 0.40805481219989 0.904909758081923 0.828258221680877 0.751130386638369 0.856265269409334 0.935627295573168 0.852142040985918 0.422613476836687 0.86315697851537 1.12595587588995 1.2185001518065 1.17528720419292 0.758366318819719 0.838652872551178 0.759113892948129 0.844897332172666 0.915578710482914 0.858704951900002 0.767646508144542 0.780422847288167 0.774768027295802 1.06461284357552 0.967574727869608 0.96003254347605 0.911086197912555 0.908131107459535 0.871335668503995 0.741225817013758 0.724685377283977 0.733852762385977
"pas" 0.81801292183124 0.756428159062088 0.75645817851082 0.72874907811051 0.781363746663431 0.720832806151856 0.653878521526563 0.578703703703704 0.441268575983602 0.780380892290833 0.803897685749086 0.551813232444403 0.927751635938003 0.965010632128359 0.92337028298387 0.236897519887693 0.839946034555293 1.33866572910258 1.38042708227912 1.40928582773043 0.665707088880892 0.680167290336782 0.543147930218423 0.620871524399611 0.756816745533856 0.710544437720415 0.748923422580041 0.866651385659867 0.947863354554155 0.847381555088778 0.856226842519534 0.86443608257907 0.639497244635329 0.754129853222516 0.687826081132669 0.679692219104771 0.774709072718656 0.682900593734299
