"Aimard_GrandChefAucas" "FevalPP_ErrantsNuit" "Flaubert_MadameBovary" "France_MannequinOsier" "Gaboriau_Lerouge" "Malot_ClotildeMartory" "Maupassant_PierreJean" "Mirbeau_JardinSupplices" "Ponson_CordePendu" "Stolz_MaisonRoulante" "Verne_DeuxAnsVacances" "Zola_Nana"
"je" 1.08805049883231 0.747961852022766 0.358242049177615 0.666258374626506 1.76576026848709 3.39719336176005 0.759294815849188 1.78724315068493 1.38968558904703 0.816931377764268 0.186039178589728 0.457725756882234
"elle" 0.5906839034972 0.505691432087371 1.80362047853857 0.909377725813336 0.925212615842264 1.08301803695474 1.0167568511084 0.845462328767123 0.336598300773851 1.01451478075842 0.20732332190296 2.00941607271301
"qui" 0.968838859085979 1.02099676972773 0.948969123341166 0.931648200731214 0.775714122268411 1.11304626348768 0.770204224122884 0.863808708414873 0.81389685589047 0.930921802568584 0.908123448031217 0.736284574641993
"pas" 0.748981326766922 0.773919397015844 0.57500744613959 0.796169478314125 0.951908775409023 1.36528336636438 0.674201431314365 0.750672700587084 0.859353861139672 0.847328824378752 0.748886523984076 0.769633165500556
"dans" 0.764615640176277 0.718158744808491 0.940695634907502 1.05599168568936 0.514091758514168 0.992933357355915 0.750567289230232 0.830173679060665 0.638562692786406 0.809332016110647 0.639312601001143 0.848100438108939
"au" 0.732369868769482 0.838332564220889 0.786808750041367 0.682961230814914 0.598756721711605 0.678637919644466 0.558561703613196 0.677287181996086 0.600681855078738 0.718139676267194 0.914429860864767 0.704243771660237
"vous" 0.953204545676624 0.769112444239348 0.431876096237217 0.515932668930832 1.12886617596583 1.39531159289732 0.281462733461337 0.550391389432485 1.69056767141079 0.431263773842997 0.110362224587127 0.297521741973452
"tout" 0.538406668034669 0.647015843716351 0.762815633583744 0.428706642169144 0.646809808931772 0.440413989149801 0.835660673765055 0.876039628180039 0.57308295903458 1.00121589786458 0.431989279098183 0.677434120185706
"lui" 0.722598422888635 0.481656668204892 0.701591819174637 0.508509177291539 0.669692231417566 0.312293555942586 0.774567987432362 0.252262720156556 0.572000649385789 0.76373584618892 0.343699499428481 0.632969332374289
"l" 0.00342000605829645 0.00384556222119674 1.67041731475659 0.00927936454911568 0 0.00400376353772546 1.49022517018677 0 0.00162346447318578 0 1.91163139016988 1.32086575557445
"pour" 0.515443770214679 0.550876788186433 0.553496376212066 0.52706790638977 0.68037069524427 0.878826096530739 0.650200733112236 0.328705968688845 0.386925699442611 0.62314765559693 0.51712585235111 0.517883999215327
"faire" 0.651266867958452 0.57779572373481 0.472416189562167 0.484382829463838 0.500362305022692 0.614577703040858 0.48001396404259 0.350110078277886 0.682937388386818 0.664944144691846 0.508454534704978 0.448571241744589
"la" 0.592149620379328 0.406668204891555 0.401264189032664 0.50294155856207 0.730712024713016 0.616579584809721 0.325100366556118 0.368456457925636 0.392337247686563 0.562352762367961 0.216782941153285 0.427646635715687
"d" 0.00537429523446584 0.0115366866635902 1.44206903398749 0.027838093647347 0.00381373708096564 0.00600564530658819 1.17821609355909 0.0351638943248532 0.00108230964879052 0.00189984041340527 1.22344408970872 1.43791277054862
"sur" 0.542315246387008 0.514343947085064 0.682562795777211 0.521500287660301 0.353152053697418 0.326306728324625 0.556379821958457 0.519814090019569 0.346880242437361 0.31347366821187 0.559694138977573 0.526384620414569
"on" 0.171000302914822 0.533571758191048 0.506337492140186 0.421283150529852 0.482056367034057 0.514483614597722 0.445103857566766 0.347052348336595 0.325234049461551 0.959419408769663 0.471404359307871 0.535539135552213
"plus" 0.446066504460665 0.369173973234887 0.444286328887712 0.415715531800382 0.578925288890584 0.450423397994114 0.543288532030023 0.759845890410959 0.308999404729693 0.435063454669808 0.562059043790154 0.356372196429739
"mais" 0.302914822306257 0.430702968774035 0.34583181652712 0.476959337824546 0.386712940009916 0.558525013512702 0.469104555768895 0.273666829745597 0.612587261215434 0.469260582111103 0.267234243821686 0.430916105407703
"dire" 0.366429220531762 0.615289955391478 0.285435350961379 0.450977117087022 0.444681743640593 0.444417752687526 0.351282946412987 0.301186399217221 1.19162292331836 0.607948932289688 0.238855386070711 0.382527953965867
"mon" 0.669344042838019 0.363405629903092 0.13485786146871 0.215281257539484 0.591891994965867 1.2191459972374 0.277098970151859 0.680344911937378 0.391796092862168 0.288775742837602 0.0559694138977573 0.238671287517165
"me" 0.42212646205259 0.27111213659437 0.0843895820233643 0.196722528441252 0.775714122268411 1.9818629511741 0.168004887414907 0.906616927592955 0.554683695005141 0.330572231932518 0.0465097946474321 0.116393121035768
"par" 0.411866443877701 0.291301338255653 0.462488003441771 0.519644414750478 0.303573471644865 0.406381999079134 0.501832780589981 0.42502446183953 0.297093998592997 0.465460901284292 0.417011548618501 0.41195318119401
"comme" 0.241354713256921 0.350907552684202 0.550186980838601 0.350759979956573 0.378322718431791 0.330310491862351 0.50401466224472 0.493823385518591 0.278153579739163 0.461661220457482 0.197075401048441 0.421761590270058
"avec" 0.688886934599713 0.256691278264882 0.387199258695436 0.40272442143162 0.302047976812479 0.266250275258743 0.38837493454355 0.3271771037182 0.30142323718816 0.322972870278897 0.304284419218793 0.578696135486824
"si" 0.280929069074351 0.279764651592063 0.270543071780786 0.215281257539484 0.417222836657641 0.502472323984545 0.375283644615116 0.296599804305284 0.214297310460523 0.368569040200623 0.369713452366876 0.300137317727065
"nous" 0.612181084435064 0.3537917243501 0.117483535758017 0.21899300335913 0.20975553945311 0.660620983724701 0.257462035259208 0.600843933463796 0.570918339736999 0.131088988524964 0.383902881242363 0.113777545282155
"qu" 0.0249171869961598 0.0192278111059837 0.795909587318397 0.0222704749178776 0.0213569276534076 0.0320301083018037 0.837842555419794 0.0336350293542074 0.0162346447318578 0.041796489094916 0.696858618107288 0.64539331720395
"bien" 0.294120521013494 0.298992462698046 0.262269583347122 0.193010782621606 0.398916898669006 0.352331191319841 0.32073660324664 0.264493639921722 0.489203961253315 0.509157230792613 0.284576879113949 0.270712090498921
"s" 0.000488572294042349 0.00961390555299185 0.920839262666711 0.00185587290982314 0 0.00600564530658819 0.750567289230232 0.00305772994129158 0.0027057741219763 0 0.923889480115092 0.763094226116524
"y" 0.149503121976959 0.350907552684202 0.351623258430685 0.289516173932409 0.237214446436063 0.276259684103057 0.15927736079595 0.255320450097847 0.309540559554088 0.37806824226765 0.375231563596232 0.213823317857843
"pouvoir" 0.267249044841165 0.246115982156591 0.138167256842175 0.198578401351075 0.318065672552534 0.516485496366585 0.27491708849712 0.194165851272016 0.201850749499432 0.271677179116954 0.445390406369477 0.166742954292814
"aller" 0.168557441444611 0.265343793262575 0.258960187973657 0.133622849507266 0.263147858586629 0.328308610093488 0.329464129865596 0.19263698630137 0.3539152551545 0.288775742837602 0.155295416026172 0.268750408683712
"tu" 0.134845953155688 0.15286109829257 0.160505675613066 0.0890818996715105 0.102208153769879 0.144135487358117 0.442921975912027 0.371514187866928 0.127171383732886 0.191883881753933 0.110362224587127 0.269404302622115
"voir" 0.155854561799509 0.244193201045993 0.206009861998213 0.200434274260899 0.234926204187483 0.302284147098272 0.220370047128644 0.258378180039139 0.297093998592997 0.34957063606657 0.136376177525521 0.296867848035049
"deux" 0.233048984258201 0.361482848792493 0.190290233974253 0.128055230777796 0.114412112428969 0.140131723820391 0.268371443532903 0.142184442270059 0.220791168353266 0.174785318033285 0.227030862007804 0.223631726933891
