"Aimard_BanditsArizona" "Aimard_TrappeursArkansas" "FevalPP_CavalierFortune" "FevalPP_JeanDiable" "Flaubert_Education" "Flaubert_Sallambo" "France_CrimeSylvestreBonnard" "France_Thais" "Gaboriau_CrimeOrcival" "Gaboriau_MonsieurLecoq" "Malot_Cara" "Malot_Ghislaine" "Maupassant_BelAmi" "Maupassant_UneVie" "Mirbeau_AbbeJules" "Mirbeau_SebastienRoch" "Ponson_Breda" "Ponson_RocambolePrison" "Stolz_DessusHaie" "Stolz_TresorNanette" "Verne_ArchipelFeu" "Verne_VingtMilleLieues" "Zola_Germinal" "Zola_Oeuvre"
"pas" 0.809672151394969 0.748858046380885 0.722199306746557 0.713632077605314 0.649118154090969 0.435715557387956 0.770656041451457 0.54606885215962 0.917737749250113 0.916107518412326 1.31941436368362 1.39379025079847 0.660767383093284 0.538233824151321 0.614842422859461 0.702402194877931 0.743273375947674 0.93870015988396 0.836998155766775 0.85490716713938 0.632575284268399 0.680772647125111 0.674332248651616 0.67804946599213
"dans" 0.654599349517628 0.802661630358398 0.633190774953144 0.673966520878349 0.826150377933961 1.02791390635395 0.885434600816567 1.01360606337321 0.528418009729108 0.442779166191253 0.715585203153426 0.767579454421698 0.768811779517997 0.939346174054567 0.832889632615806 0.780790692397347 0.65965512115356 0.820847549819512 0.677401049794297 0.671856456057772 0.734099712607772 0.700658897771414 0.752742975239013 0.757448004496908
"au" 0.60245097366507 0.797171468728039 0.718581073746825 0.784960491017839 0.744596207399549 0.879864319112452 0.527981373079509 0.829148023011597 0.651974573768708 0.640428719179368 0.567443472234255 0.632493847845437 0.630407800626836 0.731741699024772 0.708653431708121 0.660113663321403 0.771146127545711 0.637063409649079 0.712867073343737 0.64168326192344 0.877795826565038 0.810033276326081 0.848516076999334 0.761663856098932
"vous" 1.60973802302762 1.17269852424455 0.995014074926369 1.05740023590568 0.41042302081952 0.0927652477019518 0.931346024562612 0.0694000547895169 0.784079076200985 0.859793958622416 0.815212683011349 1.02413738939211 0.758096632765133 0.348570476593236 0.489338505615983 0.416696749971636 1.23569198751301 1.20654700093952 0.372393247269116 0.838814796934404 0.317068599275272 0.472629890360471 0.244753482276375 0.318999437886453
"tout" 0.653227023837297 0.631368587491216 0.639703594352662 0.691363694881403 0.704150643150776 0.78897311681862 0.552576778657747 0.599032051867409 0.641872464759181 0.653310906059413 0.587368968205839 0.543483952039374 0.755417846076917 0.871426191483091 0.704850282700743 0.662176518519282 0.635498736435261 0.477179449142066 0.842318059299191 0.977611489952326 0.509184055979008 0.37982738734439 0.56063669509989 0.600758853288364
"lui" 0.436399566345085 0.617094167252284 0.479777695764496 0.397003510749714 0.750563585731335 0.55284339539547 0.421401282240477 0.573463610629166 0.641872464759181 0.663248593081161 0.781425972450836 0.749777475260485 0.743809770427981 0.592057206566453 0.532440861032935 0.749847864429156 0.563029582280363 0.683215480723269 0.842318059299191 0.557198318347314 0.457640884668249 0.247915258057246 0.609363360907772 0.649241146711636
"l" 0.00411697704099137 0.00329409697821504 0.0115783455991432 0.00765475656134418 1.76700702824559 0.00187404540812024 0.00327938741043173 0 0.00699376777582643 1.62830842163766 0.000866325911808022 0.00104717524477721 1.37332464215874 1.47117245268028 0 0.00103142759893969 1.08146276200387 0.0074172971369233 0.00531990353241595 0 0 0.00198862506463031 1.47412165984307 1.65261382799325
"pour" 0.583238414140444 0.516075193253689 0.631019835153305 0.624906490189734 0.590770454846837 0.55096934998735 0.465673012281306 0.418226645968405 0.58747649316942 0.55319791087735 0.949493199341592 0.922561390648725 0.603619933744676 0.542078351466687 0.323267665627139 0.332119686858581 0.572320499479709 0.405478910151807 0.618882110937722 0.732202844326434 0.556041484443334 0.345357886224131 0.483906198367937 0.464446318156268
"faire" 0.710864702411176 0.642348910751933 0.545629536359623 0.476334624203644 0.546346638376873 0.39354953570525 0.508305048616918 0.350652908410191 0.463142843821395 0.394562981011657 0.563111842675214 0.515210220430389 0.557187631148932 0.470313841579844 0.379047184402018 0.351716811238435 0.735840642188197 0.688984489607543 0.789119023975032 0.84484943576127 0.535736598775459 0.363918386827348 0.387012943370653 0.408234963462619
"la" 0.531090038287886 0.523761419536191 0.356034127173653 0.361513275783482 0.331521018432569 0.982936816559065 0.546018003836883 0.646516299881289 0.620114076123277 0.259852112494617 0.829940223512085 0.89428765903974 0.346456411675938 0.501070060102777 0.508354250652874 0.624013697358514 0.200683811505872 0.452455125352322 0.691587459214073 0.68996037253837 0.624765712857678 0.40302801309841 0.491747271026676 0.413856098931984
